product_name,list_price,selling_price,discount_percentage,size,color,description,sku
The Alchemist,,,0,,,,
"How to Be Happy with Who You Are | Puffin Chapter Book | Full-colour, Gorgeous Illustrations | Perfect Introduction to Sudha Murty | Ages 5+",,,0,,,,
Mandala Art: Colouring books for Adults with tear out sheets,,,0,,,,
"Manifest Anything in 100 Days: Manifestation & Law of Attraction Self-Help Book | 100-Day Challenge for Mindset, Abundance, Confidence & Goal Achievement",,,0,,,,
Handbook on Information Technology in Finance (International Handbooks on Information Systems),,,0,,,"Product Description This handbook contains surveys of state-of-the-art concepts, systems, applications, best practices as well as contemporary research in the intersection between IT and finance. Included are recent trends and challenges, IT systems and architectures in finance, essential developments and case studies on management information systems, and service oriented architecture modeling. The book shows a broad range of applications, e.g. in banking, insurance, trading and in non-financial companies. Essentially, all aspects of IT in finance are covered. Review Aus den Rezensionen: ""... In einer bunten Mischung stehen ... strukturierende Übersichtsartikel ... neben Erfahrungsberichten (z.B. über das Corporate Treasury der BMW-Group), sowie Anwendungen aktueller IT Themen auf die Finanzwirtschaft (z.B. SOA oder Grid Computing). ... Die Auswahl der Artikel ist für einen Sammelband erstaunlich trennscharf und vermittelt hervorragende Einblicke in ausgewählte Problemstellungen und Lösungsansätze unterschiedlicher Branchen, Prozesse und Regionen. ... Den Herausgebern ist ein Sammelband gelungen, der von Fachexperten aus Wissenschaft und Praxis, aber auch von Studierenden mit entsprechenden Schwerpunkten gleichermaßen mit Gewinn gelesen werden kann."" (http: //www.wirtschaftsinformatik.de/index.php;do=show/site=wi/sid=9763316084a058975bfe9b167935758/alloc=14/id=48) P.when('A').execute(function(A) {
                  A.on('a:expander:toggle_description:toggle:collapse', function(data) {
                    window.scroll(0, data.expander.$expander[0].offsetTop-100);
                  });
                }); From the Back Cover This Handbook contains surveys of state-of-the-art concepts, systems, applications, best practices as well as contemporary research in the intersection between IT and finance. Included are recent trends and challenges, IT systems and architectures in finance, essential developments and case studies on management information systems, service oriented architecture modelling, IT architectures for securities trading, IT-systems in banking, process-oriented systems in corporate treasuries, grid computing and networking. The IT applications in banking, trading and insurance cover risk management and controlling, financial portals, electronic payment and others. In addition, also finance-related IT applications in non-financial companies are considered. The concept-oriented part of the book focuses on IT methods in finance like financial models and modelling financial data, planning and processes, security, algorithms and complexity. See more",
"Stop Letting Everything Affect You: How to break free from overthinking, emotional chaos, and self-sabotage",,,0,,,,
"Portronics Beem 440 Smart LED Projector with 720p HD Resolution, Rotatable Design, Built-in Streaming Apps (Netflix, Prime Video, Hotstar), 2000 Lumens, Screen Mirroring, 3 Watts Speaker (White)",,,0,,,,
"Redmi Pad 2 Wi-Fi + Cellular, Active Pen Support, 27.94cm(11"") Model, 2.5K Sharp & Clear Display, 6GB, 128GB, All Day & More 9000mAh Battery, AI-Enabled, Dolby Atmos, HyperOS 2, Graphite Grey",,,0,,,,
"Honeywell New Launch Universal Travel Adapter 12W, 3-in-1 Fast Charging, Universal Socket, TypeC, USBA, Worldwide Wall Charger for EU,US,UK & CN/AUS, Devices, 3Yr Manufacturer Warranty",,,0,,,,
"Honeywell Universal Travel Adapter 70W, 7 in 1 Fast Charging, QC3.0/PD, Universal & US Socket, 3 Type C, 2 USB A, Overload & overvoltage Protection, International Adapter for EU, US, UK & CN/AUS",,,0,,,"70W 7-in-1 fast charging adapter with QC3.0/PD, 3 Type-C & 2 USB-A ports. Universal & US socket with advanced overload & overvoltage protection. Essential international adapter for EU, US, UK, CN & AUS trips.",
"GLUN® Electronic Portable Digital LED Screen Luggage Weighing Scale, 50 kg/110 Lb For Multi-Purpose Use.",,,0,,,,
"Portronics Snapcase 3 60W Multifunctional Fast Charging Data Cable Kit, Conversion Set USB A & Type C to Male Micro/Type C/Lightning, Data Transfer, Sim Storage, Sim Eject Pin, Pocket Size(Blue)",,,0,,,,
"Portronics Snapcase 2 60W Multifunctional Fast Charging Data Cable Kit With Retractable Cable, Conversion Set USB A & Type C to Male Micro/Lightning,Sim Storage,Sim Eject Pin",,,0,,,"The Portronics SnapCase 2 is a compact and versatile accessory that combines practicality with convenience, making it a must-have for travelers and multi-device users. It features a Type C to Type C retractable cable and Type C to Micro/Lightning cable for fast charging and seamless data transfer, delivering up to 60W output. The case also includes multiple converters and connectors like USB to Type C, Lightning to Type C, and Type C to USB, ensuring you have everything you need in one place. Designed for organization and security, it has dedicated slots for Nano SIM and TF cards, along with a precision SIM ejector tool for quick and safe SIM removal. Made of durable ABS plastic, it ensures long-lasting use and resistance to wear and impact. Additionally, the adjustable mobile stand offers hands-free convenience for viewing, video calls, or reading with customizable angles, enhancing usability on the go. This all-in-one solution is perfect for staying organized and prepared during trips or daily use.",
"Portronics Trifusion 16W HD Sound Bluetooth Speaker with 15W Wireless Charging, 360°RGB LED Lights, Digital Clock with Alarm Setting, Built-in White Noise, USB/SD Card/AUX in, Type C Charging(Black)",,,0,,,"Introducing the TriFusion by Portronics, a 16W Bluetooth speaker combining superior sound quality and versatile functionality. Enjoy powerful audio performance with 16W output and immerse yourself in calming white noise for a peaceful environment. The 15W wireless charging pad ensures your devices stay powered effortlessly, while the integrated digital alarm clock keeps you on schedule. With multiple connectivity options including USB, AUX IN, and TF card, plus TWS connectivity for enhanced stereo sound, the TriFusion is perfect for any setting. Compact yet powerful, it offers up to 5 hours of playtime, making it an ideal companion for both home and on-the-go. Elevate your audio experience with the TriFusion by Portronics.",
KLOSIA Women's Rayon Printed Anarkali Kurta and Pant with Dupatta Set,,,0,,,"Klosia focuses on curating outfits with materials that are not just rich-looking but also provide the utmost comfort to the one who wears them. The much-awaited women's only brand has received numerous accolades from its valued customers to date. Established in Surat, this ready-to-wear brand has come to be synonymous with versatile yet powerful casual wear for women. Known for its use of experimental textiles, vibrant prints, and detailed craftsmanship, Klosia has inspired various brands in India, while constantly evolving and expanding its product line and winning the hearts of loyal customers.",
ANNI Designer Pure Cotton Embroidered Kurta Set for Women | Rust Orange Kurta with Pants & Dupatta | Floral Neck & Hem Embroidery | Cotton Kurta Set for Women | 10 Colour Options Available,,,0,,,"Have a Variety of Kurta Set in Your Collection to Accommodate Changing Weather Conditions Western Wear, Party Wear, Birthday Wear, Outdoor Wear, Summer Special Western Wear, Beach,This Kurta Set Gives You a Comfortable and Soft Feel, So You Can Wear It All Day Long. the Pants Are Constructed with the Trending Style and the Top Offers You Crop Top Casual Look. This Kurta Set Is a Best Buy for Your Collection, Which Is an Ultimate Go-To Statement Attire for Day to Day Look This Ethnic Kurta Set for Women Has a Color Neckline and Is a Perfect Option to Go for This Season, His kurta & Bottom for Women Comes with Regular Fit, Crafted with Attention to Detail, This Office Wear Kurta Set for Women Features a Beautifully Tailored Kurta with a Straight Silhouette. Whether You're Looking for a Casual Kurta Set for Your Everyday Wear or a Chic and Simple Kurta Set for Women, Our Collection Offers a Wide Range of Options Suitable for Various Occasions He Pants Are Constructed with the Trending Style and the Kurta Offers You Crop Top Casual Look. This Ethnic Kurti-Pant Set Is a Best Buy for Your Collection, Which Is an Ultimate Go-To Statement Attire for Day to Day Look.",
ANNI DESIGNER Women's Cotton Blend Floral Kurta with Pant,,,0,,,"Have a Variety of Kurta Set in Your Collection to Accommodate Changing Weather Conditions Western Wear, Party Wear, Birthday Wear, Outdoor Wear, Summer Special Western Wear, Beach, Holiday This Shirt Separately Too, This Kurta Set Gives You a Comfortable and Soft Feel, So You Can Wear It All Day Long. the Pants Are Constructed with the Trending Style and the Top Offers You Crop Top Casual Look. This Kurta Set Is a Best Buy for Your Collection, Which Is an Ultimate Go-To Statement Attire for Day to Day Look This Ethnic Kurta Set for Women Has a Color Neckline and Is a Perfect Option to Go for This Season, His Shirt & Bottom for Women Comes with Regular Fit, Crafted with Attention to Detail, This Office Wear Kurta Set for Women Features a Beautifully Tailored Kurta with a Straight Silhouette. Whether You're Looking for a Casual Kurta Set for Your Everyday Wear or a Chic and Simple Kurta Set for Women, Our Collection Offers a Wide Range of Options Suitable for Various Occasions He Pants Are Constructed with the Trending Style and the Shirt Kurta Offers You Crop Top Casual Look. This Ethnic Kurti-Pant Set Is a Best Buy for Your Collection, Which Is an Ultimate Go-To Statement Attire for Day to Day Look.",
Sun Fashion And Lifestyle Women's Chanderi Stitched Printed Kurta for Women,,,0,,,,
Human Edge in the AI Age: Eight Timeless Mantras for Success | By the Bestselling Author of Winning in the Digital Age and Mastering the Data Paradox,,,0,,,,
"Life Hug Me Tight - A Story of Hope, Humor and Holding On",,,0,,,,
"READ PEOPLE LIKE A BOOK | Master Human Behavior and Body Language | Analyze Emotions, Thoughts, and Intentions | Psychology-Based Guide to Improve Communication, and Social Intelligence",,,0,,,,
"Courage To Be Disliked, The: How to free yourself, change your life and achieve real happiness",,,0,,,,
"rts USB Universal Travel Adapter, International All in One Worldwide Travel Adapter and Wall Charger Travel Accessories with Multi Type Power Outlet USB 2.1A, 100-250 Voltage Travel Charger (Black)",,,0,,,,
Women’s Freedom Graphic Printed T-Shirt | Premium Cotton Round Neck Casual Wear | Trendy Regular Streetwear Style Tee for Girls & Ladies | Everyday Comfort Fashion Top,,,0,,,,
"Sirona Invisible Double-Sided Body & Clothing Fashion Tape for Women - 216 Strips (Pack of 1) | Strong Adhesive - Skin & Fabric Friendly, Sweat Resistant, Transparent & Waterproof",,,0,,,,
Lifelong Electronics 2500W Universal Travel Adapter All in One | 3 Type-C 45W PD & 2 USB-A 18W QC 3.0 | Dual Fuse Protection | 180+ Countries - Europe/US/Asia etc | International Socket,,,0,,,,
Wellbi Bamboo Tshirt for Women | Full Sleeve Top | Soft Breathable Eco-Friendly Bamboo Fabric | Hypoallergenic Sustainable Fashion & Skin-Friendly Wear,,,0,,,,
"Alan Jones Clothing Women's Solid Zipper Hooded Sweatshirt | Front Zip, Ribbed Hem, Lined Hood, Casual Winter Wear",,,0,,,,
"Amayra Women's Pure Cotton Printed Straight Kurta Set with Palazzo Pants & Dupatta- Ethnic Wear, White",,,0,,,,
Leriya Fashion Women's Floral Print Summer Shirt| Short Sleeve Button Down Casual Blouse| Lightweight Beach Vacation Top for Women,,,0,,,,
