product_name,brand,selling_price,list_price,discount_percentage,rating,num_reviews,size,color,description,sku
U TURN Men's Casual Printed Striped Stylish Latest Formal Shirt for Men,U TURN Store,398,,75,3.7,1733,M,LGREEN,,
U TURN Men's Casual Printed Striped Stylish Latest Formal Shirt for Men,U TURN,428,,73,3.7,1733,M,White,Men casual shirt || shirt for men casual || Stylish Latest Shirt for Men || men shirt Partywear stylish cotton || Shirt for Men Formal || Shirt for Men Semi Formal || Men Shirt Striped Printed || mens casual shirts || shirt for man || Shirts for men || casual shirt for men ||shirts for men stylish || mens shirt casual stylish || formal Shirts for Men || Printed Shirts for Men || Men shirt Casual || check shirt for man || mens checks shirts || checks shirt for men || White Shirt for Men || Black Shirt for Men || Partywear Shirts || Trending shirt for Men || Plus Size Shirts for Men || Oversize Shirts for Men,B0D878CL4M
U TURN Men's Casual Printed Striped Stylish Latest Formal Shirt for Men,U TURN,398,2590,75,3.7,3,M,Pink,,B0CBX4KN8L
U TURN Men's Casual Printed Striped Stylish Latest Formal Shirt for Men,U TURN,398,599,75,3.7,3,M,Lightblue,,B0CBX5119W
NexaFlair Men's Solid Linen Cotton Shirt | Casual | Plain | Full Sleeve | Summer-Regular Fit| Men Stylish Shirt | Everyday Formal Wear,NexaFlair,465,2299,77,3.2,698,L,GREY,,B0DXCYNMCX
U TURN Men's Casual Printed Striped Stylish Latest Formal Shirt for Men,U TURN Store,398,,75,3.7,1733,M,Lightblue,,
NexaFlair Men's Solid Linen Cotton Shirt | Casual | Plain | Full Sleeve | Summer-Regular Fit| Men Stylish Shirt | Everyday Formal Wear,NexaFlair,465,2299,77,3.2,698,L,BLACK,,B0DXCXSHH1
U TURN Men's Casual Printed Striped Stylish Latest Formal Shirt for Men,U TURN,398,1819,75,3.7,3,M,WHITE-BLUE,,B0CH3DLQQ7
NexaFlair Men's Solid Linen Cotton Shirt | Casual | Plain | Full Sleeve | Summer-Regular Fit| Men Stylish Shirt | Everyday Formal Wear,NexaFlair,399,999,0,3.2,697,L,CADET BLUE,,B0FB9B5WTZ
NexaFlair Men's Solid Linen Cotton Shirt | Casual | Plain | Full Sleeve | Summer-Regular Fit| Men Stylish Shirt | Everyday Formal Wear,NexaFlair,465,,77,3.2,698,L,GREY,,
NexaFlair Men's Solid Linen Cotton Shirt | Casual | Plain | Full Sleeve | Summer-Regular Fit| Men Stylish Shirt | Everyday Formal Wear,NexaFlair,465,1519,77,3.2,3,L,GREY,,B0DXCYNMCX
NexaFlair Men's Solid Linen Cotton Shirt | Casual | Plain | Full Sleeve | Summer-Regular Fit| Men Stylish Shirt | Everyday Formal Wear,NexaFlair,495,2299,0,3.2,698,L,CREAM,,B0FBX36G9D
DEELMO Men's Casual Button Down Shirts Long Sleeve Linen Shirt Fashion Textured Beach Summer Shirt,DEELMO Store,495,,75,4.1,1304,XL,BEIGE,,
DEELMO Men's Casual Button Down Shirts Long Sleeve Linen Shirt Fashion Textured Beach Summer Shirt,DEELMO,949,,0,4.1,1293,XL,WINE,,B0F4NJ2445
NexaFlair Men's Solid Linen Cotton Shirt | Casual | Plain | Full Sleeve | Summer-Regular Fit| Men Stylish Shirt | Everyday Formal Wear,NexaFlair,465,2299,77,3.2,698,L,GREY,,B0DXCYNMCX
DEELMO Men's Casual Button Down Shirts Long Sleeve Linen Shirt Fashion Textured Beach Summer Shirt,DEELMO,495,1499,75,4.1,1304,XL,CREAM,,B0D4MBVC4T
DEELMO Men's Casual Button Down Shirts Long Sleeve Linen Shirt Fashion Textured Beach Summer Shirt,DEELMO Store,495,,75,4.1,1304,XL,WINE,,
DEELMO Men's Casual Button Down Shirts Long Sleeve Linen Shirt Fashion Textured Beach Summer Shirt,DEELMO Store,495,,75,4.1,1304,XL,WINE,,
Allen Solly Men’s Casual Shirt | Regular Collar | Soft Breathable Fabric | Everyday Smart Casual Wear,Allen Solly Store,989,,36,3.7,18237,44,White,,
DEELMO Men's Casual Button Down Shirts Long Sleeve Linen Shirt Fashion Textured Beach Summer Shirt,DEELMO,495,559,75,4.1,4,XL,GAJARI,,B0FDQGS3LR
Allen Solly Men’s Casual Shirt | Regular Collar | Soft Breathable Fabric | Everyday Smart Casual Wear,Allen Solly Store,1049,,28,3.7,18237,44,Black,,
Allen Solly Men’s Casual Shirt | Regular Collar | Soft Breathable Fabric | Everyday Smart Casual Wear,Allen Solly Store,989,,36,3.7,18237,44,White,,
Allen Solly Men’s Casual Shirt | Regular Collar | Soft Breathable Fabric | Everyday Smart Casual Wear,Allen Solly,1049,2299,36,3.7,18237,44,Blue,Allen solly Mens Cotton Full sleeve Overdyed shirts with contrast logo,B07DMY6WHY
Allen Solly Men’s Casual Shirt | Regular Collar | Soft Breathable Fabric | Everyday Smart Casual Wear,Allen Solly,1049,499,28,3.7,18237,44,Green,Allen solly Mens Cotton Full sleeve Overdyed shirts with contrast logo,B07DMQR89V
Allen Solly Men’s Casual Shirt | Regular Collar | Soft Breathable Fabric | Everyday Smart Casual Wear,Allen Solly,1049,499,40,3.7,18237,44,Maroon,Allen solly Mens Cotton Full sleeve Overdyed shirts with contrast logo,B07DN1BJ4V
DEELMO Men's Casual Button Down Shirts Long Sleeve Linen Shirt Fashion Textured Beach Summer Shirt,DEELMO,495,,75,4.1,4,XL,CHIKU,,B0D4MC8B8F
Allen Solly Men’s Casual Shirt | Regular Collar | Soft Breathable Fabric | Everyday Smart Casual Wear,Allen Solly Store,959,,40,3.7,18237,42,Grey,,
Allen Solly Men’s Casual Shirt | Regular Collar | Soft Breathable Fabric | Everyday Smart Casual Wear,Allen Solly,989,2299,36,3.7,18237,44,White,Allen solly Mens Cotton Full sleeve Overdyed shirts with contrast logo,B07DMQRD6H
Allen Solly Men’s Casual Shirt | Regular Collar | Soft Breathable Fabric | Everyday Smart Casual Wear,Allen Solly,1007,499,42,3.7,3,44,Aqua Blue,,B07DMY7257
Allen Solly Men’s Casual Shirt | Regular Collar | Soft Breathable Fabric | Everyday Smart Casual Wear,Allen Solly,959,1499,40,3.7,18237,42,Grey,Allen solly Mens Cotton Full sleeve Overdyed shirts with contrast logo,B07DMX4XHP
Allen Solly Men’s Casual Shirt | Regular Collar | Soft Breathable Fabric | Everyday Smart Casual Wear,Allen Solly,959,1999,40,3.7,18237,42,Black,Allen solly Mens Cotton Full sleeve Overdyed shirts with contrast logo,B07DMVJ4YR
Allen Solly Men’s Casual Shirt | Regular Collar | Soft Breathable Fabric | Everyday Smart Casual Wear,Allen Solly Store,1019,,40,3.7,18237,42,Maroon,,
Allen Solly Men’s Casual Shirt | Regular Collar | Soft Breathable Fabric | Everyday Smart Casual Wear,Allen Solly,1049,,25,3.7,3,42,Blue,,B07DMQR8B9
Allen Solly Men’s Casual Shirt | Regular Collar | Soft Breathable Fabric | Everyday Smart Casual Wear,Allen Solly,1007,1035,41,3.7,3,42,Aqua Blue,,B07DMVJ1ZF
Allen Solly Men’s Casual Shirt | Regular Collar | Soft Breathable Fabric | Everyday Smart Casual Wear,Allen Solly,959,1499,40,3.7,18237,42,Grey,Allen solly Mens Cotton Full sleeve Overdyed shirts with contrast logo,B07DMX4XHP
Allen Solly Men’s Casual Shirt | Regular Collar | Soft Breathable Fabric | Everyday Smart Casual Wear,Allen Solly,1019,2299,36,3.7,18237,42,Green,Allen solly Mens Cotton Full sleeve Overdyed shirts with contrast logo,B07DMXXVXT
CB-COLEBROOK Men's Regular Fit Solid Soft Touch Cotton Casual Shirt with Pocket Design with Spread Collar & Full Sleeves (Available in Plus Size),CB-COLEBROOK Store,495,,73,3.6,4059,XL,CADET GREY,,
CB-COLEBROOK Men's Regular Fit Solid Soft Touch Cotton Casual Shirt with Pocket Design with Spread Collar & Full Sleeves (Available in Plus Size),CB-COLEBROOK Store,495,,73,3.6,4059,XL,BERRY MAROON,,
CB-COLEBROOK Men's Regular Fit Solid Soft Touch Cotton Casual Shirt with Pocket Design with Spread Collar & Full Sleeves (Available in Plus Size),CB-COLEBROOK,495,999,73,3.6,4059,XL,CADET GREY,,B0CGLLYV2D
CB-COLEBROOK Men's Regular Fit Solid Soft Touch Cotton Casual Shirt with Pocket Design with Spread Collar & Full Sleeves (Available in Plus Size),CB-COLEBROOK,495,999,73,3.6,4059,XL,LIGHT BLUE,,B0CGLNBGCS
CB-COLEBROOK Men's Regular Fit Solid Soft Touch Cotton Casual Shirt with Pocket Design with Spread Collar & Full Sleeves (Available in Plus Size),CB-COLEBROOK,874,2199,0,3.7,4005,XL,CADET GREY,,B0CGLLYV2D
CB-COLEBROOK Men's Regular Fit Solid Soft Touch Cotton Casual Shirt with Pocket Design with Spread Collar & Full Sleeves (Available in Plus Size),CB-COLEBROOK,495,999,73,3.6,4059,XL,CADET GREY,,B0CGLLYV2D
CB-COLEBROOK Men's Regular Fit Solid Soft Touch Cotton Casual Shirt with Pocket Design with Spread Collar & Full Sleeves (Available in Plus Size),CB-COLEBROOK,495,,73,3.6,3,XL,FOREST GREEN,,B0CGLMVZZT
U TURN Men's Casual Printed Striped Stylish Latest Formal Shirt for Men,U TURN,398,3307,75,3.7,1733,M,Pink,Men casual shirt || shirt for men casual || Stylish Latest Shirt for Men || men shirt Partywear stylish cotton || Shirt for Men Formal || Shirt for Men Semi Formal || Men Shirt Striped Printed || mens casual shirts || shirt for man || Shirts for men || casual shirt for men ||shirts for men stylish || mens shirt casual stylish || formal Shirts for Men || Printed Shirts for Men || Men shirt Casual || check shirt for man || mens checks shirts || checks shirt for men || White Shirt for Men || Black Shirt for Men || Partywear Shirts || Trending shirt for Men || Plus Size Shirts for Men || Oversize Shirts for Men,B0CBX4KN8L
U TURN Men's Casual Printed Striped Stylish Latest Formal Shirt for Men,U TURN Store,398,,75,3.7,1733,M,Lightblue,,
CB-COLEBROOK Men's Regular Fit Solid Soft Touch Cotton Casual Shirt with Pocket Design with Spread Collar & Full Sleeves (Available in Plus Size),CB-COLEBROOK,495,,73,3.6,3,XL,MAUVE,,B0CMM2HCN8
U TURN Men's Casual Printed Striped Stylish Latest Formal Shirt for Men,U TURN Store,398,,75,3.7,1733,M,LGREEN,,
U TURN Men's Casual Printed Striped Stylish Latest Formal Shirt for Men,U TURN,379,449,76,3.7,1733,M,Grey,Men casual shirt || shirt for men casual || Stylish Latest Shirt for Men || men shirt Partywear stylish cotton || Shirt for Men Formal || Shirt for Men Semi Formal || Men Shirt Striped Printed || mens casual shirts || shirt for man || Shirts for men || casual shirt for men ||shirts for men stylish || mens shirt casual stylish || formal Shirts for Men || Printed Shirts for Men || Men shirt Casual || check shirt for man || mens checks shirts || checks shirt for men || White Shirt for Men || Black Shirt for Men || Partywear Shirts || Trending shirt for Men || Plus Size Shirts for Men || Oversize Shirts for Men,B0CBX6DJH6
U TURN Men's Casual Printed Striped Stylish Latest Formal Shirt for Men,U TURN Store,398,,75,3.7,1733,M,WHITE-BLUE,,
U TURN Men's Casual Printed Striped Stylish Latest Formal Shirt for Men,U TURN,428,,73,3.7,1733,M,White,Men casual shirt || shirt for men casual || Stylish Latest Shirt for Men || men shirt Partywear stylish cotton || Shirt for Men Formal || Shirt for Men Semi Formal || Men Shirt Striped Printed || mens casual shirts || shirt for man || Shirts for men || casual shirt for men ||shirts for men stylish || mens shirt casual stylish || formal Shirts for Men || Printed Shirts for Men || Men shirt Casual || check shirt for man || mens checks shirts || checks shirt for men || White Shirt for Men || Black Shirt for Men || Partywear Shirts || Trending shirt for Men || Plus Size Shirts for Men || Oversize Shirts for Men,B0D878CL4M
