product_name,brand,selling_price,list_price,discount_percentage,rating,num_reviews,size,color,description,sku
"Men’s Oversized Cotton Printed T-Shirt, Formal Round-Neck T-Shirt for Men, Graphic Print Tshirts for Boy, Casual Tshirt for Boys",Enitor,299,,80,2.5,7,XL,Beige&Black2,,
"Men’s Oversized Cotton Printed T-Shirt, Formal Round-Neck T-Shirt for Men, Graphic Print Tshirts for Boy, Casual Tshirt for Boys",Enitor,297,1499,80,2.5,2,XL,Beige & Brown,,B0GJDQDGJ4
"Men’s Oversized Cotton Printed T-Shirt, Formal Round-Neck T-Shirt for Men, Graphic Print Tshirts for Boy, Casual Tshirt for Boys",Enitor,297,,80,2.5,7,XL,Beige & Brown,,
"Men’s Oversized Cotton Printed T-Shirt, Formal Round-Neck T-Shirt for Men, Graphic Print Tshirts for Boy, Casual Tshirt for Boys",Enitor,299,1499,80,2.5,2,XL,Beige & Black,,B0GJDLFPT6
LEOTUDE Men's Half Sleeve Round Neck Cottonblend Graphic Print Oversized Tshirt for Man,LEOTUDE Store,478,,57,4.0,605,XL,Multicolour2,,
LEOTUDE Men's Half Sleeve Round Neck Cottonblend Graphic Print Oversized Tshirt for Man,LEOTUDE,293,1099,73,4.0,4,XL,Navy Blue,,B0FHDJZFJN
LEOTUDE Men's Half Sleeve Round Neck Cottonblend Graphic Print Oversized Tshirt for Man,LEOTUDE Store,798,,50,4.0,605,XL,Multicolour6,,
LEOTUDE Men's Half Sleeve Round Neck Cottonblend Graphic Print Oversized Tshirt for Man,LEOTUDE Store,478,,57,4.0,605,XL,Multicolour5,,
LEOTUDE Men's Half Sleeve Round Neck Cottonblend Graphic Print Oversized Tshirt for Man,LEOTUDE,293,1099,73,4.0,4,XL,Navy Blue,,B0FHDJZFJN
Lux Cozi Men's Half Sleeve Soild Casual Regular Fit T-Shirt with Chest Pocket | Polo Tshirt for Men,Lux Cozi Store,395,,0,4.0,3012,M,Black,,
Trillion Jaqquard Men's Polo T Shirt for Men (Polyester Blend | Regular Fit),Trillion,379,1999,81,3.5,3,L,White,,B0F55TDJDM
Lux Cozi Men's Half Sleeve Soild Casual Regular Fit T-Shirt with Chest Pocket | Polo Tshirt for Men,Lux Cozi Store,395,,0,4.0,3012,M,Maroon,,
Lux Cozi Men's Half Sleeve Soild Casual Regular Fit T-Shirt with Chest Pocket | Polo Tshirt for Men,Lux Cozi,417,419,0,4.0,4,M,Mint Green,,B0CVXQC368
"Allen Solly Men’s Polo T‑Shirt | Comfortable Rich Cotton Blend, Band Collar, Regular Fit | Stylish & Premium All Day Wear",Allen Solly,593,1799,0,4.1,80818,XL,Jet Black,Allen Solly Men's Plain Regular Fit Polo,B06Y2CH63N
Lux Cozi Men's Half Sleeve Soild Casual Regular Fit T-Shirt with Chest Pocket | Polo Tshirt for Men,Lux Cozi,417,419,0,4.0,4,M,Mint Green,,B0CVXQC368
"Allen Solly Men’s Polo T‑Shirt | Comfortable Rich Cotton Blend, Band Collar, Regular Fit | Stylish & Premium All Day Wear",Allen Solly Store,629,,43,4.1,80888,XL,LILAC,,
"Allen Solly Men’s Polo T‑Shirt | Comfortable Rich Cotton Blend, Band Collar, Regular Fit | Stylish & Premium All Day Wear",Allen Solly,679,1099,38,4.1,4,XL,Sea Green,,B06Y2FHGP4
"Allen Solly Men’s Polo T‑Shirt | Comfortable Rich Cotton Blend, Band Collar, Regular Fit | Stylish & Premium All Day Wear",Allen Solly Store,629,,43,4.1,80888,XL,Jet Black,,
Lux Cozi Men's Half Sleeve Soild Casual Regular Fit T-Shirt with Chest Pocket | Polo Tshirt for Men,Lux Cozi Store,395,,0,4.0,3012,XL,Emerald,,
Lux Cozi Men's Half Sleeve Soild Casual Regular Fit T-Shirt with Chest Pocket | Polo Tshirt for Men,Lux Cozi Store,395,,0,4.0,3012,XL,Black Melange,,
Lux Cozi Men's Half Sleeve Soild Casual Regular Fit T-Shirt with Chest Pocket | Polo Tshirt for Men,Lux Cozi,417,439,5,4.0,4,XL,Apricat,,B0CVXRD7BF
Lux Cozi Men's Cotton Regular Fit Polo T-Shirt,Lux Cozi Store,373,,11,3.9,7653,XL,Grey Melange,,
Lux Cozi Men's Half Sleeve Soild Casual Regular Fit T-Shirt with Chest Pocket | Polo Tshirt for Men,Lux Cozi,395,333,0,4.0,4,XL,Oxford Blue,,B0CVXR16HQ
Lux Cozi Men's Cotton Regular Fit Polo T-Shirt,Lux Cozi Store,380,,0,3.9,7653,XL,Apricot,,
Lux Cozi Men's Cotton Regular Fit Polo T-Shirt,Lux Cozi Store,380,,0,3.9,7653,XL,Black,,
Lux Cozi Men's Cotton Regular Fit Polo T-Shirt,Lux Cozi Store,373,,11,3.9,7653,XL,Grey Melange,,
Lux Cozi Men's Cotton Regular Fit Polo T-Shirt,Lux Cozi,370,380,3,3.9,3,XL,Ink Blue,,B0C96V7X1F
BULLMER Trendy Half Sleeve Oversized Cotton Blend Crew Neck Tshirt for Men - Pack of 2,BULLMER Store,499,,83,3.3,244,S,Beige/Denim Black,,
BULLMER Trendy Half Sleeve Oversized Cotton Blend Crew Neck Tshirt for Men - Pack of 2,BULLMER,449,999,0,3.3,233,M,Navy Blue/Brown,,B0FH5CB3L4
BULLMER Trendy Half Sleeve Oversized Cotton Blend Crew Neck Tshirt for Men - Pack of 2,BULLMER Store,519,,83,3.3,244,L,Olive/Denim Black,,
Peter England Men's Regular Fit Insignia Half Sleeve Polo T-Shirt | Cotton Rich | Premium Pique Weave,Peter England,1409,2199,0,4.0,3294,M,Adrenaline Red,"Soft handfeel ensures all-day comfort. Made from premium piqué fabric for breathability and texture. Features double tipping on the collar for a sporty, stylish finish. Cotton-rich blend offers natural softness with added durability. Crafted with superior attention to detail for a refined fit and finish.",B09XMW5LWR
BULLMER Trendy Half Sleeve Oversized Cotton Blend Crew Neck Tshirt for Men - Pack of 2,BULLMER,499,2998,83,3.3,3,S,Beige/Denim Black,,B0FH5DDR9N
Peter England Men's Regular Fit Insignia Half Sleeve Polo T-Shirt | Cotton Rich | Premium Pique Weave,Peter England Store,699,,36,4.0,3332,M,Grey,,
Peter England Men's Regular Fit Insignia Half Sleeve Polo T-Shirt | Cotton Rich | Premium Pique Weave,Peter England,629,1099,43,4.0,4,M,Forest green,,B09XMTQL9W
"KAJARU Men's Waffle Knit Polo T-Shirt, Short Sleeve, Zip Collar with White Trim (POLO-8034)",KAJARU Store,279,,72,4.3,411,M,OFFWHITE,,
Peter England Men's Regular Fit Insignia Half Sleeve Polo T-Shirt | Cotton Rich | Premium Pique Weave,Peter England,629,1099,43,4.0,4,M,Forest green,,B09XMTQL9W
"KAJARU Men's Waffle Knit Polo T-Shirt, Short Sleeve, Zip Collar with White Trim (POLO-8034)",KAJARU,319,999,68,4.3,4,M,CHIKU,,B0FFMSNN2Q
"KAJARU Men's Waffle Knit Polo T-Shirt, Short Sleeve, Zip Collar with White Trim (POLO-8034)",KAJARU Store,349,,65,4.3,411,M,COFFEE,,
boffi ... 100% Cotton Oversized T-Shirt Unisex Drop Shoulder Dye Washed Street Look Black Pack of 1,boffi ... Store,308,,61,3.6,1202,L,BLACK,,
"KAJARU Men's Waffle Knit Polo T-Shirt, Short Sleeve, Zip Collar with White Trim (POLO-8034)",KAJARU,349,999,65,4.3,4,M,SKYBLUE,,B0FFMVZM2J
boffi ... 100% Cotton Oversized T-Shirt Unisex Drop Shoulder Dye Washed Street Look Black Pack of 1,boffi ... Store,350,,65,3.6,1202,L,666 OPTICAL,,
boffi ... 100% Cotton Oversized T-Shirt Unisex Drop Shoulder Dye Washed Street Look Black Pack of 1,boffi ... Store,360,,64,3.6,1202,L,OPTICAL BLOODLINE,,
boffi ... 100% Cotton Oversized T-Shirt Unisex Drop Shoulder Dye Washed Street Look Black Pack of 1,boffi ...,360,999,64,3.6,3,L,ACID BLOODLINE,,B0GPX2THHP
Lymio Polo T Shirt for Men || T Shirt for Man || Collar T Shirt Style Men (Packs Also Available) (Polo-40-43),Lymio Store,429,,86,3.4,365,XL,Beige,,
boffi ... 100% Cotton Oversized T-Shirt Unisex Drop Shoulder Dye Washed Street Look Black Pack of 1,boffi ...,308,799,61,3.6,3,L,BLACK,,B0DNBHD29T
Lymio Polo T Shirt for Men || T Shirt for Man || Collar T Shirt Style Men (Packs Also Available) (Polo-40-43),Lymio Store,429,,86,3.4,365,XL,Green,,
Lymio Polo T Shirt for Men || T Shirt for Man || Collar T Shirt Style Men (Packs Also Available) (Polo-40-43),Lymio,429,2999,86,3.4,3,XL,Blue,,B0DP7QKJ1H
Van Heusen Men's Cotton Solid Regular Fit Collar Polo T-Shirt,Van Heusen Store,648,,41,4.0,44254,L,Nautical,,
Lymio Polo T Shirt for Men || T Shirt for Man || Collar T Shirt Style Men (Packs Also Available) (Polo-40-43),Lymio,749,2999,75,3.4,3,XL,SkyBlue-Pista,,B0F9SXWW3G
Lymio Polo T Shirt for Men || T Shirt for Man || Collar T Shirt Style Men (Packs Also Available) (Polo-40-43),Lymio,429,2999,86,3.4,3,XL,Beige,,B0DP7P4KVT
Van Heusen Men's Cotton Solid Regular Fit Collar Polo T-Shirt,Van Heusen,699,,0,4.0,43462,L,Nautical,"The minimal detailing, flattering fit and fine cotton fabric ensure it will be a weekend favorite.",B076CMJXML
"London Hills Men’s Waffle Textured T-Shirt | Solid Regular Fit Round Neck Half Sleeve Casual Wear Tee | Soft, Breathable & Lightweight Fabric",London Hills Store,269,,79,3.9,26,M,Brown,,
Van Heusen Men's Cotton Solid Regular Fit Collar Polo T-Shirt,Van Heusen,679,899,24,4.0,4,L,Cardinal Red,,B07HJBND9G
"London Hills Men’s Waffle Textured T-Shirt | Solid Regular Fit Round Neck Half Sleeve Casual Wear Tee | Soft, Breathable & Lightweight Fabric",London Hills Store,269,,79,3.9,26,M,Black,,
"London Hills Men’s Waffle Textured T-Shirt | Solid Regular Fit Round Neck Half Sleeve Casual Wear Tee | Soft, Breathable & Lightweight Fabric",London Hills Store,269,,79,3.9,26,M,Beige,,
"London Hills Men’s Waffle Textured T-Shirt | Solid Regular Fit Round Neck Half Sleeve Casual Wear Tee | Soft, Breathable & Lightweight Fabric",London Hills,269,1299,79,3.9,3,M,Pista_Green,,B0GBXS7QPP
Scott International Men's Regular Fit T-Shirt,Scott International,249,,64,3.7,43030,M,Maroon Melange - Pack of 1,,
Scott International Men's Regular Fit T-Shirt,Scott International,249,699,64,3.7,3,M,Black - Pack of 1,,B0DM53T1JC
Amazon Brand - Symbol Men's Cotton Rich Solid Polo Tshirt | Collar Tshirts | Half Sleeves | Plain-Regular Fit (Available in Plus Sizes and Combo Pack of 2),Amazon Brand - Symbol,399,1099,64,3.9,3,M,Fog Teal,,B07MZKNLGF
Amazon Brand - Symbol Men's Cotton Rich Solid Polo Tshirt | Collar Tshirts | Half Sleeves | Plain-Regular Fit (Available in Plus Sizes and Combo Pack of 2),Amazon Brand - Symbol,399,,64,3.9,38402,M,Fog Teal,,
Amazon Brand - Symbol Men's Cotton Rich Solid Polo Tshirt | Collar Tshirts | Half Sleeves | Plain-Regular Fit (Available in Plus Sizes and Combo Pack of 2),Amazon Brand - Symbol,399,1099,64,3.9,3,M,Bright Blue,,B0FV34L64Z
KAJARU Men's Polyester Blend T Shirt with Spread Collar Neck Line Zipper Closure Full Sleeves Solid Pattern Regular Fit and Standard Length,KAJARU Store,309,,69,4.1,682,XL,BLACK,,
KAJARU Men's Polyester Blend T Shirt with Spread Collar Neck Line Zipper Closure Full Sleeves Solid Pattern Regular Fit and Standard Length,KAJARU,,,0,4.1,668,XL,COFFEE,,B0FFMBJ1J2
KAJARU Men's Polyester Blend T Shirt with Spread Collar Neck Line Zipper Closure Full Sleeves Solid Pattern Regular Fit and Standard Length,KAJARU Store,349,,65,4.1,682,2XL,OFFWHITE,,
KAJARU Men's Polyester Blend T Shirt with Spread Collar Neck Line Zipper Closure Full Sleeves Solid Pattern Regular Fit and Standard Length,KAJARU Store,349,,65,4.1,682,XL,ONIONPINK,,
KAJARU Men's Polyester Blend T Shirt with Spread Collar Neck Line Zipper Closure Full Sleeves Solid Pattern Regular Fit and Standard Length,KAJARU Store,345,,65,4.1,682,2XL,SKYBLUE,,
Lymio Polo T Shirt for Men || T Shirt for Man || Collar T Shirt Style Men (Packs Also Available) (Polo-51-54),Lymio Store,449,,85,3.3,64,2XL,Black,,
KAJARU Men's Polyester Blend T Shirt with Spread Collar Neck Line Zipper Closure Full Sleeves Solid Pattern Regular Fit and Standard Length,KAJARU,309,999,69,4.1,4,XL,COFFEE,,B0FFMBJ1J2
Lymio Polo T Shirt for Men || T Shirt for Man || Collar T Shirt Style Men (Packs Also Available) (Polo-51-54),Lymio Store,849,,86,3.3,64,2XL,Black-OliveGreen,,
Lymio Polo T Shirt for Men || T Shirt for Man || Collar T Shirt Style Men (Packs Also Available) (Polo-51-54),Lymio Store,449,,85,3.3,64,2XL,Olivegreen,,
Lymio Polo T Shirt for Men || T Shirt for Man || Collar T Shirt Style Men (Packs Also Available) (Polo-51-54),Lymio Store,449,,85,3.3,64,2XL,Olivegreen,,
Lymio Polo T Shirt for Men || T Shirt for Man || Collar T Shirt Style Men (Packs Also Available) (Polo-51-54),Lymio,449,2999,85,3.3,3,2XL,Blue,,B0DRFLF2XY
TAGDO® Men's Jacquard Chain Polo Shirt || Tshirt for Man || Mens Tshirt (2020),TAGDO Store,399,,75,4.0,1226,M,White,,
TAGDO® Men's Jacquard Chain Polo Shirt || Tshirt for Man || Mens Tshirt (2020),TAGDO,399,1599,75,4.0,4,M,White,,B0DJRBQ485
Van Heusen Men's Cotton Solid Regular Fit Collar Polo T-Shirt,Van Heusen Store,679,,38,4.0,44254,XL,Cardinal Red,,
Van Heusen Men's Cotton Solid Regular Fit Collar Polo T-Shirt,Van Heusen,679,1099,38,4.0,4,XL,Grey Mélange,,B076CJMH9V
BULLMER Trendy Printed Cotton Blend Crew Neck/Round Neck Half Sleeve Tshirt for Men - Pack of 3,BULLMER Store,559,,81,3.7,1899,M,Brick/Bluish Grey/Navy Blue,,
BULLMER Trendy Printed Cotton Blend Crew Neck/Round Neck Half Sleeve Tshirt for Men - Pack of 3,BULLMER Store,559,,81,3.7,1899,M,Navy Blue/Purple/Beige,,
Van Heusen Men's Cotton Solid Regular Fit Collar Polo T-Shirt,Van Heusen,679,1099,38,4.0,4,XL,Grey Mélange,,B076CJMH9V
Peter England Men's Regular Fit Insignia Half Sleeve Polo T-Shirt | Cotton Rich | Premium Pique Weave,Peter England,909,3099,0,4.0,3329,L,Gibraltar Sea,"Soft handfeel ensures all-day comfort. Made from premium piqué fabric for breathability and texture. Features double tipping on the collar for a sporty, stylish finish. Cotton-rich blend offers natural softness with added durability. Crafted with superior attention to detail for a refined fit and finish.",B09XMTQLB1
BULLMER Trendy Printed Cotton Blend Crew Neck/Round Neck Half Sleeve Tshirt for Men - Pack of 3,BULLMER,559,2997,81,3.7,3,M,Black/Beige/Brick,,B0DJYJ2S94
Peter England Men's Regular Fit Insignia Half Sleeve Polo T-Shirt | Cotton Rich | Premium Pique Weave,Peter England Store,629,,43,4.0,3332,L,Forest green,,
Peter England Men's Regular Fit Insignia Half Sleeve Polo T-Shirt | Cotton Rich | Premium Pique Weave,Peter England,699,1099,36,4.0,4,L,Adrenaline Red,,B09XMWFF8Y
Peter England Men's Regular Fit Insignia Half Sleeve Polo T-Shirt | Cotton Rich | Premium Pique Weave,Peter England Store,699,,36,4.0,3332,L,Grey,,
