crawl_timestamp,uniq_id,page_url,product_name,list_price,selling_price,discount_percentage,color,size,description,sku
"Aug 22, 2026 @ 20:34:29.013",f0fff30a05c41e2ea39d9bbe548bae23,https://doodlage.in/products/joy-scrunchie-indigo-copy,Joy Scrunchie White,,,,,,,SKU: DL26-AC-002
"Aug 22, 2026 @ 20:34:28.993",78de8f80b2c25f02b72d8ac9fb219910,https://doodlage.in/products/dl24-sk-004-judy-printed-skirt,Judy Printed Skirt,,,,,,,SKU: DL24-SK-004-XS
"Aug 22, 2026 @ 20:34:29.041",466725220d5bfe085136ff21ce1d7086,https://doodlage.in/products/dl26-sk-019-judy-black-skirt,JUDY BLACK SKIRT,,,,,,,SKU: DL26-SK-019-XS
"Aug 22, 2026 @ 20:34:29.065",6d15a26d61edd049e8caa6b3f2e5301d,https://doodlage.in/products/dl26-sk-001-judy-denim-panelled-skirt,JUDY DENIM PANELLED SKIRT,,,,,,,SKU: DL26-SK-001-XS
"Aug 22, 2026 @ 20:34:29.613",7d3645fc53021398cf245063e9bf6f50,https://doodlage.in/products/dl23-jk-001,Liza Printed Blazer,,,,,,,SKU: DL23-JK-001-S
"Aug 22, 2026 @ 20:34:29.643",c38bef432fcfe2072ad954dbe7645b10,https://doodlage.in/products/kerry-grey-jumpsuit,KERRY GREY JUMPSUIT,,,,,,,SKU: DL22-JS-001R-XS
"Aug 22, 2026 @ 20:34:29.679",a799ae38037eb55d60f078edd6b6ebfe,https://doodlage.in/products/dl24-dr-028-lola-beige-dress,LOLA BEIGE DRESS,,,,,,,SKU: DL24-DR-028-XS/S
"Aug 22, 2026 @ 20:34:29.714",e490645bd61ed8b03ed67fa5f3b00cb7,https://doodlage.in/products/dl25-dr-040-malaya-printed-dress,MALAYA PRINTED DRESS,,,,,,,SKU: DL25-DR-040-XS
"Aug 22, 2026 @ 20:34:30.214",e1f5d3306ca71a465ef7f0a2bf66a134,https://doodlage.in/products/dl23-sk-002-marcela-printed-skirt,Marcela Printed Skirt,,,,,,,SKU: DL23-SK-002-XS
"Aug 22, 2026 @ 20:34:30.232",b0bfd108bf6eb467cb251d76ab9de5ea,https://doodlage.in/products/dl26-dr-055-mary-black-dress,MARY BLACK DRESS,,,,,,,SKU: DL26-DR-055-XS
"Aug 22, 2026 @ 20:34:30.275",2be2df0177a57d5ef7f5eec12093d553,https://doodlage.in/products/dl26-dr-048-mary-beige-dress,MARY BEIGE DRESS,,,,,,,SKU: DL26-DR-048-XS
"Aug 22, 2026 @ 20:34:30.317",c3d023e5902b316eb4757e3c2b259c10,https://doodlage.in/products/dl26-dr-047-mary-flora-printed-dress,MARY FLORA PRINTED DRESS,,,,,,,SKU: DL26-DR-047-XS
"Aug 22, 2026 @ 20:34:30.827",cdc2848cf86eee6f5425a22095e2f57c,https://doodlage.in/products/dl26-dr-063-midsummer-black-dress,MIDSUMMER BLACK DRESS,,,,,,,SKU: DL26-DR-063-XS-S
"Aug 22, 2026 @ 20:34:30.851",795c4ffb75983fa6c9fb1be8f11f9f54,https://doodlage.in/products/dl24-sk-011-mia-beige-skirt,Mia Beige Skirt,,,,,,,SKU: DL24-SK-011-XS/S
