crawl_timestamp,uniq_id,page_url,product_name,brand,selling_price,list_price,discount_percentage,rating,num_reviews,sku,color
"Apr 17, 2026 @ 00:42:52.800",3064876d8ae18d6091f5cbf8659100f0,https://www.flipkart.com/ryze-boys-girls-printed-polyester-regular-t-shirt/p/itm204a6971a7a6f?pid=KTBHHG3VPQ22ZVXT&lid=LSTKTBHHG3VPQ22ZVXTYT5M7S&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_1&otracker=browse&fm=organic&iid=en_T0kLveZ7Uem1amLobukH34_bEDdx5Ygo2YJjG9qcg6D1lnN82_pyVT_tIRcNAIlua_e_2JXY0Mmw9pbTl5M6sQ%3D%3D&ppt=None&ppn=None&ssid=4dvu6vzd280000001776366568673&ov_redirect=true,Ryze Boys & Girls Printed Polyester Regular T Shirt,Ryze,345,999,65,4.3,90,KTBHHG3VPQ22ZVXT,Red
"Apr 17, 2026 @ 00:42:52.923",46702281704ecf3b5b3887698c917efd,https://www.flipkart.com/teeglee-printed-men-v-neck-yellow-t-shirt/p/itma769965d39cd5?pid=TSHHHHVNFVKTFZ9B&lid=LSTTSHHHHVNFVKTFZ9BXO4U3Y&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_2&otracker=browse&fm=organic&iid=en_T0kLveZ7Uem1amLobukH34_bEDdx5Ygo2YJjG9qcg6ASPI2Y4h9BYbJdMoqg3CSr5hA6gG1D2UlQbeeMVmCXjg%3D%3D&ppt=None&ppn=None&ssid=4dvu6vzd280000001776366568673&ov_redirect=true,Teeglee Printed Men V Neck Yellow T-Shirt,Teeglee,330,899,63,4.1,375,TSHHHHVNFVKTFZ9B,Yellow
"Apr 17, 2026 @ 00:42:53.034",b06ad17a753e59d800a131f86f2d39b5,https://www.flipkart.com/hellcat-boys-printed-cotton-blend-regular-t-shirt/p/itm1b9f60b2d8f3d?pid=KTBGN9XGJHSVHX83&lid=LSTKTBGN9XGJHSVHX83DTNFCU&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_3&otracker=browse&fm=organic&iid=en_T0kLveZ7Uem1amLobukH34_bEDdx5Ygo2YJjG9qcg6BG20Khq3FzeJzwDy-padT4mi6xy_lufpIkErpadxacsA%3D%3D&ppt=None&ppn=None&ssid=4dvu6vzd280000001776366568673&ov_redirect=true,Hellcat Boys Printed Cotton Blend Regular T Shirt,Hellcat,397,897,56,4.0,31324,KTBGN9XGJHSVHX83,Pink / Petrol Blue / Sky Blue
"Apr 17, 2026 @ 00:42:53.142",026fd84b10691c9d06f7e11f02e7e144,https://www.flipkart.com/msv-boys-girls-printed-polyester-regular-t-shirt/p/itm31bf0bbc7573a?pid=KTBHFG3PBJND7GYX&lid=LSTKTBHFG3PBJND7GYXOHAG09&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_4&otracker=browse&fm=organic&iid=6dfd3d3b-78d9-476e-a80b-81290b8775f0.KTBHFG3PBJND7GYX.SEARCH&ppt=None&ppn=None&ssid=4dvu6vzd280000001776366568673&ov_redirect=true,MSV Boys & Girls Printed Polyester Regular T Shirt,MSV,328,899,64,4.0,300,KTBHFG3PBJND7GYX,Red
"Apr 17, 2026 @ 00:42:53.252",99d9e4213adec430e2f38de6671b48ad,https://www.flipkart.com/technosport-printed-men-polo-neck-black-t-shirt/p/itma67e319fa2780?pid=TSHHCGMZKGKKHHRK&lid=LSTTSHHCGMZKGKKHHRK8BZTMW&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_5&otracker=browse&fm=organic&iid=en_T0kLveZ7Uem1amLobukH34_bEDdx5Ygo2YJjG9qcg6DCOq8mibco_N0p0rUW-h-0pejp-Ut8LZ6MMrN6uaT4Z_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=4dvu6vzd280000001776366568673&ov_redirect=true,TECHNOSPORT Printed Men Polo Neck Black T-Shirt,TECHNOSPORT,599,599,0,4.2,731,TSHHCGMZKGKKHHRK,Parallel Pulse
"Apr 17, 2026 @ 00:42:53.402",ab5e5d362bf473ed28ca7b1088a63a81,https://www.flipkart.com/ryze-boys-girls-printed-polyester-regular-t-shirt/p/itm5ba02dbcf6e79?pid=KTBHHG3BDAQDVZAG&lid=LSTKTBHHG3BDAQDVZAGI3PM7L&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_6&otracker=browse&fm=organic&iid=en_T0kLveZ7Uem1amLobukH34_bEDdx5Ygo2YJjG9qcg6CBC_sHyX9YAbVXtd9xTqD2b53l878YZB_2_YoGts6tNvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=4dvu6vzd280000001776366568673&ov_redirect=true,Ryze Boys & Girls Printed Polyester Regular T Shirt,Ryze,395,999,60,3.9,125,KTBHHG3BDAQDVZAG,Red
"Apr 17, 2026 @ 00:42:53.506",2dc89691ca03aa66e067cfbc2e22425e,https://www.flipkart.com/chain-link-graphic-print-men-polo-neck-brown-t-shirt/p/itm4bf096cfdac4f?pid=TSHHM22NFDGSNAZT&lid=LSTTSHHM22NFDGSNAZTGTQ8Y3&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_7&otracker=browse&fm=organic&iid=6dfd3d3b-78d9-476e-a80b-81290b8775f0.TSHHM22NFDGSNAZT.SEARCH&ppt=None&ppn=None&ssid=4dvu6vzd280000001776366568673&ov_redirect=true,Chain Link Graphic Print Men Polo Neck Brown T-Shirt,Chain Link,369,999,63,,,TSHHM22NFDGSNAZT,Brown
"Apr 17, 2026 @ 00:42:53.580",06c5c4c12977d843c588c2f81a876e06,https://www.flipkart.com/anudrima-trends-printed-men-round-neck-white-t-shirt/p/itm748b72aaa1103?pid=TSHHME382CYR5ZGF&lid=LSTTSHHME382CYR5ZGFB1XFXE&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_8&otracker=browse&fm=organic&iid=6dfd3d3b-78d9-476e-a80b-81290b8775f0.TSHHME382CYR5ZGF.SEARCH&ppt=None&ppn=None&ssid=4dvu6vzd280000001776366568673&ov_redirect=true,Anudrima Trends Printed Men Round Neck White T-Shirt,Anudrima Trends,228,999,77,,,TSHHME382CYR5ZGF,White
"Apr 17, 2026 @ 00:42:53.648",fad569c85c3f8b48dc0be9ef5b23a2d9,https://www.flipkart.com/naughty-men-striped-polo-neck-blue-t-shirt/p/itm603b133ed432b?pid=TSHHEMYYHST8GK2T&lid=LSTTSHHEMYYHST8GK2TWCRRAR&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_9&otracker=browse&fm=organic&iid=en_T0kLveZ7Uem1amLobukH34_bEDdx5Ygo2YJjG9qcg6BLy2s_dpgxrcCPpqgfukv4BoPSNvhwNYH7q_l7dPJnjPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=4dvu6vzd280000001776366568673&ov_redirect=true,NAUGHTY MEN Striped Men Polo Neck Blue T-Shirt,NAUGHTY MEN,278,499,44,3.7,309,TSHHEMYYHST8GK2T,Blue
"Apr 17, 2026 @ 00:42:53.738",dcc14de85c7c25c825dded511cfb4a7f,https://www.flipkart.com/hoc-printed-women-round-neck-black-t-shirt/p/itm8e434761019f6?pid=TSHHMD3TGZNY59WZ&lid=LSTTSHHMD3TGZNY59WZFV5JVT&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_10&otracker=browse&fm=organic&iid=6dfd3d3b-78d9-476e-a80b-81290b8775f0.TSHHMD3TGZNY59WZ.SEARCH&ppt=None&ppn=None&ssid=4dvu6vzd280000001776366568673&ov_redirect=true,HOC Printed Women Round Neck Black T-Shirt,HOC,251,999,75,,,TSHHMD3TGZNY59WZ,Black
