crawl_timestamp,uniq_id,page_url,product_name,brand,selling_price,list_price,discount_percentage,sku,color,seller
"Apr 17, 2026 @ 00:52:07.889",7ba3bc652c9b636450c17fb468215f81,https://www.limeroad.com/grey-mooch-wale-p21842492,Men Grey Round Neck Regular Fit T-Shirt,Mooch Wale,399,999,60,21842492,grey,TRAM STATION
"Apr 17, 2026 @ 00:52:07.904",ab4f7dd12453a2781a6efb215bf40ee9,https://www.limeroad.com/beige-cotton-single-jersey-v-mart-p22101152,Men Printed Short Sleeve Regular Fit Polo T-Shirt,Flick by Vmart,319,399,20,22101152,Beige,V MART RETAIL LTD
"Apr 17, 2026 @ 00:52:07.931",0dd59f49be842ec54498b032601f274b,https://www.limeroad.com/beige-imported-tshirt-v-mart-p22299819,Men'S Beige Seamless Polo-T-Shirt With Tonal Stitching  Slim Fit Breathable Stretch,V-Mart,559,699,20,22299819,Beige,V MART RETAIL LTD
"Apr 17, 2026 @ 00:52:07.951",7d9e255b18c8a3a41c56d49f101b1e21,https://www.limeroad.com/beige-cotton-v-mart-p21928314,Men Striped Long Sleeve Regular Fit T-Shirt,Flick by Vmart,379,449,16,21928314,Beige,V MART RETAIL LTD
"Apr 17, 2026 @ 00:52:08.878",34bc8627037351ab4d2a1f186ec7cedd,https://www.limeroad.com/beige-cotton-single-jersey-v-mart-p22176248,Men Printed Short Sleeve Regular Fit Polo T-Shirt,Flick by Vmart,339,399,15,22176248,Beige,V MART RETAIL LTD
"Apr 17, 2026 @ 00:52:08.896",e5265eee913fae0026893fad1a052a29,https://www.limeroad.com/blue-cotton-flick-by-vmart-p21670159,Men Solid Short Sleeve Regular Fit T-Shirt,Flick by Vmart,399,399,0,21670159,blue,V MART RETAIL LTD
"Apr 17, 2026 @ 00:52:08.921",e4e686e7e54760bcc39b413f14613bc3,https://www.limeroad.com/black-cotton-v-mart-p21749910,Men Solid Short Sleeve Regular Fit Polo T-Shirt,V-Mart,409,449,9,21749910,black,V MART RETAIL LTD
"Apr 17, 2026 @ 00:52:08.954",60638772856a3d82af1685df94fb2318,https://www.limeroad.com/grey-cotton-tshirt-minute-mirth-p22285121,Men Printed Short Sleeve Regular Fit T-Shirt,Minute mirth,369,999,63,22285121,Grey,DHANANJAI LIFESTYLE LIMITED
"Apr 17, 2026 @ 00:52:09.791",77a51482c04c68dc8787423b8d432bc2,https://www.limeroad.com/beige-cotton-single-jersey-v-mart-p22101152?imgIdx=0&src_id=fromsearch__0,Men Printed Short Sleeve Regular Fit Polo T-Shirt,Flick by Vmart,319,399,20,22101152,Beige,V MART RETAIL LTD
"Apr 17, 2026 @ 00:52:09.904",249cbc6f7a77b6a4e7e5e3dc71bcf3e6,https://www.limeroad.com/beige-imported-tshirt-v-mart-p22299819?imgIdx=0&src_id=fromsearch__0,Men'S Beige Seamless Polo-T-Shirt With Tonal Stitching  Slim Fit Breathable Stretch,V-Mart,559,699,20,22299819,Beige,V MART RETAIL LTD
"Apr 17, 2026 @ 00:52:09.915",6e24d5e70755d9dde79d169f86a9d144,https://www.limeroad.com/grey-mooch-wale-p21842492?imgIdx=0&src_id=fromsearch__0,Men Grey Round Neck Regular Fit T-Shirt,Mooch Wale,399,999,60,21842492,grey,TRAM STATION
"Apr 17, 2026 @ 00:52:09.928",478abcac520b24204620667c3795ce70,https://www.limeroad.com/beige-cotton-v-mart-p21928314?imgIdx=0&src_id=fromsearch__0,Men Striped Long Sleeve Regular Fit T-Shirt,Flick by Vmart,379,449,16,21928314,Beige,V MART RETAIL LTD
"Apr 17, 2026 @ 00:52:10.771",2054eb8ec3a0db25c7c916e9e565fa7c,https://www.limeroad.com/beige-cotton-single-jersey-v-mart-p22176248?imgIdx=0&src_id=fromsearch__0,Men Printed Short Sleeve Regular Fit Polo T-Shirt,Flick by Vmart,339,399,15,22176248,Beige,V MART RETAIL LTD
"Apr 17, 2026 @ 00:52:10.821",d517948696b37159b50f73e3bb36cc26,https://www.limeroad.com/black-cotton-v-mart-p21749910?imgIdx=0&src_id=fromsearch__0,Men Solid Short Sleeve Regular Fit Polo T-Shirt,V-Mart,409,449,9,21749910,black,V MART RETAIL LTD
"Apr 17, 2026 @ 00:52:10.889",6ea5b89eda05e7c55bafc23cd2eb995c,https://www.limeroad.com/grey-cotton-tshirt-minute-mirth-p22285121?imgIdx=0&src_id=fromsearch__0,Men Printed Short Sleeve Regular Fit T-Shirt,Minute mirth,369,999,63,22285121,Grey,DHANANJAI LIFESTYLE LIMITED
"Apr 17, 2026 @ 00:52:10.918",cc155f885575189cde20eb6a3cc6a32b,https://www.limeroad.com/blue-cotton-flick-by-vmart-p21670159?imgIdx=0&src_id=fromsearch__0,Men Solid Short Sleeve Regular Fit T-Shirt,Flick by Vmart,399,399,0,21670159,blue,V MART RETAIL LTD
"Apr 17, 2026 @ 00:52:11.741",20bd778a479cc0d88c89b5a8116bedba,https://www.limeroad.com/black-mkh-p21762547,Women Black Typographic Round Neck T-Shirt,MKH,519,2999,83,21762547,black,HANDA CLOTHING INC
"Apr 17, 2026 @ 00:52:11.815",66d9a4f34aad153a8ddd36b3232ac6b0,https://www.limeroad.com/maroon-cotton-blend-ausk-p20266652,Women'S Striped Round Neck T-Shirt,AUSK,349,999,65,20266652,maroon,FROST CLOTHINGS
"Apr 17, 2026 @ 00:52:11.825",1612453822b58572c62ae6190d5d8e52,https://www.limeroad.com/black-mkh-p21762564,Women Black Typographic Round Neck T-Shirt,MKH,519,2999,83,21762564,black,HANDA CLOTHING INC
"Apr 17, 2026 @ 00:52:11.872",ae6817bb01d8745f5b4c40eb453094b1,https://www.limeroad.com/teal-cotton-v-mart-p21975896,Women Printed Short Sleeve Boxy T-Shirt,Unlimited,399,449,11,21975896,Teal,V MART RETAIL LTD
"Apr 17, 2026 @ 00:52:12.677",6ef46e640ecff367b438d968786caeb5,https://www.limeroad.com/black-cotton-tshirt-ug-fashion-p22362030,Women Printed Short Sleeve Oversized T-Shirt,UG Fashion,399,1299,69,22362030,Black,UGNA ENTERPRISES
"Apr 17, 2026 @ 00:52:12.759",9c66808ac752b0004a20001c92778d36,https://www.limeroad.com/black-mkh-p21763283,Women Printed Relaxed Fit Mesh Sports T-Shirt,MKH,519,3633,86,21763283,black,HANDA CLOTHING INC
"Apr 17, 2026 @ 00:52:12.809",1859b143288ddb78249a70a2c65e5034,https://www.limeroad.com/dark-grey-single-jersey-v-mart-p22175411,Women Printed Short Sleeve T-Shirt,Twist by Vmart,299,2,0,22175411,Grey,V MART RETAIL LTD
"Apr 17, 2026 @ 00:52:12.825",0e6b4469436ec053f7d9d7fcdeae2037,https://www.limeroad.com/coffee-brown-cotton-tshirt-ug-fashion-p22338410,Women Printed Short Sleeve Oversized T-Shirt,UG Fashion,399,1299,69,22338410,Coffee Brown,UGNA ENTERPRISES
"Apr 17, 2026 @ 00:52:13.653",4741da94dba183b526ee7af34171c5ff,https://www.limeroad.com/black-mkh-p21762547?imgIdx=0&src_id=fromsearch__0,Women Black Typographic Round Neck T-Shirt,MKH,519,2999,83,21762547,black,HANDA CLOTHING INC
"Apr 17, 2026 @ 00:52:13.669",e911061b2314e9c0c99d25c2fcb56497,https://www.limeroad.com/maroon-cotton-blend-ausk-p20266652?imgIdx=0&src_id=fromsearch__0,Women'S Striped Round Neck T-Shirt,AUSK,349,999,65,20266652,maroon,FROST CLOTHINGS
"Apr 17, 2026 @ 00:52:13.757",e2695702b98f6df758099f3b543e786d,https://www.limeroad.com/teal-cotton-v-mart-p21975896?imgIdx=0&src_id=fromsearch__0,Women Printed Short Sleeve Boxy T-Shirt,Unlimited,399,449,11,21975896,Teal,V MART RETAIL LTD
"Apr 17, 2026 @ 00:52:13.801",8a8d78452b4969eb4d90860f54d97663,https://www.limeroad.com/black-mkh-p21762564?imgIdx=0&src_id=fromsearch__0,Women Black Typographic Round Neck T-Shirt,MKH,519,2999,83,21762564,black,HANDA CLOTHING INC
"Apr 17, 2026 @ 00:52:14.605",4aac7e399faedb52451a45b3bd67fe96,https://www.limeroad.com/coffee-brown-cotton-tshirt-ug-fashion-p22338410?imgIdx=0&src_id=fromsearch__0,Women Printed Short Sleeve Oversized T-Shirt,UG Fashion,399,1299,69,22338410,Coffee Brown,UGNA ENTERPRISES
"Apr 17, 2026 @ 00:52:14.644",92e8ebb944fd2781b2419f6f833198c1,https://www.limeroad.com/dark-grey-single-jersey-v-mart-p22175411?imgIdx=0&src_id=fromsearch__0,Women Printed Short Sleeve T-Shirt,Twist by Vmart,299,2,0,22175411,Grey,V MART RETAIL LTD
"Apr 17, 2026 @ 00:52:14.662",9b095b581170a07ed3b22d423657cf84,https://www.limeroad.com/black-mkh-p21763283?imgIdx=0&src_id=fromsearch__0,Women Printed Relaxed Fit Mesh Sports T-Shirt,MKH,519,3633,86,21763283,black,HANDA CLOTHING INC
"Apr 17, 2026 @ 00:52:14.803",ba58ec1f88eb7f3034b2d05c47a16c3a,https://www.limeroad.com/black-cotton-tshirt-ug-fashion-p22362030?imgIdx=0&src_id=fromsearch__0,Women Printed Short Sleeve Oversized T-Shirt,UG Fashion,399,1299,69,22362030,Black,UGNA ENTERPRISES
