crawl_timestamp,uniq_id,page_url,product_name,brand,selling_price,list_price,discount_percentage,rating,num_reviews,sku,color
"Apr 20, 2026 @ 22:11:27.878",09f5b3a9c87fa821e5bdf11000c45396,https://www.myntra.com/jeans/baesd/baesd-women-wide-leg-high-rise-light-fade-stretchable-jeans/41134782/buy,BAESD Women Wide Leg High-Rise Light Fade Stretchable Jeans,BAESD,741,2999,75,,,41134782,Black
"Apr 20, 2026 @ 22:11:27.954",49041927c9b824ecbf58734c349e862b,https://www.myntra.com/jeans/suo/suo-women-high-rise-stretchable-jeans/40951877/buy,Suo Women High-Rise Stretchable Jeans,Suo,1747,4599,62,,,40951877,Beige
"Apr 20, 2026 @ 22:11:28.096",8f24349c36eb1e8d0e41afbfcfaf3371,https://www.myntra.com/jeans/kashian/kashian-women-high-rise-no-fade-cotton-relaxed-fit-jeans/37014648/buy,KASHIAN Women High-Rise No Fade Cotton Relaxed Fit Jeans,KASHIAN,595,1999,70,3.9,4873,37014648,Black
"Apr 20, 2026 @ 22:11:28.141",6917ab2197bc46221efb251f2eeeb4a0,https://www.myntra.com/jeans/nifty/nifty-women-high-rise-baggy-fit--jeans/36465951/buy,Nifty Women High-Rise Baggy Fit  Jeans,Nifty,874,1999,56,4.3,6223,36465951,Blue
"Apr 20, 2026 @ 22:11:29.977",59921c93e26f5cd985f3c5d90cf4f3a3,https://www.myntra.com/jeans/aadvi+fashion/aadvi-fashion-women-jean-baggy-high-rise-stretchable-jeans/32687924/buy,Aadvi Fashion Women Jean Baggy High-Rise Stretchable Jeans,Aadvi Fashion,692,2899,76,4.3,8246,32687924,Blue
"Apr 20, 2026 @ 22:11:30.086",7c61b313111bc5f6d6c517d2053923e3,https://www.myntra.com/jeans/roadster/the-roadster-life-co-women-wide-leg-light-fade-stretchable-jeans/26697906/buy,The Roadster Life Co. Women Wide Leg Light Fade Stretchable Jeans,Roadster,719,1799,60,4.3,2197,26697906,Blue
"Apr 20, 2026 @ 22:11:30.179",42123f8370c949b87bcdfcc5b15ddde7,https://www.myntra.com/jeans/4wrd+by+dressberry/4wrd-by-dressberry-women-wide-leg-high-rise-light-fade-stretchable-jeans/41138845/buy,4WRD by Dressberry Women Wide Leg High-Rise Light Fade Stretchable Jeans,4WRD by Dressberry,741,2999,75,,,41138845,Blue
"Apr 20, 2026 @ 22:11:30.300",34598be2b553f0a13d6de12e1d23a2ea,https://www.myntra.com/jeans/stylecast+x+revolte/stylecast-x-revolte-men-wide-leg-mid-rise-light-fade-jeans/37943174/buy,StyleCast x Revolte Men Wide Leg Mid-Rise Light Fade Jeans,StyleCast x Revolte,1479,3999,63,3.5,1066,37943174,Blue
"Apr 20, 2026 @ 22:11:31.993",40235ddb91a29f0ca717917289ee9a80,https://www.myntra.com/jeans/bene+kleed/bene-kleed-men-ecru-wide-leg-mid-rise-jeans/32757492/buy,Bene Kleed Men Ecru Wide Leg Mid Rise Jeans,Bene Kleed,999,2599,62,3.8,2776,32757492,Beige
"Apr 20, 2026 @ 22:11:32.044",f85a9d1eda4ef914827e52aac5f4d8e5,https://www.myntra.com/jeans/r.code+by+the+roadster+life+co./rcode-by-the-roadster-life-co-men-mid-rise-jeans/40875362/buy,R.Code by The Roadster Life Co. Men Mid-Rise Jeans,R.Code by The Roadster Life Co.,799,2499,68,,,40875362,Coffee Brown
