crawl_timestamp,uniq_id,page_url,product_name,brand,sku,selling_price,list_price,rating,image_url
"Apr 19, 2026 @ 20:04:49.019",96b693a2f316768f43d27d3449c95d02,https://www.shoppersstop.com/alivia-wide-mouth-cereal-bowl/p/S23DIN180558,Alivia Wide Mouth Cereal Bowl,HomeStop,S23DIN180558,299,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/S23DIN180558/S23DIN180558_BEIGE/S23DIN180558_BEIGE.jpg_2000Wx3000H
"Apr 19, 2026 @ 20:04:49.025",d29fedcb330ea897b7bfaf3647807047,https://www.shoppersstop.com/alivia-soup-bowl-with-spoon-stoneware-13-x-8-5-cm/p/S22B2EAALSBSBRW,Alivia Soup Bowl With Spoon Stoneware 13 x 8.5 cm,Back To Earth,S22B2EAALSBSBRW,299,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/S22B2EAALSBSBRW/S22B2EAALSBSBRW_BEIGE/S22B2EAALSBSBRW_BEIGE.jpg_2000Wx3000H
"Apr 19, 2026 @ 20:04:49.036",db3a2db6805e76194c1ad82992b1fa8b,https://www.shoppersstop.com/stainless-steel-pearl-dessert-bowl/p/S24SK477,Stainless Steel Pearl Dessert Bowl,Sanjeev Kapoor,S24SK477,199,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/S24SK477/S24SK477_SILVER_GREY/S24SK477_SILVER_GREY.jpg_2000Wx3000H
"Apr 19, 2026 @ 20:04:49.031",4edffb1bfa9236ae4d7c208fe87785ae,https://www.shoppersstop.com/marigold-quarter-plate-handpainted-stoneware/p/A237605131912,Marigold Quarter Plate - Handpainted Stoneware,Chumbak,A237605131912,636,795,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A237605131912/A237605131912_MULTI/A237605131912_MULTI.jpg_2000Wx3000H
"Apr 19, 2026 @ 20:04:49.121",9be22410459bf9c3cc0fbfe4a7fec4fe,https://www.shoppersstop.com/popart-treat-yourself-veg-bowl/p/A23DIN169009,Popart Treat Yourself Veg Bowl,HomeStop,A23DIN169009,43,145,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A23DIN169009/A23DIN169009_MULTI/A23DIN169009_MULTI.jpg_2000Wx3000H
"Apr 19, 2026 @ 20:04:49.127",7f10cf4e0e436bd616e19a2c31a0bd23,https://www.shoppersstop.com/set-of-2-mxg-bowls-0-5-1-3-l/p/A23IH22MB12021,Set Of 2 Mxg Bowls 0.5 + 1.3 L,Borosil,A23IH22MB12021,735,865,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A23IH22MB12021/A23IH22MB12021_NO_COLOR/A23IH22MB12021_NO_COLOR.jpg_2000Wx3000H
"Apr 19, 2026 @ 20:04:49.141",83441ee8afb52d2a1ed97e6a40552f68,https://www.shoppersstop.com/homemade-dual-tone-platter-muve-30cmx14cm/p/S25DIN160192001,Homemade Dual Tone Platter Muve 30Cmx14Cm,HomeStop,S25DIN160192001,595,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/S25DIN160192001/S25DIN160192001_MAUVE/S25DIN160192001_MAUVE.jpg
"Apr 19, 2026 @ 20:04:49.133",935c0037945dbbd4c6d3b0402671d259,https://www.shoppersstop.com/golden-garden-organic-bowl/p/A24DIN169934,Golden Garden Organic Bowl,HomeStop,A24DIN169934,347,695,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A24DIN169934/A24DIN169934_CLEAR/A24DIN169934_CLEAR.jpg_2000Wx3000H
"Apr 19, 2026 @ 20:04:49.216",96bd5a0eac1517f67da61316feb0b6fb,https://www.shoppersstop.com/popart-treat-yourself-platter-wt-handle/p/A23DIN169014,Popart Treat Yourself Platter Wt Handle,HomeStop,A23DIN169014,238,795,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A23DIN169014/A23DIN169014_MULTI/A23DIN169014_MULTI.jpg_2000Wx3000H
"Apr 19, 2026 @ 20:04:49.223",1edeb1d254c41ec3102e23f3b1656a6c,https://www.shoppersstop.com/globan-indian-heritage-platter-30-cm/p/S24DIN160281,Globan Indian Heritage Platter 30 cm,HomeStop,S24DIN160281,747,1495,,https://images-magento.shoppersstop.com/pub/media/catalog/product/S24DIN160281/S24DIN160281_MULTI/S24DIN160281_MULTI.jpg_2000Wx3000H
