crawl_timestamp,uniq_id,page_url,product_name,brand,sku,selling_price,list_price,rating,image_url
"Apr 19, 2026 @ 13:49:15.504",d2ccc220a09aafbda2679f3b032aaa99,https://www.shoppersstop.com/round-glass-dish-with-lid-1000ml-transparent/p/IYRNGRL1000,Round Glass Dish with Lid 1000ml Transparent,Borosil,IYRNGRL1000,715,795,,https://images-magento.shoppersstop.com/pub/media/catalog/product/IYRNGRL1000/IYRNGRL1000_MULTI/IYRNGRL1000_MULTI.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:15.521",ee5533d5ad657fc56ea7f93e4487ded2,https://www.shoppersstop.com/alivia-katori-stoneware-free-size/p/S22B2EAALKTBRW,Alivia Katori Stoneware Free Size,Back To Earth,S22B2EAALKTBRW,99,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/S22B2EAALKTBRW/S22B2EAALKTBRW_BEIGE/S22B2EAALKTBRW_BEIGE.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:15.516",f65730f33bff211c108778f59117b409,https://www.shoppersstop.com/1-pc-950ml-serving-bowl-winter-frost-white/p/A226003911,1 Pc 950ml Serving Bowl Winter Frost White,Corelle,A226003911,740,925,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A226003911/A226003911_WHITE/A226003911_WHITE.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:15.510",8eead11cff55d9924ffff6dad33ace41,https://www.shoppersstop.com/gardenia-mirasol-side-plate-20cm/p/S24DIN161351,Gardenia Mirasol Side Plate 20Cm,HomeStop,S24DIN161351,225,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/S24DIN161351/S24DIN161351_TEAL/S24DIN161351_TEAL.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:15.611",17d74be7f5b3bb0b89e5438478c21f31,https://www.shoppersstop.com/linea-bamboo-serving-bowl/p/A23DIN180491,Linea Bamboo Serving Bowl,HomeStop,A23DIN180491,209,699,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A23DIN180491/A23DIN180491_MULTI/A23DIN180491_MULTI.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:15.627",723337940715c712f1595e1d04a0394f,https://www.shoppersstop.com/barline-juice-drinking-glass-set-230-ml-set-of-6-pcs/p/6626004,Barline Juice Drinking Glass Set 230 ml Set Of 6 Pcs,Bohemia Crystal,6626004,2799,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/6626004/6626004_UNMAPPED/6626004_UNMAPPED.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:15.641",c6478e95f8a4baf2a9eed21d4180f30b,https://www.shoppersstop.com/cg-adorne-finebone-wht-veg-bowl-10-cm/p/S25DIN160070,Cg Adorne Finebone Wht Veg Bowl 10 cm,HomeStop,S25DIN160070,245,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/S25DIN160070/S25DIN160070_WHITE/S25DIN160070_WHITE.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:15.633",fb627af3b3ae06d9f0634c7c21473162,https://www.shoppersstop.com/grace-tessa-dessert-set-of-2/p/A25DIN160099,Grace Tessa Dessert Set Of 2,HomeStop,A25DIN160099,795,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A25DIN160099/A25DIN160099_CLEAR/A25DIN160099_CLEAR.jpg
"Apr 19, 2026 @ 13:49:15.735",3253da02a4e6ec180439ac4395f26dcb,https://www.shoppersstop.com/alivia-serving-bowl-stoneware-10-6-x-16-5-cm/p/S22B2EAALSRBBRW,Alivia Serving Bowl Stoneware 10.6 x 16.5 cm,Back To Earth,S22B2EAALSRBBRW,399,,,https://images-magento.shoppersstop.com/pub/media/catalog/product/S22B2EAALSRBBRW/S22B2EAALSRBBRW_BEIGE/S22B2EAALSRBBRW_BEIGE.jpg_2000Wx3000H
"Apr 19, 2026 @ 13:49:15.759",e2f6b2b028636b75318bdfcbef55cb64,https://www.shoppersstop.com/farmhouse-cereal-bowl/p/A237605111549,Farmhouse Cereal Bowl,Chumbak,A237605111549,556,695,,https://images-magento.shoppersstop.com/pub/media/catalog/product/A237605111549/A237605111549_IVORY/A237605111549_IVORY.jpg_2000Wx3000H
