crawl_timestamp,uniq_id,page_url,product_name,list_price,selling_price,discount_percentage,color,size,description,sku
"Apr 19, 2026 @ 14:46:34.814",8b3fed7c413e933d7a32a345266bb376,https://styleunion.in/collections/womens-t-shirts/products/graphic-longline-active-tee-wact00067?variant=46688772194553,Air Dry Graphic Oversized V-Neck Longline T-Shirt,499,499,,Black,S,"Product Details Fabric Type: 100% Polyester Weave Type: Knit Pattern: Graphic Length: Longline Neck/Collar Type: V Neck Sleeve Type: Short Sleeve Fit: Oversize Description Experience the ultimate blend of comfort and style with our Graphic Oversized V Neck Longline T-Shirt. This piece is designed to offer a relaxed fit that drapes beautifully, making it a versatile addition to your wardrobe. Whether you're lounging at home or stepping out for a casual day, this t-shirt ensures you do so in style and comfort. Comfortable Fabric: Made from 100% polyester, this t-shirt is lightweight and breathable, keeping you cool and comfortable all day long. Stylish Design: The graphic pattern adds a touch of personality, making it perfect for expressing your unique style. Versatile Fit: The oversized fit provides a roomy, easygoing feel, perfect for layering or wearing on its own. Effortless Style: The V neck and longline length create a flattering silhouette that pairs well with leggings or jeans. Ideal for casual outings, weekend getaways, or simply relaxing at home, this t-shirt is your go-to for effortless style and comfort. Wash and Care Hand Wash 30°C. Wash Dark Colours Separately. Do Not Bleach. Line Dry. Do Not Iron On Embellishment. Cool Iron. Do Not Dry Clean. Made in India Manufactured and Marketed By:- NEXON OMNIVERSE LIMITED Address: D-202, Synthofine Estate, Off Aarey Road, Behind Virvani Ind.Estate, Goregaon East, Mumbai 400063 Disclaimer Product color may slightly vary due to photographic lighting sources on your monitor setting. Customer Care +91 7304053032 Customer Care Email id – sharewithus@styleunion.in 10:30 am to 6:30 pm from Monday to Friday Legal: compliance@nexonomniverse.com Franchise Enquiry Business Partner Form Style Union is a modern Indian fashion brand bringing everyday dressing a new sense of ease and confidence. We have 160+ stores across the country that offer a wide range of clothing for women, men, and kids, with styles made for real routines and changing days. We keep fashion practical and style-forward with weekly new launches across categories. Our online store makes shopping simple with smooth navigation, quick delivery, and access to the latest drops in one place. You can explore full collections, check availability, and shop comfortably from anywhere. We follow a transparent pricing model with no discounts or inflated tags. With a growing retail presence across India and a customer-first mindset, we focus on making fashion honest, accessible, and effortless for all.",8909001875605
"Apr 19, 2026 @ 14:46:34.855",b066204144b16cf83952dc64880b6b3f,https://styleunion.in/collections/womens-t-shirts/products/v-neck-cropped-t-shirt-with-side-ruching-ywft00104?variant=47130940899577,V-Neck Cropped T-Shirt With Side Ruching,399,399,,Blue,XS,"Product Details Fabric Type: 84% Cotton, 16% Nylon Weave Type: Knit Pattern: Solid Length: Cropped Neck/Collar Type: V-Neck Sleeve Type: Short Sleeve Fit: Slim Fit Description Experience the perfect blend of style and comfort with our V-Neck Cropped T-Shirt. Crafted from a soft cotton-nylon blend, this t-shirt offers a modern, stylish, and tailored fit that accentuates your silhouette. The solid pattern and V-neck design add a touch of elegance, making it a versatile piece for any wardrobe. Whether you're heading out for a casual day or dressing up for a night out, this t-shirt is your go-to choice for effortless style. Soft Fabric: The cotton-nylon blend ensures a comfortable and breathable wear, keeping you cool and confident all day long. Stylish Design: The V-neck and cropped length offer a chic and contemporary look, perfect for pairing with high-waisted jeans or skirts. Versatile Wear: Ideal for both casual outings and more dressed-up occasions, this t-shirt adapts to your lifestyle. Wash and Care Hand Wash 30°C. Wash Dark Colours Separately. Do Not Bleach. Line Dry. Cool Iron. Do Not Dry Clean. Made in India Manufactured and Marketed By:- NEXON OMNIVERSE LIMITED Address: D-202, Synthofine Estate, Off Aarey Road, Behind Virvani Ind.Estate, Goregaon East, Mumbai 400063 Disclaimer Product color may slightly vary due to photographic lighting sourc Customer Care +91 7304053032 Customer Care Email id – sharewithus@styleunion.in 10:30 am to 6:30 pm from Monday to Friday Legal: compliance@nexonomniverse.com Franchise Enquiry Business Partner Form Style Union is a modern Indian fashion brand bringing everyday dressing a new sense of ease and confidence. We have 160+ stores across the country that offer a wide range of clothing for women, men, and kids, with styles made for real routines and changing days. We keep fashion practical and style-forward with weekly new launches across categories. Our online store makes shopping simple with smooth navigation, quick delivery, and access to the latest drops in one place. You can explore full collections, check availability, and shop comfortably from anywhere. We follow a transparent pricing model with no discounts or inflated tags. With a growing retail presence across India and a customer-first mindset, we focus on making fashion honest, accessible, and effortless for all.",8909001809839
"Apr 19, 2026 @ 14:46:34.893",1ac75b7dfe72e7cbcdc2d173d2b15be4,https://styleunion.in/collections/womens-t-shirts/products/cotton-crew-neck-graphic-t-shirt-ywgt00360?variant=47423831769337,Cotton Crew Neck Graphic T-Shirt,199,199,,Red,XS,"Product Details Fabric Type: Cotton Weave Type: Knit Pattern: Graphic Length: Crop Length Top Neck/Collar Type: Crew Neck Sleeve Type: Short Sleeve Fit: Short Fit Description Elevate your casual wardrobe with our Cotton Crew Neck Graphic T-Shirt, designed for women who appreciate comfort and style. This crop-length top is perfect for layering or wearing on its own. Crafted from soft, breathable cotton for all-day comfort and durability, making it an ideal choice for everyday wear. Features a trendy graphic pattern that adds a modern touch, perfect for expressing your unique style. The crew neck design offers a classic silhouette that flatters various body types, providing a comfortable fit. Short sleeves and a short fit make this top perfect for warm days, ensuring you stay cool and stylish. Pair it with high-waisted jeans or a skirt for a chic, laid-back look that's perfect for any occasion. Wash and Care Machine Wash 40°C.Wash Dark Colours Separately.Do Not Bleach. Tumble Dry Low. Warm Iron. Do Not Dry Clean. Do Not Iron On Embellishment Made in India Manufactured and Marketed By:- NEXON OMNIVERSE LIMITED Address: D-202, Synthofine Estate, Off Aarey Road, Behind Virvani Ind.Estate, Goregaon East, Mumbai 400063 Disclaimer Product color may slightly vary due to photographic lighting sources on your monitor setting. Customer Care +91 7304053032 Customer Care Email id – sharewithus@styleunion.in 10:30 am to 6:30 pm from Monday to Friday Legal: compliance@nexonomniverse.com Franchise Enquiry Business Partner Form Style Union is a modern Indian fashion brand bringing everyday dressing a new sense of ease and confidence. We have 160+ stores across the country that offer a wide range of clothing for women, men, and kids, with styles made for real routines and changing days. We keep fashion practical and style-forward with weekly new launches across categories. Our online store makes shopping simple with smooth navigation, quick delivery, and access to the latest drops in one place. You can explore full collections, check availability, and shop comfortably from anywhere. We follow a transparent pricing model with no discounts or inflated tags. With a growing retail presence across India and a customer-first mindset, we focus on making fashion honest, accessible, and effortless for all.",8909404098496
"Apr 19, 2026 @ 14:46:34.963",95695b160b8896414697e43d0d22e260,https://styleunion.in/collections/womens-t-shirts/products/polyester-spandex-solid-short-sleeve-t-shirt-wact00061?variant=47405193756921,Gym Tee – Airdry® – Engineered for Air Ventilation & Easy Movement,399,399,,Dark Coffee,XS,"Product Details Fabric Type: 92% Polyester, 8% Elastane Weave Type: Knit Fit: Regular Fit Neck Type: Raglan Sleeve Crew Neck Sleeve Type: Short Sleeve Fabric: Micro Perforated Fabric Branding: Reflective Branding Description Designed for all-day movement, the Women’s Gym Tee combines breathable micro perforated fabric with a lightweight feel for consistent comfort. The raglan sleeve construction supports ease of movement, while the stretchable fabric adapts to your routine. Built with engineered seams and reflective branding, this tee balances functionality with a clean, active look—ideal for both workouts and everyday wear. Key Features Quick dry fabric to manage sweat Breathable with air ventilation Stretchable for ease of movement Cool to touch for added comfort Lightweight construction Reflective branding detail What Makes It Stand Out Keeps you cool and dry during activity Moves comfortably with your body Lightweight feel for all-day wear Works for both training and daily use Wash & Care Instructions Machine wash as per care label instructions Wash dark colours separately Do not bleach Line dry recommended Made in India Manufactured and Marketed By:- NEXON OMNIVERSE LIMITED Address: D-202, Synthofine Estate, Off Aarey Road, Behind Virvani Ind.Estate, Goregaon East, Mumbai 400063 Disclaimer Product color may slightly vary due to photographic lighting sources on your monitor setting. Customer Care +91 7304053032 Customer Care Email id – sharewithus@styleunion.in 10:30 am to 6:30 pm from Monday to Friday Legal: compliance@nexonomniverse.com Franchise Enquiry Business Partner Form Style Union is a modern Indian fashion brand bringing everyday dressing a new sense of ease and confidence. We have 160+ stores across the country that offer a wide range of clothing for women, men, and kids, with styles made for real routines and changing days. We keep fashion practical and style-forward with weekly new launches across categories. Our online store makes shopping simple with smooth navigation, quick delivery, and access to the latest drops in one place. You can explore full collections, check availability, and shop comfortably from anywhere. We follow a transparent pricing model with no discounts or inflated tags. With a growing retail presence across India and a customer-first mindset, we focus on making fashion honest, accessible, and effortless for all.",8909001956403
"Apr 19, 2026 @ 14:46:35.870",53edface9c80d0915b9565f4a5555f6e,https://styleunion.in/collections/womens-t-shirts/products/graphic-longline-active-tee-wact00068?variant=46688772948217,Air Dry Graphic Oversized Longline T-Shirt,299,299,,Blue,S,"Product Details Fabric Type: 100% Polyester Weave Type: Knit Pattern: Graphic Length: Longline Neck/Collar Type: Round Neck Sleeve Type: Short Sleeve Fit: Oversize Description Experience the ultimate in comfort and style with our Graphic Oversized Longline T-Shirt. Crafted from 100% polyester, this tee offers a soft, breathable feel that keeps you comfortable all day long. The oversized fit provides a relaxed, easygoing vibe, perfect for casual outings or lounging at home. Comfortable Fabric: The 100% polyester knit ensures a lightweight and breathable experience, ideal for warm days. Stylish Graphic Pattern: Make a statement with the bold graphic design, adding a touch of personality to your outfit. Versatile Longline Length: The longline cut offers extra coverage and pairs perfectly with leggings or jeans for a chic, laid-back look. Easygoing Oversize Fit: Enjoy the freedom of movement and a relaxed silhouette that flatters all body types. Whether you're heading to a casual brunch or enjoying a lazy day at home, this t-shirt is your go-to choice for effortless style and comfort. Wash and Care Hand Wash 30°C. Wash Dark Colours Separately. Do Not Bleach. Line Dry. Do Not Iron On Embellishment. Cool Iron. Do Not Dry Clean. Made in India Manufactured and Marketed By:- NEXON OMNIVERSE LIMITED Address: D-202, Synthofine Estate, Off Aarey Road, Behind Virvani Ind.Estate, Goregaon East, Mumbai 400063 Disclaimer Product color may slightly vary due to photographic lighting sources on your monitor setting. Customer Care +91 7304053032 Customer Care Email id – sharewithus@styleunion.in 10:30 am to 6:30 pm from Monday to Friday Legal: compliance@nexonomniverse.com Franchise Enquiry Business Partner Form Style Union is a modern Indian fashion brand bringing everyday dressing a new sense of ease and confidence. We have 160+ stores across the country that offer a wide range of clothing for women, men, and kids, with styles made for real routines and changing days. We keep fashion practical and style-forward with weekly new launches across categories. Our online store makes shopping simple with smooth navigation, quick delivery, and access to the latest drops in one place. You can explore full collections, check availability, and shop comfortably from anywhere. We follow a transparent pricing model with no discounts or inflated tags. With a growing retail presence across India and a customer-first mindset, we focus on making fashion honest, accessible, and effortless for all.",8909001875667
"Apr 19, 2026 @ 14:46:35.971",05f6ddb09d5a4578276c883ee03a3e88,https://styleunion.in/collections/womens-t-shirts/products/active-solid-aviator-t-shirt-wact00083?variant=47130933657849,Active Solid Aviator T-Shirt,299,299,,Chocolate,XS,"Product Details Fabric Type: 93% Polyester, 7% Elastane Weave Type: Knit Pattern: Solid Length: Regular Length Neck/Collar Type: Round Neck Sleeve Type: Short Sleeve Fit: Regular Fit Description Experience the perfect blend of comfort and style with the Active Aviator T-Shirt. Crafted from a soft and stretchy fabric, this t-shirt offers unparalleled comfort and freedom of movement, making it an ideal choice for active days or casual outings. The solid pattern and round neck design provide a timeless look that can easily be dressed up or down. Soft Fabric: The polyester elastane blend ensures a soft touch against the skin, providing all-day comfort. Stretchable Material: Enjoy the flexibility and ease of movement with the elastane component, perfect for active lifestyles. Versatile Design: The solid pattern and classic round neck make it a versatile piece that pairs well with any outfit. Easy Maintenance: Machine washable for hassle-free care, keeping your t-shirt looking fresh and new. Whether you're heading to the gym, running errands, or lounging at home, the Active Aviator T-Shirt is your go-to choice for effortless style and comfort. Wash and Care Machine Wash 40°C. Wash Dark Colours Separately. Do Not Bleach. Tumble Dry Low. Warm Iron. Do Not Dry Clean. Do Not Iron On Embellishment. Made in India Manufactured and Marketed By:- NEXON OMNIVERSE LIMITED Address: D-202, Synthofine Estate, Off Aarey Road, Behind Virvani Ind.Estate, Goregaon East, Mumbai 400063 Disclaimer Product color may slightly vary due to photographic lighting sourc Customer Care +91 7304053032 Customer Care Email id – sharewithus@styleunion.in 10:30 am to 6:30 pm from Monday to Friday Legal: compliance@nexonomniverse.com Franchise Enquiry Business Partner Form Style Union is a modern Indian fashion brand bringing everyday dressing a new sense of ease and confidence. We have 160+ stores across the country that offer a wide range of clothing for women, men, and kids, with styles made for real routines and changing days. We keep fashion practical and style-forward with weekly new launches across categories. Our online store makes shopping simple with smooth navigation, quick delivery, and access to the latest drops in one place. You can explore full collections, check availability, and shop comfortably from anywhere. We follow a transparent pricing model with no discounts or inflated tags. With a growing retail presence across India and a customer-first mindset, we focus on making fashion honest, accessible, and effortless for all.",8909001929124
"Apr 19, 2026 @ 14:46:36.010",18913baaa08bce63015546605e61e560,https://styleunion.in/collections/womens-t-shirts/products/cotton-graphic-crew-neck-t-shirt-wgt00159?variant=47477875998969,Cotton Graphic Crew Neck T-Shirt,199,199,,Trekking Green,XS,"Product Details Fabric Type: Cotton Weave type: Knit Pattern: Graphic Length: Regular Length Neck/Collar: Crew Neck Sleeve: Short Sleeve Fit: Regular Fit Description Experience the ultimate comfort with our Cotton Graphic Crew Neck T-Shirt, designed for women who appreciate both style and quality. Crafted from soft, breathable cotton in a trendy knit, this t-shirt features a captivating graphic pattern that adds a touch of flair to your outfit. Highlight fabric quality and comfort. Highlight design and pattern appeal. Explain fit and silhouette benefit. Give styling versatility suggestion. This versatile piece can easily be paired with your favorite jeans or shorts for a chic, casual look. Wash and Care Hand Wash at 30°C. Do Not Bleach. Wash Separately. Hang Dry In Shade. Hot Iron. Do Not Dry Clean. Do Not Iron On Embellishment. This Garment Has A Tendency To Fade. Made in India Manufactured and Marketed By:- NEXON OMNIVERSE LIMITED Address: D-202, Synthofine Estate, Off Aarey Road, Behind Virvani Ind.Estate, Goregaon East, Mumbai 400063 Disclaimer Product color may slightly vary due to photographic lighting sources on your monitor setting. Customer Care +91 7304053032 Customer Care Email id – sharewithus@styleunion.in 10:30 am to 6:30 pm from Monday to Friday Legal: compliance@nexonomniverse.com Franchise Enquiry Business Partner Form Style Union is a modern Indian fashion brand bringing everyday dressing a new sense of ease and confidence. We have 160+ stores across the country that offer a wide range of clothing for women, men, and kids, with styles made for real routines and changing days. We keep fashion practical and style-forward with weekly new launches across categories. Our online store makes shopping simple with smooth navigation, quick delivery, and access to the latest drops in one place. You can explore full collections, check availability, and shop comfortably from anywhere. We follow a transparent pricing model with no discounts or inflated tags. With a growing retail presence across India and a customer-first mindset, we focus on making fashion honest, accessible, and effortless for all.",8909404022439
"Apr 19, 2026 @ 14:46:36.058",54bdfd8039cab8789adacdf3c4e35848,https://styleunion.in/collections/womens-t-shirts/products/cotton-graphic-crew-neck-oversize-t-shirt-ywgt00333?variant=47444053852409,Cotton Graphic Crew Neck Oversize T-Shirt,349,349,,Dusty Blue,XS,"Product Details Fabric Type: Cotton Weave Type: Knit Pattern: Graphic Length: Regular Length Neck/Collar Type: Crew Neck Sleeve Type: Short Sleeve Fit: Oversize Description This Cotton Graphic Crew Neck Oversize T-Shirt combines high-quality fabric with a trendy graphic design, ensuring both comfort and style. The soft knit material allows for breathability, while the eye-catching pattern adds a contemporary flair to your wardrobe. Highlight fabric quality and comfort. Highlight design and pattern appeal. Explain fit and silhouette benefit. Give styling versatility suggestion. Pair it effortlessly with your favorite jeans for a casual yet chic look. Wash and Care Machine wash at 40°C. Wash dark colours separately. Do not bleach. Tumble dry low. Warm iron. Do not dry clean. Do not iron on embellishment. Made in India Manufactured and Marketed By:- NEXON OMNIVERSE LIMITED Address: D-202, Synthofine Estate, Off Aarey Road, Behind Virvani Ind.Estate, Goregaon East, Mumbai 400063 Disclaimer Product color may slightly vary due to photographic lighting sources on your monitor setting. Customer Care +91 7304053032 Customer Care Email id – sharewithus@styleunion.in 10:30 am to 6:30 pm from Monday to Friday Legal: compliance@nexonomniverse.com Franchise Enquiry Business Partner Form Style Union is a modern Indian fashion brand bringing everyday dressing a new sense of ease and confidence. We have 160+ stores across the country that offer a wide range of clothing for women, men, and kids, with styles made for real routines and changing days. We keep fashion practical and style-forward with weekly new launches across categories. Our online store makes shopping simple with smooth navigation, quick delivery, and access to the latest drops in one place. You can explore full collections, check availability, and shop comfortably from anywhere. We follow a transparent pricing model with no discounts or inflated tags. With a growing retail presence across India and a customer-first mindset, we focus on making fashion honest, accessible, and effortless for all.",8909404037006
"Apr 19, 2026 @ 14:46:37.047",5005b9de014814d48a489fb9dd327279,https://styleunion.in/collections/womens-t-shirts/products/regular-fit-solid-t-shirt-wact00029?variant=46283999117561,Air Dry Solid Active Tee Short Sleeve T-Shirt,299,299,,Black,XS,"Product Details Fabric Type: 100% Polyester Weave Type: Knit Pattern: Solid Length: Regular Length Neck/Collar Type: Round Neck Sleeve Type: Short Sleeve Fit: Regular Fit Description Experience the perfect blend of comfort and style with our Solid Active Tee Short Sleeve T-Shirt. Crafted from high-quality polyester, this tee promises a soft touch against your skin while ensuring durability and breathability. Whether you're heading to the gym or enjoying a casual day out, this versatile piece is designed to keep you looking effortlessly chic. Comfortable Fabric : Crafted from 100% polyester for a breathable and feather-light feel. Solid Pattern : Timeless and versatile—pairs effortlessly with joggers, shorts, or leggings. Round Neck : Classic silhouette with a flattering neckline. Short Sleeves : Ideal for warmer days or high-intensity workouts. Moisture-Wicking : Pulls sweat away to keep you fresh and dry. High Performance : Designed to support an active lifestyle. Easy Flow Fit : Promotes mobility for workouts and daily wear. Rounded Hem : Offers added back coverage for movement with confidence. Breathable & Lightweight : Feels cool and effortless all day. This tee is your go-to choice for any casual occasion, offering a relaxed fit that complements your active lifestyle. Pair it with your favorite jeans or leggings for a look that's both comfortable and stylish. Wash and Care Hand Wash 30°C Wash Dark Colours Separately Do Not Bleach Line Dry Do Not Iron On Embellishment Cool Iron Do Not Dryclean Made in India Manufactured and Marketed By:- NEXON OMNIVERSE LIMITED Address: D-202, Synthofine Estate, Off Aarey Road, Behind Virvani Ind.Estate, Goregaon East, Mumbai 400063 Disclaimer Product color may slightly vary due to photographic lighting sources on your monitor setting. Customer Care +91 7304053032 Customer Care Email id – sharewithus@styleunion.in 10:30 am to 6:30 pm from Monday to Friday Legal: compliance@nexonomniverse.com Franchise Enquiry Business Partner Form Style Union is a modern Indian fashion brand bringing everyday dressing a new sense of ease and confidence. We have 160+ stores across the country that offer a wide range of clothing for women, men, and kids, with styles made for real routines and changing days. We keep fashion practical and style-forward with weekly new launches across categories. Our online store makes shopping simple with smooth navigation, quick delivery, and access to the latest drops in one place. You can explore full collections, check availability, and shop comfortably from anywhere. We follow a transparent pricing model with no discounts or inflated tags. With a growing retail presence across India and a customer-first mindset, we focus on making fashion honest, accessible, and effortless for all.",8909001581766
"Apr 19, 2026 @ 14:46:37.118",f9952f656b90ba4c18bd3ac5a8ae9f8a,https://styleunion.in/collections/womens-t-shirts/products/slim-fit-solid-t-shirt-ywet00064?variant=46284026773753,Slim Fit Short Sleeve Crop T-Shirt,299,299,,Blush,XS,"Product Details Fabric Type: Cotton Elastane (95% Cotton, 5% Elastane) Weave Type: Knit Pattern: Solid Length: Cropped Neck/Collar Type: Round Neck Sleeve Type: Short Sleeve Fit: Slim Fit Description Experience the perfect blend of comfort and style with our Slim Fit Short Sleeve Crop T-Shirt. Crafted from a soft cotton elastane blend, this t-shirt offers a snug fit that moves with you, ensuring all-day comfort. Its solid pattern and cropped length make it a versatile piece that can be dressed up or down, perfect for any occasion. Comfortable Fit: The slim fit design offers a modern, stylish look that enhances your silhouette. Soft Fabric: Made from a 95% cotton and 5% elastane blend, providing a soft touch against your skin. Versatile Style: The solid pattern and cropped length make it easy to pair with high-waisted jeans or skirts for a chic look. Easy Movement: The elastane in the fabric allows for stretch, ensuring you can move freely without restriction. Whether you're heading out for a casual day with friends or a relaxed evening, this t-shirt is your go-to choice for effortless style and comfort. Wash and Care Machine Wash 40°C. Wash Dark Colours Separately. Do Not Bleach. Tumble Dry Low. Do Not Iron On Embellishment. Warm Iron. Do Not Dry Clean. Made in India Manufactured and Marketed By:- NEXON OMNIVERSE LIMITED Address: D-202, Synthofine Estate, Off Aarey Road, Behind Virvani Ind.Estate, Goregaon East, Mumbai 400063 Disclaimer Product color may slightly vary due to photographic lighting sources on your monitor setting. Customer Care +91 7304053032 Customer Care Email id – sharewithus@styleunion.in 10:30 am to 6:30 pm from Monday to Friday Legal: compliance@nexonomniverse.com Franchise Enquiry Business Partner Form Style Union is a modern Indian fashion brand bringing everyday dressing a new sense of ease and confidence. We have 160+ stores across the country that offer a wide range of clothing for women, men, and kids, with styles made for real routines and changing days. We keep fashion practical and style-forward with weekly new launches across categories. Our online store makes shopping simple with smooth navigation, quick delivery, and access to the latest drops in one place. You can explore full collections, check availability, and shop comfortably from anywhere. We follow a transparent pricing model with no discounts or inflated tags. With a growing retail presence across India and a customer-first mindset, we focus on making fashion honest, accessible, and effortless for all.",8909001710371
