crawl_timestamp,uniq_id,page_url,product_name,list_price,selling_price,discount_percentage,color,size,description,sku
"Feb 15, 2026 @ 18:51:20.348",d5bc7ea8a3c6b7e4635feab157a41404,https://styleunion.in/collections/women-caps/products/cotton-embroidered-cap-lac0001?variant=44200059437305,Women Cotton Embroidered Cap,499,499,0,Indigo,M,"Product Details Fabric type: Cotton Weave type: Woven Pattern: Embroidered Style: Cap Dimension: 56 CM Description This embroidered pattern cap made from cotton, it is soft and comfortable to wear. Wash and Care Accessories",8909001042632
"Feb 15, 2026 @ 18:51:30.382",86142a4cd9c1fb2da73815227713baab,https://styleunion.in/collections/women-caps/products/cotton-embroidered-cap-lac0003?variant=44200062386425,Women Cotton Embroidered Cap,399,399,0,Black,M,"Product Details Fabric type: Cotton Weave type: Woven Pattern: Embroidered Style: Cap Dimension: 56 CM Description This embroidered pattern cap made from cotton, it is soft and comfortable to wear. Wash and Care Accessories",8909001042656
"Feb 15, 2026 @ 18:51:40.381",0ba290f1f14b8be9f3fccbad75c013f1,https://styleunion.in/collections/women-caps/products/cotton-embroidered-cap-lac0002?variant=44200060584185,Women Cotton Embroidered Cap,199,199,0,Blue,M,"Product Details Fabric type: Cotton Weave type: Woven Pattern: Embroidered Style: Cap Dimension: 56 CM Description This embroidered pattern cap made from cotton, it is soft and comfortable to wear. Wash and Care Accessories",8909001042649
"Feb 15, 2026 @ 18:51:50.843",5257ca5c6cf2f5b2c7012b22123c3c27,https://styleunion.in/collections/women-caps/products/regular-fit-jacquard-t-shirt-pfct00003?variant=46284011372793,Velocitee™ - Air Dry® Pro - Ideal Gym T-Shirt -Made To Move,499,499,0,Endurance,XS,"Product Details Fabric Type: 90% Nylon, 10% Spandex Weave Type: Knit Pattern: Jacquard Length: Regular Length Neck/Collar Type: Crew Neck Sleeve Type: Half Sleeve Fit: Regular Fit Description Experience the perfect blend of comfort and style with our Jacquard Crew Neck T-Shirt. Crafted from a premium blend of nylon and spandex, this t-shirt offers unparalleled flexibility and durability. Whether you're hitting the gym or enjoying a casual day out, this t-shirt is your go-to choice for effortless style and comfort. Strong Fabric: Built to withstand the rigors of daily wear, ensuring long-lasting use. Smooth and Durable: Enjoy a soft touch against your skin while benefiting from a fabric that stands the test of time. Flexible 4-Way Stretch: Moves with you, providing unrestricted movement for any activity. Breathable and Fast Dry: Keeps you cool and dry, perfect for intense workouts or hot days. Light Weight: Feels like a second skin, offering comfort without the bulk. Perfect for sports, casual outings, or lounging at home, this t-shirt adapts to your lifestyle, ensuring you look and feel your best. Wash and Care Machine Wash Cold Gentle Cycle, Wash Dark Colors Separately. Do Not Bleach. Tumble Dry Low. Cool Iron If Required. Do Not Dry Clean.",8909001678572
"Feb 15, 2026 @ 18:52:01.204",3573e087aebbe4c882102dea6462d913,https://styleunion.in/collections/women-caps/products/air-polo-solid-t-shirt-atpo00002?variant=46634704929017,Air Dry Travel Ready Light weight Polo-Ready To Move,399,399,0,Pistachio Shell,S,"Product Details Fabric Type: 70% Cotton, 30% Polyester Weave Type: Knit Pattern: Solid Length: Regular Length Neck/Collar Type: Polo Neck Sleeve Type: Half Sleeve Fit: Regular Fit Description Experience the perfect blend of comfort and style with the Air Polo Solid T-Shirt. Crafted from a premium cotton-polyester mix, this t-shirt offers the softness of cotton with the durability of polyester, ensuring it remains a staple in your wardrobe for years to come. The solid pattern and classic polo neck make it a versatile choice for any occasion, whether you're heading to a casual outing or a relaxed day at work. Comfortable Fabric: The 70% cotton composition provides a soft touch against the skin, while the 30% polyester ensures long-lasting wear. Classic Design: The solid pattern and polo neck offer a timeless look that never goes out of style. Versatile Wear: Perfect for casual outings, work, or a day out with friends, this t-shirt adapts to any setting. Easy Maintenance: Machine washable, making it convenient to care for and keep looking fresh. Wash and Care Machine Wash 40°C. Wash Dark Colours Separately. Do Not Bleach. Tumble Dry Low. Warm Iron. Do Not Dryclean.",8909001826140
"Feb 15, 2026 @ 18:52:11.666",1419346a486c5c857b798eda7e144b50,https://styleunion.in/collections/women-caps/products/slim-fit-high-rise-pant-espt00003?variant=47009478738169,Air Dry Slim Fit High Rise Tapered Pant,699,699,0,Dark Brown,S,"Product Details Fabric Type: 100% Polyester Weave Type: Woven Pattern: Solid Length: Ankle Length Fit: Slim Fit Waist Rise: High Rise Pockets: 2 Cut Shape: Slim Description Experience the perfect blend of style and comfort with our Slim Fit High Rise Pants. Crafted from 100% polyester, these pants offer a sleek and modern silhouette that enhances your figure while ensuring all-day comfort. The high-rise waist provides a flattering fit, making these pants a versatile addition to your wardrobe. Whether you're heading to the office or enjoying a casual day out, these ankle-length pants will keep you looking chic and feeling confident. Modern Silhouette: The slim fit design offers a tailored look that is both stylish and flattering. High Rise Comfort: The high waist design provides a secure and comfortable fit, perfect for pairing with your favorite tops. Versatile Style: Solid pattern and ankle length make these pants suitable for both professional and casual settings. Convenient Pockets: Two pockets offer practicality without compromising on style. These pants are your go-to choice for a polished look, whether you're dressing up for a meeting or dressing down for a weekend brunch. Wash and Care Hand Wash 30°C. Wash Dark Colours Separately. Do Not Bleach. Line Dry. Do Not Iron On Embellishment. Cool Iron. Do Not Dry Clean.",8909001940914
"Feb 15, 2026 @ 18:52:21.986",10ba33a46e0ed6a61c3bcd42b7e2ab23,https://styleunion.in/collections/women-caps/products/solid-running-shorts-pfst00002?variant=47058344476921,Air Dry Solid Running Shorts,599,599,0,Flex,XS,"Product Details Fabric Type: 98% Polyester, 2% Spandex Weave Type: Knit Pattern: Solid Length: Above Knee Fit: Regular Fit Waist Rise: Mid Rise Pockets: Welt Pocket, 2 Description Experience the perfect blend of comfort and style with our Solid Running Shorts. Designed for the active man, these shorts offer a relaxed fit that ensures ease of movement, making them your ideal companion for any workout or casual day out. The lightweight fabric keeps you cool and dry, while the solid pattern adds a touch of sophistication to your athletic wardrobe. Comfortable Fabric: The 98% Polyester and 2% Spandex blend provides a soft, stretchy feel that moves with you, ensuring maximum comfort during any activity. Practical Pockets: Featuring two welt pockets, these shorts offer convenient storage for your essentials, keeping them secure while you stay active. Versatile Design: The solid pattern and above-knee length make these shorts suitable for both workouts and casual outings, offering versatility in your wardrobe. Whether you're hitting the gym or running errands, these shorts are designed to fit seamlessly into your lifestyle, providing both functionality and style. Wash and Care Hand Wash 30°C. Wash Dark Colours Separately. Do Not Bleach. Line Dry. Do Not Iron On Embellishment. Cool Iron. Do Not Dry Clean.",8909404034128
"Feb 15, 2026 @ 18:52:32.511",cd4a7572f056074acbed363bd7e3e979,https://styleunion.in/collections/women-caps/products/mid-flare-solid-high-rise-leggings-wacl00002?variant=46284949979385,Air Dry Bootcut High Rise Leggings,599,599,0,Black,XS,"Product Details Fabric Type: Cotton Spandex (95% Cotton, 5% Spandex) Weave Type: Knit Pattern: Solid Length: Regular Length Fit: Boot Cut Waist Rise: High Rise Description Experience unparalleled comfort and style with our Bootcut High Rise Leggings. Crafted from a soft and stretchy cotton spandex blend, these leggings offer a perfect balance of flexibility and support. The high-rise waist provides a flattering silhouette, while the bootcut design adds a touch of elegance to your look. Whether you're heading to a casual outing or a relaxed day at home, these leggings are your go-to choice for effortless style and comfort. Comfortable Fabric: The cotton spandex blend ensures a soft touch against your skin, providing all-day comfort. High Rise Waist: Offers a secure fit and enhances your natural curves, giving you confidence in every step. Bootcut Design: Adds a stylish flair to your outfit, perfect for pairing with your favorite footwear. Versatile Style: Ideal for both casual and semi-formal occasions, making it a versatile addition to your wardrobe. Picture yourself wearing these leggings on a sunny day out with friends or lounging comfortably at home. Their versatility and comfort make them a must-have for any wardrobe. Wash and Care Hand Wash 30°C. Do Not Bleach. Wash Separately. Hang Dry In Shade. Hot Iron. Do Not Dry Clean. Do Not Iron On Embellishment. This Garment Has Tendency To Fade.",8909001309407
"Feb 15, 2026 @ 18:52:43.008",582c4e1c58be8b7100fcc1d390dd00ce,https://styleunion.in/collections/women-caps/products/regular-fit-solid-jacket-pfjk00001?variant=46284008194297,"AirJack™ 25 – Air Dry® Regular Fit Jacket With 2 Zip Pockets. LightWeight, breathable - perfect for all Weather-On The Go",899,899,0,Camel,S,"Product Details Fabric Type: Polyester (100% Elastomultiester) Weave Type: Knit Pattern: Solid Length: Regular Length Neck/Collar Type: High Neck Sleeve Type: Full Sleeve Fit: Regular Fit Pockets: Cross Pocket, 2 Description Experience the perfect blend of comfort and style with the AirJack™ 25 – Air Dry® Regular Fit Jacket. This lightweight jacket is designed to keep you comfortable and stylish, no matter the weather. Its breathable fabric ensures you stay cool and dry, making it ideal for on-the-go lifestyles. Lightweight: Enjoy the freedom of movement without feeling weighed down. Breathable Fabric: Stay fresh and comfortable, even during active days. High Neck Design: Offers added warmth and a sleek, modern look. 2 Zip Pockets: Keep your essentials secure and within easy reach. Whether you're heading to the gym, running errands, or enjoying a casual day out, this jacket is your go-to choice for versatile style and comfort. Wash and Care Machine Wash 30°C. Wash Dark Colours Separately. Do Not Bleach. Tumble Dry Low. Warm Iron. Do Not Dry Clean. Do Not Iron On Embellishment.",8909001654347
"Feb 15, 2026 @ 18:52:53.089",02d4a6613e92822915af0d240f694eed,https://styleunion.in/collections/women-caps/products/elastomultiester-fabric-ultra-light-weight-enhanced-flexibility-and-stretch-wicking-technology-fast-dry-and-breathable-mobile-pocket-air-shorts-atst00001?variant=46284196675833,Air Shorts™ 25- Ultra Light Enhanced Flexibility And Stretch AirDry® Secure Zip Mobile Pocket-Ready To Move,499,499,0,Black,S,"Product Details Fabric Type: 100% Elastomultiester Weave Type: Knit Pattern: Solid Length: Regular Length Waist Rise: Mid Rise Pockets: Welt Pocket, 3 Description Experience the ultimate in comfort and flexibility with our Air Shorts™ 24. Crafted from ultra-light elastomultiester fabric, these shorts offer enhanced stretch and breathability, making them perfect for active wear, travel, or everyday comfort. The fast-dry technology ensures you stay cool and dry, no matter the activity. Ultra Light Weight: Feel unrestricted and free with a fabric that moves with you. Enhanced Flexibility and Stretch: Enjoy a full range of motion, perfect for any activity. Fast Dry and Breathable: Stay fresh and comfortable with moisture-wicking technology. Secure Zip Mobile Pocket: Keep your essentials safe and secure, even on the go. Whether you're hitting the gym, exploring new destinations, or simply running errands, these shorts are designed to keep up with your lifestyle. The mid-rise waist offers a comfortable fit, while the solid pattern provides a sleek, modern look. Wash and Care Machine Wash 30°C. Wash Dark Colours Separately. Do Not Bleach. Tumble Dry Low. Warm Iron. Do Not Dry Clean. Do Not Iron On Embellishment.",8909001506592
"Feb 15, 2026 @ 18:53:03.367",dc4e417203fef5ebfb7faf26374c8990,https://styleunion.in/collections/women-caps/products/regular-fit-jacquard-t-shirt-pfct00004?variant=46630374080761,AirDry® Gym Tee  - Work Out With E-Fast® Stretch-Made For Movement,299,299,0,Teal,XS,"Product Details Fabric Type: 92% Polyester, 8% Spandex Weave Type: Knit Pattern: Jacquard Length: Regular Length Neck/Collar Type: Crew Neck Sleeve Type: Half Sleeve Fit: Regular Fit Description Experience the perfect blend of comfort and performance with the AirDry® Gym Tee. Crafted with a unique Jacquard pattern, this t-shirt is designed to keep you moving freely and confidently during your workouts. The soft, breathable fabric ensures you stay cool and dry, while the stretchable material adapts to your every move, providing unparalleled comfort. Comfortable Fabric: The 92% Polyester and 8% Spandex blend offers a soft touch and excellent stretch, ensuring a comfortable fit that moves with you. Breathable Design: The knit weave allows for optimal airflow, keeping you cool and dry even during intense workouts. Stylish Pattern: The Jacquard design adds a touch of style, making this tee perfect for both gym sessions and casual outings. Versatile Use: Ideal for gym workouts, outdoor activities, or casual wear, this tee is your go-to choice for any occasion. Whether you're hitting the gym or enjoying a day out, the AirDry® Gym Tee offers the perfect combination of style and functionality. Wash and Care Machine Wash Cold Gentle Cycle, Wash Dark Colors Separately. Do Not Bleach. Tumble Dry Low. Cool Iron If Required. Do Not Dry Clean.",8909001817636
"Feb 15, 2026 @ 18:53:13.434",37c938d089b58929f04fd2bc6ca6137d,https://styleunion.in/collections/kids-bag/products/boys-printed-backpack-nkbb0002?variant=46935028990201,Boys Printed Backpack,399,399,0,Navy,FS,"Product Details Fabric Type: 80% Bolt Twill Weave Type: 20% Trim Fabric 1000 Denier Pattern: Printed Length: 41 X 30 X 16 Cm Volume: 22 Ltrs Description Step into a world of magic and wonder with the Boys Printed Backpack. Designed for comfort and style, this backpack is perfect for young adventurers who love to stand out. Its vibrant print not only captures the imagination but also adds a splash of color to any outfit. Durable Polyester Fabric: Ensures long-lasting use, perfect for daily adventures and school days. Spacious 22 Ltrs Capacity: Offers ample space for books, toys, and essentials, keeping everything organized and within reach. Enchanting Print: Sparks creativity and joy, making every day feel magical. 20% Trim Fabric 1000 Denier: Provides extra protection against the elements, ensuring your belongings stay safe and dry. Whether heading to school, a playdate, or a weekend getaway, this backpack is the perfect companion for any occasion. Let your child's personality shine through with this delightful and functional accessory. Wash and Care Hand Wash 30°C. Do Not Bleach. Wash Separately. Hang Dry In Shade. Hot Iron. Do Not Dry Clean. Do Not Iron On Embellishment. This Garment Have Tendency To Fade",8909063107928
"Feb 15, 2026 @ 18:53:23.471",2db25448126e34a7cda0003c0e621119,https://styleunion.in/collections/kids-bag/products/boys-union-print-backpack-nkbb0001?variant=46687693734137,Boys Union Print Backpack,599,599,0,Blue,FS,"Product Details Fabric Type: Polyester Weave Type: Pu Coat And Wr Coating Pattern: Union Print Length: 18.5X 7.5 X 27 Cm Fit: 15 Ltrs Description Discover the perfect blend of style and functionality with the Boys Union Print Backpack. Crafted from durable polyester, this backpack is designed to withstand the rigors of daily use while providing ample space for all your essentials. Its unique union print adds a touch of personality, making it a standout choice for school, travel, or everyday adventures. Durable Polyester Fabric: Ensures long-lasting use, keeping your belongings safe and secure. Spacious 22 Litre Capacity: Offers plenty of room for books, gadgets, and more, making it ideal for school or travel. Stylish Union Print: Adds a unique flair, allowing your child to express their individuality. Pu Coat And Wr Coating: Provides added protection against the elements, ensuring your items stay dry. Whether heading to school or embarking on a new adventure, this backpack is the perfect companion, combining practicality with a touch of style. Wash and Care Hand Wash",8909063107621
