crawl_timestamp,uniq_id,page_url,article_title,sub_title,author_name,post_date,article_content,image_url
"Aug 22, 2026 @ 19:31:07.299",57d4a4e3fffc7c4541fdc52fa30f980e,https://www.businesstoday.in/latest/economy/story/the-rs-606-problem-what-happens-when-india-puts-a-price-on-upi-550747-2026-08-22,The Rs 606 problem: What happens when India puts a price on UPI - BusinessToday,Parliament has cleared the way to charge shops for UPI payments. NPCI's own data shows the fee would miss almost everything India buys.,,2026-08-22T13:02:11+05:30,,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202608/6a89505fbd1a6-upi-22313818-16x9.png
"Aug 22, 2026 @ 19:31:07.316",dd2a03b412ee86ad77b4d21aa36df72d,https://www.businesstoday.in/latest/economy/story/rbi-forex-swap-facility-draws-72-85-billion-inflows-fcnrb-deposits-account-for-bulk-550756-2026-08-22,"RBI forex swap facility draws $72.85 billion inflows, FCNR(B) deposits account for bulk  - BusinessToday","Of the total $72.848 billion mobilised under the facility, FCNR(B) deposits accounted for $65.397 billion. OFCBs contributed $4.860 billion, while ECBs brought in $2.591 billion.",,2026-08-22T15:17:58+05:30,,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202608/6a896fc36a414-in-its-june-monetary-policy-measures--the-rbi-announced-that-it-would-bear-the-foreign-exchange-hedg-224533849-16x9.jpg
"Aug 22, 2026 @ 19:31:07.335",c30b3d31116662fa5c570ddc20757f95,https://www.businesstoday.in/latest/economy/story/upi-should-remain-free-expert-on-why-mdr-could-push-merchants-and-consumers-back-to-cash-550746-2026-08-22,UPI should remain free: Expert on why MDR could push merchants and consumers back to cash - BusinessToday,"R S Sharma has argued that UPI should remain free for merchants and consumers, warning that a Merchant Discount Rate (MDR) could weaken India’s digital payments momentum. He says the government should instead use the savings generated by digital payments to fund UPI infrastructure and avoid pushing users back towards cash.",,2026-08-22T12:02:40+05:30,,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202608/6a8942784dec9-the-issue-has-gained-relevance-after-parliament-passed-the-taxation-laws-amendment-bill--2026--whi-223218551-16x9.jpeg
"Aug 22, 2026 @ 19:31:07.787",7a9cfae20ba68530392792efde0122f4,https://www.businesstoday.in/latest/trends/photo/iqoo-z11-launch-the-new-smartphone-packing-a-7050mah-battery-and-curved-display-550512-2026-08-22,"iQOO Z11 launch: The new smartphone packing a 7,050mAh battery and curved display",,,2026-08-22T06:35:02+05:30,,https://akm-img-a-in.tosshub.com/businesstoday/images/photo_gallery/202608/6a87e11b7c262-iqoo-z11-212438438-16x9.png
"Aug 22, 2026 @ 19:31:12.466",6dc86ace748fb62d5784677b3912f3a3,https://www.businesstoday.in/latest/world/story/quote-of-the-day-by-steve-jobs-computers-themselves-and-software-yet-to-be-developed-will-revolutionize-the-way-we-learn-550506-2026-08-22,"Quote of the Day by Steve Jobs: ‘Computers themselves, and software yet to be developed, will revolutionize the way we learn' - BusinessToday","Steve Jobs (1955-2011) was an American entrepreneur, inventor, and business magnate best known as the co-founder of Apple. Jobs played a key role in revolutionising personal computing, smartphones, digital music, and animation.",,2026-08-22T07:30:03+05:30,,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202608/6a87dbd0da4e1-steve-jobs--co-founder-of-apple-145306334-16x9.png
"Aug 22, 2026 @ 19:31:12.514",acb2cb14766529f0a9227ab9b7d4af76,https://www.businesstoday.in/india/story/lpg-cng-png-rates-today-august-22-check-latest-prices-in-delhi-mumbai-chennai-kolkata-and-other-cities-550669-2026-08-22,"LPG, CNG, PNG rates today, August 22: Check latest prices in Delhi, Mumbai, Chennai, Kolkata and other cities - BusinessToday","Domestic LPG, CNG and PNG prices continue to remain largely stable for households across India despite the West Asia conflict involving the US and Israel on one side and Iran on the other nearing an end.",,2026-08-22T09:22:31+05:30,,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202608/6a884883654c0-lpg--cng--png-prices-on-august-19-check-latest-rates-across-major-cities-191215459-16x9.jpg
"Aug 22, 2026 @ 19:31:13.078",e634cbfd878121cddb88a6f67028e80d,https://www.businesstoday.in/latest/trends/photo/beyond-bollywood-glamour-inside-the-lavish-menu-of-arpita-khans-mercii-550400-2026-08-22,Beyond Bollywood glamour: Inside the lavish menu of Arpita Khan’s Mercii,"Inside Arpita Khan Sharma’s Mumbai restaurant Mercii, where a Rs 10,000 fish, Rs 8,500 truffle pasta and champagne worth Rs 1.88 lakh turn dining into a luxury affair.",,2026-08-22T06:15:02+05:30,,https://akm-img-a-in.tosshub.com/businesstoday/images/photo_gallery/202608/6a86e4da64227-mercii-202820209-16x9.png
"Aug 22, 2026 @ 19:31:13.227",63617dafc0820184723695c9076b54d8,https://www.businesstoday.in/latest/trends/photo/anil-kapoors-first-television-payment-was-rs250-five-verified-milestones-from-his-early-struggle-to-global-recognition-550684-2026-08-22,Anil Kapoor’s first television payment was ₹250—five verified milestones from his early struggle to global recognition,"Anil Kapoor’s documented journey includes a ₹250 Doordarshan payment, teenage production work, a background-dancing job, two early leading roles and a SAG ensemble victory.",,2026-08-22T06:00:04+05:30,,https://akm-img-a-in.tosshub.com/businesstoday/images/photo_gallery/202608/6a88529c9b16b-anil-kapoors-first-television-payment-was-250five-verified-milestones-from-his-early-struggle-to-212854841-16x9.jpg
"Aug 22, 2026 @ 19:31:17.880",e0ad010efb70c72313f4d44dd20075dd,https://www.businesstoday.in/latest/trends/photo/delhi-and-new-delhi-are-not-the-same-administrative-unit-here-is-the-accurate-and-updated-difference-550678-2026-08-22,Delhi and New Delhi are not the same administrative unit—here is the accurate and updated difference,"Delhi is the 1,483-sq-km National Capital Territory with 13 revenue districts. New Delhi is a district name and the commonly used name for its smaller administrative core.",,2026-08-22T06:00:04+05:30,,https://akm-img-a-in.tosshub.com/businesstoday/images/photo_gallery/202608/6a884e6e784cc-delhi-and-new-delhi-are-not-the-same-administrative-unithere-is-the-accurate-and-updated-difference-211104518-16x9.jpg
"Aug 22, 2026 @ 19:31:17.971",cb4a225c7c93e61920d83c5a6a3fb187,https://www.businesstoday.in/latest/trends/photo/katra-banihal-rail-boost-indias-toughest-mountain-route-gets-a-major-speed-upgrade-550395-2026-08-22,Katra-Banihal rail boost: India’s toughest mountain route gets a major speed upgrade,"Indian Railways raises the Katra-Banihal section’s maximum speed to 100 kmph, promising faster travel across the 111-km Himalayan route featuring 33 tunnels and iconic bridges.",,2026-08-22T06:00:04+05:30,,https://akm-img-a-in.tosshub.com/businesstoday/images/photo_gallery/202608/6a86e3af33135-katra-202321610-16x9.png
"Aug 22, 2026 @ 19:31:18.376",5a79e779e70c2ac631c811b3cab7ea9e,https://www.businesstoday.in/latest/trends/photo/ahmedabad-bhagalpur-amrit-bharat-express-begins-service-on-august-26-timings-route-and-coaches-explained-550675-2026-08-22,"Ahmedabad–Bhagalpur Amrit Bharat Express begins service on August 26: timings, route and coaches explained","The Ahmedabad–Bhagalpur Amrit Bharat Express begins weekly service on August 26. Check its verified departure times, journey duration, major stops and coach composition.",,2026-08-22T05:05:01+05:30,,https://akm-img-a-in.tosshub.com/businesstoday/images/photo_gallery/202608/6a884cc5e4f63-ahmedabadbhagalpur-amrit-bharat-express-begins-service-on-august-26-timings--route-and-coaches-exp-210359775-16x9.jpg
"Aug 22, 2026 @ 19:31:18.602",c99d516bf3ec9a48c07bde797835e4d3,https://www.businesstoday.in/latest/trends/photo/planning-a-weekend-with-children-in-delhi-these-five-destinations-combine-nature-heritage-and-practical-learning-550672-2026-08-22,"Planning a weekend with children in Delhi? These five destinations combine nature, heritage and practical learning","From Sunder Nursery and Lodhi Garden to trains and wildlife, these five Delhi outings give children specific opportunities to explore nature, architecture and transport history.",,2026-08-22T05:00:05+05:30,,https://akm-img-a-in.tosshub.com/businesstoday/images/photo_gallery/202608/6a884ad13eb03-planning-a-weekend-with-children-in-delhi-these-five-destinations-combine-nature--heritage-and-prac-215539583-16x9.jpg
"Aug 22, 2026 @ 19:31:23.012",1bdd34fc96efa4d29fca0ee78bbad0ea,https://www.businesstoday.in/india/story/fcra-rules-2026-tighten-foreign-fund-compliance-10-changes-ngos-must-know-550622-2026-08-21,FCRA rules 2026 tighten foreign fund compliance: 10 changes NGOs must know - BusinessToday,"The FCRA Rules 2026 tighten compliance requirements for NGOs receiving foreign contributions, with greater scrutiny of fund utilisation, approved activities and geographical areas.",,2026-08-21T18:22:00+05:30,,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202608/6a88332bf302e-the-new-rules-impose-restrictions-on-associations-with-foreign-national-key-functionaries-seeking-fc-211446545-16x9.jpg
"Aug 22, 2026 @ 19:31:23.232",da6b1d86fce6e1e75b89b19148a1a0f3,https://www.businesstoday.in/latest/trends/photo/cabinet-clears-four-railway-projects-worth-rs9450-crore-that-will-add-approximately-410-km-of-new-track-550673-2026-08-22,"Cabinet clears four railway projects worth ₹9,450 crore that will add approximately 410 km of new track","Four railway projects worth approximately ₹9,450 crore will add about 410 km of track across four states. Here is the exact length and location of every approved section.",,2026-08-22T04:30:03+05:30,,https://akm-img-a-in.tosshub.com/businesstoday/images/photo_gallery/202608/6a884ba1e65a8-cabinet-clears-four-railway-projects-worth-9-450-crore-that-will-add-approximately-410-km-of-new-tr-215908150-16x9.jpg
"Aug 22, 2026 @ 19:31:23.378",1d9ca9de703c2005a2c58e0042843165,https://www.businesstoday.in/india-at-100/story/current-economic-model-in-india-is-default-p-chidambaram-550687-2026-08-21,Current economic model in India is default: P. Chidambaram - BusinessToday,"India’s economy is trapped in a square of regulation, investigation and enforcement, crony capitalism and bureaucratic hurdles, said former finance minister P Chidambaram.",,2026-08-21T19:06:15+05:30,,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202608/6a885434cf894-former-finance-minister-p-chidambaram-said-the-current-economic-model-is-not-based-on-a-deep-analysi-213543396-16x9.jpeg
"Aug 22, 2026 @ 19:31:23.629",eae84494a84326a72c8210475d84d8a5,https://www.businesstoday.in/india-at-100/story/automation-vs-jobs-could-indias-labour-reforms-push-small-firms-towards-capital-intensive-production-550644-2026-08-21,Automation vs jobs: Could India’s labour reforms push small firms towards capital intensive production? - BusinessToday,"India’s labour reforms are being positioned as a way to make hiring more flexible and manufacturing more competitive, but their impact on job creation could depend on how smaller firms respond.",,2026-08-21T17:19:01+05:30,,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202608/6a883ae339fe6-experts-said-while-simpler-compliance-may-encourage-expansion--higher-labour-costs-and-payroll-chang-214741787-16x9.jpeg
