crawl_timestamp,uniq_id,page_url,article_title,sub_title,author_name,post_date,article_content,image_url
"Apr 19, 2026 @ 01:22:39.983",ff34cc1fa86ab83985b15de1b2065ef9,https://www.just-style.com/news/idle-clothes-reconomy-circularity/,Reconomy warns idle clothes undermine circularity,New research from Reconomy says idle clothes in wardrobes now pose nearly as significant a challenge to circularity as discarded items.,Jangoulun Singsit,2026-04-15T10:45:55+00:00,"Idle clothes in wardrobes now pose nearly as significant a challenge to circularity as discarded items, according to new research from Reconomy. The research identifies “widespread overproduction” and the dominance of inexpensive, lower-quality garments with reduced longevity as major contributing factors. According to the research, unworn clothes reduce garments’ “perceived value” and discourage maintenance, repair, and reuse. Consequently , these garments are often discarded, generating waste comparable to that sent directly to landfill. The gold standard of business intelligence. Find out more Combine business intelligence and editorial excellence to reach engaged professionals across 36 leading media platforms. Find out more In addition, it is highlighted that industry progress on circular initiatives is slow, with most schemes struggling to move beyond pilot stages. The study identifies the lack of consistent regulations and circular design standards across markets, which creates further complexities for international brands and retailers developing their own strategies. The research revealed that efforts to expand circular business models have also stalled due to “unsuitable infrastructure, poor data availability and lack of long-term financial investment”. To address the issues, the research outlines eight recommended focus areas, including: Reconomy Textiles EPR development director Aimee Campanella said: “While brands and retailers recognise this is a business-critical issue and want to accelerate circularity, too many structural barriers stand in the way of adopting solutions that work at scale. We hope this research provides the industry with a better understanding of the barriers and what needs to change to help the sector move beyond pilots to viable circular systems that help the sector reduce waste, cut carbon emissions, while also lowering costs for businesses and strengthening profitability.” Reconomy’s research was commissioned against the backdrop of increasing global demand for clothing and footwear, while a lack of circular practices continues to drive unsustainable waste generation and carbon emissions. An estimated 120 million metric tonnes of textile waste were generated globally in 2024, with around 80% sent to landfill or incineration. The study was carried out by independent sustainability consultancy Sancroft, drawing on extensive research and in-depth stakeholder interviews across the textiles ecosystem. Last month, Reconomy joined ReHubs, a European alliance focused on expediting the shift to a circular textile economy . The gold standard of business intelligence. Find out more Experience unmatched clarity with a single platform that combines unique data, AI, and human expertise. Find out more",https://www.just-style.com/wp-content/uploads/sites/27/2026/04/Textile-images-1.jpg
"Apr 19, 2026 @ 01:22:40.004",c98bd27de1d795dc2d101d5526153f7a,https://www.just-style.com/news/gapinspectorio-ai-adoption/,Inspectorio AI platform to enhance Gap supply chain oversight,"Gap uses Inspectorio’s AI platform to increase visibility, quality management and supplier collaboration within its network.",Jangoulun Singsit,2026-04-14T10:10:54+00:00,"Gap has introduced Inspectorio’s AI platform to its global supply chain to increase visibility, quality management and supplier collaboration within its network. Inspectorio’s technology will be used across all Gap brands, including Old Navy, Gap, Banana Republic and Athleta. The US brand will use Inspectorio’s AI capabilities to achieve end-to-end product traceability, relying on automated task execution and centralised data collection. The gold standard of business intelligence. Find out more Combine business intelligence and editorial excellence to reach engaged professionals across 36 leading media platforms. Find out more Inspectorio CEO Chirag Patel commented, “Gap Inc. sets a new global standard for how leading retailers use AI to streamline supply chain performance and deliver for consumers. We’re proud to support the company’s vision with AI-powered technology that turns transparency into a competitive advantage and helps Gap Inc. make faster, smarter decisions across a complex global supplier network.” This development is part of a broader digital transformation in Gap’s supply chain management. The partnership follows Gap’s recent introduction of additional AI tools from other providers earlier this month, including personalisation technologies from Bold Metrics and Google . Gap now offers customers personalised fit recommendations via Bold Metrics’ Agent Sizing Protocol and supports Google’s Universal Commerce Protocol, which the company says enables more efficient agent-based e-commerce interactions. In October last year, Gap entered a multi-year agreement with Google Cloud to advance its technology strategy, using AI to support retail developments across its brands. The following month, the company also announced that AI-powered features would be introduced on its online platforms in time for Cyber Monday 2025, aiming to provide customers with new experiences for discovering styles and selecting the correct fit across the company’s group of brands. The gold standard of business intelligence. Find out more Experience unmatched clarity with a single platform that combines unique data, AI, and human expertise. Find out more",https://www.just-style.com/wp-content/uploads/sites/27/2026/04/Gap-2.jpg
"Apr 19, 2026 @ 01:22:40.042",cdd56b7de0d233bac8f543cb9bfd1027,https://www.just-style.com/news/zhejiang-longsheng-dystar-shareholder/,Zhejiang Longsheng assumes full control of DyStar after shareholder dispute settlement,"Zhejiang Longsheng Group has acquired full ownership of DyStar, a speciality chemical company, following the resolution of a shareholders’ dispute.",Jangoulun Singsit,2026-01-05T11:00:27+00:00,"Zhejiang Longsheng Group has acquired full ownership of DyStar, a speciality chemical company, following the resolution of a shareholders’ dispute. The settlement was concluded through several agreements, including a Share Buy-Back Agreement and a Framework Agreement, both dated 12 December 2025, as well as an Amended and Restated Share Purchase Agreement finalised on 13 December 2025. These agreements amended the original Share Purchase Agreement signed on 29 May 2025. The gold standard of business intelligence. Find out more Combine business intelligence and editorial excellence to reach engaged professionals across 36 leading media platforms. Find out more The transaction involved the purchase of a 37.5% shareholding previously held by KIRI Industries for a total sum of $688.88m. DyStar provided $426.52m of the payment while Zhejiang Longsheng Group’s subsidiary, Sende International, contributed $262.4m. Court-appointed receivers Deloitte & Touche Financial Advisory Services confirmed the transaction on 30 December 2025, with completion occurring the same day. With this process finalised, all legal disputes between Zhejiang Longsheng and KIRI Industries related to DyStar’s shareholding have been settled. The two directors nominated by KIRI Industries have stepped down from DyStar’s board of directors. As a result, DyStar now operates as a wholly owned subsidiary of Zhejiang Longsheng Group. DyStar Group board of directors chairman Ruan Weixiang said: “We are delighted with the successful conclusion of this transaction as it is consistent with Longsheng’s strategic objective of becoming a world class provider of specialty chemical production services. I am confident DyStar’s consolidated profits will be further strengthened as we remain united and work together for a better tomorrow.” The company stated it will maintain transparency and continue engagement with its stakeholders during this transition. DyStar Group managing director and president Xu Yalin said: “The complete resolution of the shareholders’ dispute marks a pivotal milestone for DyStar. With full ownership and unified governance under the leadership of Zhejiang Longsheng Group, DyStar is well-positioned to strengthen its global operations, accelerate innovation, and deliver sustainable value for all stakeholders.” In April last year, DyStar Group terminated manufacturing activities at its Hilton Davis facility, with selected processes to be absorbed by DyStar LP in Reidsville, North Carolina . The gold standard of business intelligence. Find out more Experience unmatched clarity with a single platform that combines unique data, AI, and human expertise. Find out more",https://www.just-style.com/wp-content/uploads/sites/27/2026/01/DyStarHQ_reception_Library.jpg
"Apr 19, 2026 @ 01:22:40.019",c2274a27073a6a6bbf802a46ace7ef38,https://www.just-style.com/news/nike-bosses-assure-progress-in-reshaping-business-as-q2-earnings-sink/,Nike predicts Q3 low double-digit revenue fall as Q2 earnings dip 26%,Nike has reported a decline in its Q2 earnings with net income falling by 26% to $1.2bn from $1.57bn in the previous year.,Upasana Mukherjee,2024-12-20T11:58:58+00:00,"Nike has reported a decline in its second quarter (Q2) earnings for fiscal year 2025 (FY25), with net income falling by 26% to $1.2bn from $1.57bn in the previous year. Nike’s Q2 basic earnings per common share were $0.78, a decrease from $1.04 year-on-year, while diluted earnings per common share also dropped to $0.78 from $1.03. Matthew Friend, Nike executive vice-president, chief financial officer said that the financial performance for Q2 largely aligned with expectations as the company continues to advance in reshaping its business. The gold standard of business intelligence. Find out more Combine business intelligence and editorial excellence to reach engaged professionals across 36 leading media platforms. Find out more Friend also noted traffic and retail sales across the marketplace were lower than anticipated, particularly in September and October. However, in November, the company experienced a positive shift in both digital and in-store traffic, especially during the key consumer events of the quarter. “Nike’s second-quarter financial performance largely met our expectations, as we continue to make progress in shifting our portfolio. Under Elliott’s leadership, we are accelerating our pace and reigniting brand momentum through sport,” Friend added. Key Q2 FY25 operational performance highlights: For the three months ending 30 November 2024, Nike’s revenues decreased 8% on a reported basis and down 9% on a currency-neutral basis to $12.35bn from $13.38bn in the same period last year, reflecting ongoing headwinds from its franchise management actions. Nike Brand revenues fell 7% to $12.0bn, with an 8% decrease on a currency-neutral basis, reflecting declines across all regions. Nike Direct revenues experienced a 13% decline to $5.0bn, attributed primarily to a 21% decrease in Nike Brand Digital sales and a 2% decrease in revenues from Nike-owned stores. Wholesale revenues also saw a downturn, with a 3% decrease to $6.9bn on a reported basis and a 4% decrease on a currency-neutral basis. Converse, a subsidiary of Nike, reported revenues of $429m, marking a 17% decrease on a reported basis and an 18% decrease on a currency-neutral basis, with sales falling across all territories. Gross profit for Nike in Q2 FY25 was $5.38bn, down from $5.97bn in the same quarter the previous year. As of 30 November 2024, the company had repurchased 112.8m shares under its current programme, amounting to approximately $11.3bn. Nike president and CEO Elliott Hill said: “After an energising 60 days of being back with my Nike teammates, our clear priority is to return sport to the centre of everything we do. “We’re taking immediate action to reposition our business, so we can get back to driving long-term shareholder value. Our team is ready to go, and I’m confident you will see more moments of Nike being Nike again.” Nike anticipates a decline in revenue for the third quarter, with projections indicating a decrease in the low double-digit percentage range. The forecasted downturn is attributed to the early implementation of the strategies previously mentioned and amplified by the negative impact of foreign exchange fluctuations. However, this is somewhat mitigated by the advantage gained from Cyber Week sales falling within the third quarter timeframe. For Q3, Nike’s gross margins are projected to fall by about 300 to 350 basis points. This expected reduction includes charges related to restructuring that were incurred during the corresponding period of the previous year. Recently, Chummy Tees conducted an analysis of the number of listings of the top 100 brands on online marketplaces eBay and Depop. The study found that Nike is the brand most frequently resold on these platforms. The gold standard of business intelligence. Find out more Experience unmatched clarity with a single platform that combines unique data, AI, and human expertise. Find out more",https://www.just-style.com/wp-content/uploads/sites/27/2024/12/Nike-shutterstock_2143887781.jpg
"Apr 19, 2026 @ 01:22:40.888",a2df6a302eceace7312f0e809388b390,https://www.just-style.com/news/us-textile-ncto-2025/,"US textile sector stable despite 2025 disruption, says NCTO","The US textile industry remained stable during 2025, despite facing economic and trade disruptions, according to the NCTO.",Jangoulun Singsit,2026-04-17T10:54:33+00:00,"The US textile industry remained stable during 2025, despite facing economic and trade disruptions, according to an industry overview presented by Chuck Hall, chairman of the National Council of Textile Organizations (NCTO). Hall, who serves as president and CEO of textile manufacturer Barnet, delivered his remarks at NCTO’s 22nd Annual Meeting, which took place from 14–16 April at the Mayflower Hotel in Washington, DC. Hall started his address with a stark note: “In just two and a half years, more than 40 US textile plants have closed. Let that sink in. Forty facilities — many in rural communities where a textile mill is the economic backbone — shut their doors. Families were impacted. Communities were shaken.” The gold standard of business intelligence. Find out more Combine business intelligence and editorial excellence to reach engaged professionals across 36 leading media platforms. Find out more He attributed the losses to predatory trade practices intensifying, the surge in illegal transshipments, customs fraud and logistics breakdowns which rippled across supply chains. Sweeping global tariff increases, he said, “triggered uncertainty and injected unpredictability into global markets.” Despite these challenges, Hall said, in 2025, the industry’s key metrics registered slight declines across the board but remained stable relative to major trade and economic disruptions throughout the year. “This again underscores the industry’s ability to adapt during challenging times and remain viable even while registering some losses.” Industry data for 2025, as presented by Hall, show that the value of US man-made fibre, textile, and apparel shipments totalled an estimated $60.9bn, down from $63.9bn in 2024. Exports of fibres, textiles, and apparel is also slightly down to $27bn in 2025, from $28bn the previous year. Between 2017 and 2024, the industry invested $34.3bn in advanced manufacturing within the US. Additionally, $5.5bn went into new plants and equipment in 2024, the most recent year with available figures. “Despite weakening in some fundamentals, I remain cautiously optimistic that the industry will once again navigate the disruptions and remain resilient this year. Several policy wins and significant progress in key priority areas will generate more business opportunities for the industry and thus provide a basis and foundation for optimism in 2026,” Hall said. But while in 2025 the industry faced these significant challenges, Hall said, it was also a year of wins for the US textile sector, particularly with regard to economic policy. These outcomes followed senior-level meetings, executive visits, direct engagement with Cabinet secretaries and policymakers on Capitol Hill, along with ongoing grassroots advocacy. Among others, major wins during the year include closing de minimis loophole, securing Western Hemisphere tariff exemptions, elevating customs enforcement, and protecting key defence procurement rules. Looking to the coming year, the organisation’s primary advocacy objectives include maintaining duty-free status for textile and apparel goods eligible under USMCA and CAFTA-DR agreements. NCTO also plans to increase efforts directed at the administration and Congress to obtain tariff exemptions for textile manufacturing inputs and machinery not produced domestically. In addition, it aims to strengthen engagement to protect and extend the Berry Amendment through the National Defense Authorization Act and the House Berry Amendment Caucus. “We enter 2026 with many challenges ahead. The work never ends, and the challenges are ever evolving. In 2026, global competition remains fierce. Policy uncertainty remains real. Enforcement gaps remain persistent,” Hall said. The gold standard of business intelligence. Find out more Experience unmatched clarity with a single platform that combines unique data, AI, and human expertise. Find out more",https://www.just-style.com/wp-content/uploads/sites/27/2026/04/NCTO-4.jpg
"Apr 19, 2026 @ 01:22:40.922",b119341e6f11f2aa55455b0632d66ff1,https://www.just-style.com/news/us-tariff-garment-supply-chain/,Response to US tariffs risked human and labour rights,"US tariff changes led to widespread human and labour rights harms for apparel workers, according to a new study from the BHRC.",Jangoulun Singsit,2026-04-17T10:10:06+00:00,"The implementation of US tariff changes in August 2025 led to widespread human and labour rights harms for apparel workers, a new study by the Business and Human Rights Centre has revealed. The NGO monitored global media reports, supplier disclosures, and first-hand testimony from unions and worker organisations across major garment-producing nations between April and December 2025. The research examined how brand and buyer responses to US tariff changes impacted labour conditions throughout supply chains. The gold standard of business intelligence. Find out more Combine business intelligence and editorial excellence to reach engaged professionals across 36 leading media platforms. Find out more Following the announcement of a universal 10% tariff on imports and additional “reciprocal” tariffs ranging from 10 to 50% for certain trading partners under the International Emergency Economic Powers Act, the study revealed that brands and buyers responded with abrupt changes to purchasing practices. Suppliers reported orders being paused or cancelled, demands for price reductions, and requests to absorb or split tariff-related costs. Buyers in some cases threatened to shift orders elsewhere if suppliers did not comply with lower price demands, generating commercial shocks along the supply chain. The study found that these commercial actions led to layoffs, factory closures, reduced working hours and delayed wage payments for workers. Unions and industry organisations observed that brands rapidly changed sourcing away from jurisdictions with higher tariffs, including a reduction in apparel imports from China to a 22-year low by May 2025 and shifts to countries such as Vietnam, Myanmar and Sri Lanka. When tariffs increased in India, some buyers moved orders again, creating persistent instability for workers. Among 25 apparel buyers contacted, none responded to requests for information on how they managed sourcing changes or monitored labour impacts during this period. The Centre’s report stated that the practice of transferring financial risk and cost to suppliers and their workers mirrored patterns recorded during previous supply chain crises, including the Covid-19 pandemic. Price reduction pressure was widely reported, with brands and retailers demanding discounts of up to 25% on new and ongoing orders. “The 2025 US tariffs didn’t just reshape trade, they reshaped livelihoods as well. When a crisis hits global supply chains, more often than not the costs are pushed down onto suppliers, with disastrous consequences for workers,” commented Anithra Varia, interim project manager for labour rights at the Business and Human Rights Centre. “As brands made calculated commercial decisions, garment workers were left facing layoffs, rising precarity, the erosion of labour rights, and in many cases hunger and marginalisation. The response to the tariff crisis reveals a systemic failure by brands who continue to treat human rights as optional when commercial pressures arise.” One Bangladeshi supplier said: “My US buyer is saying that there is no possibility of raising the price from the end buyer. Therefore, they are asking us to reduce the price.” Competition between suppliers to secure orders further reduced profit margins. The Centre documented buyers in Bangladesh and India seeking to push additional tariff costs onto suppliers, in some cases suspending or cancelling contracts where suppliers refused. One supplier in India was quoted as saying: “The buyer asked me to bear the remaining amount. If I can’t, they want to cancel the order. This is from my major buyer to whom I ship half a million pieces every month.” Workforce impacts included layoffs and factory closures, such as in Lesotho, where around 5,000 workers were placed on three months’ unpaid leave following factory shutdowns, leading to protests over unpaid wages. In factories that remained operational, reductions in working hours and pay occurred, increasing financial insecurity among employees. Some unions reported that food and medical insecurity, as well as risks of exploitation and trafficking, increased for some workers. The report found women and migrant workers were particularly exposed due to insecure employment and limited protections. According to union accounts, employers used tariff pressures to request workers sign voluntary resignation letters without negotiation. “How brands respond to disruption matters. In supply chains characterised by significant power asymmetries between buyers and suppliers, adjustments to purchasing practices can place immediate financial pressure on suppliers operating on narrow margins,” Varia added. “When commercial pressure is pushed down supply chains, workers pay the price. Better practice means maintaining agreed prices and payment terms, honouring existing orders, and working with suppliers and worker representatives to protect wages, benefits and severance when disruption hits. “Brands and buyers have the power to determine where shocks land across supply chains. As tariff uncertainty continues, these actors must urgently adopt responsible purchasing practices to prevent financial pressure on suppliers translating into human rights harms for workers.” The gold standard of business intelligence. Find out more Experience unmatched clarity with a single platform that combines unique data, AI, and human expertise. Find out more",https://www.just-style.com/wp-content/uploads/sites/27/2026/04/Business-and-Human-Rights-Centre.jpg
"Apr 19, 2026 @ 01:22:40.951",adfe9703998d415ecf3e08d05d80e99f,https://www.just-style.com/news/wordly-ai-compliance-solution/,Worldly unveils AI-driven compliance solution for consumer goods,"Worldly has launched a new AI-powered solution, which it says can “manage and reduce” risk for consumer goods brands.",Jangoulun Singsit,2026-04-17T09:57:43+00:00,"Supply chain intelligence platform Worldly has launched a new AI-powered solution which it says can “manage and reduce” risk for consumer goods brands. Named Supplier Compliance Management, the new platform allows brands to centralise the compliance process, from audits and remediation tasks to tracking improvements over time. It offers standardised classifications and severity scoring across different facilities and regions, and provides tools to govern corrective action plans. The gold standard of business intelligence. Find out more Combine business intelligence and editorial excellence to reach engaged professionals across 36 leading media platforms. Find out more For suppliers, Worldly says the platform could reduce repetitive audits and overlapping requirements, which manufacturers say can amount to more than 200 days of audit activity per year. By using converged assessment data, it aims to simplify compliance work for both brands and suppliers. Worldly human rights risk solutions vice president Kathryn Smith said: “We’ve spent years building the largest network of verified supplier data in the consumer goods industry, with more than 40,000 facilities submitting primary data on the Worldly platform. “Supplier Compliance Management turns that foundation into something compliance teams have never had before: a single system that connects what audits find to what a brand’s own standards require, and tracks whether conditions are actually improving. That’s not incremental. It changes how compliance programs operate.” The announcement of the platform comes as global regulatory pressure intensifies, with US Customs and Border Protection blocking nearly $4bn in shipments since 2022 over forced labour concerns and new EU forced-labour rules due to be enforced in 2027. The platform consolidates third-party social audit reports, custom brand assessments, and data from the Higg Facility Social & Labor Module, overseen by Cascale. It also streamlines the mapping of findings against brand Codes of Conduct and global labour standards frameworks, including the ILO Core Labour Standards and the Cascale Risk Framework. OVS corporate sustainability head Simone Colombo said: “Managing compliance across our supplier base used to mean reconciling data from multiple audit frameworks and spreadsheets, then mapping it all back to our Code of Conduct manually. “Worldly’s Supplier Compliance Management brings everything together in one place, giving us a much clearer picture of where risks exist and what is being done to address them — and saving us an enormous amount of time.” In December last year, Worldly released a series of updates aimed at improving the collection and use of primary data for brands and suppliers . The gold standard of business intelligence. Find out more Experience unmatched clarity with a single platform that combines unique data, AI, and human expertise. Find out more",https://www.just-style.com/wp-content/uploads/sites/27/2026/04/Worldly-3.jpg
"Apr 19, 2026 @ 01:22:40.939",c03fbc1aeeeae1d8ddea5cb4e579e58c,https://www.just-style.com/news/allbirds-pivots-from-sustainable-footwear-to-ai/,Allbirds pivots from sustainable footwear to AI,Allbirds announces it will rebrand to NewBird AI after selling its footwear business to American Exchange Group last month.,Rachel Lawler,2026-04-17T08:33:26+00:00,"In a surprising move, Allbirds announces it will rebrand to NewBird AI after selling its footwear business to American Exchange Group last month. Stay ahead with unbiased news, expert commentary, and in-depth features on global topics. As a trusted provider of data and insights, Just Style collaborates closely with industry leaders and professionals to offer unique thought leadership and analysis. Gain a deeper understanding of the apparel industry’s trajectory and the priorities shaping the profession. Ready to stay informed? Subscribe to unlock exclusive content. Already a subscriber? Sign in to access your account. Please complete this form to request more information, and a representative will be in touch shortly. The gold standard of business intelligence. Find out more Experience unmatched clarity with a single platform that combines unique data, AI, and human expertise. Find out more",https://www.just-style.com/wp-content/uploads/sites/27/2026/04/shutterstock_2464470317.jpg
"Apr 19, 2026 @ 01:22:41.776",d905d0922c3c451234a2c8937b6d99b0,https://www.just-style.com/news/tesco-clothing-revenue-growth/,Tesco F&F clothing sales rise as group revenue up 4.6%,"Tesco has reported growth in its F&F clothing division during the year ended 28 February 2026, with sales reaching over £1.2bn ($1.6bn), an increase of 5.1% from the prior fiscal.",Jangoulun Singsit,2026-04-16T09:05:25+00:00,"Supermarket chain Tesco has reported growth in its F&F clothing division during the year ending 28 February 2026, with sales reaching over £1.2bn ($1.6bn), an increase of 5.1% from the prior fiscal. Stay ahead with unbiased news, expert commentary, and in-depth features on global topics. As a trusted provider of data and insights, Just Style collaborates closely with industry leaders and professionals to offer unique thought leadership and analysis. Gain a deeper understanding of the apparel industry’s trajectory and the priorities shaping the profession. Ready to stay informed? Subscribe to unlock exclusive content. Already a subscriber? Sign in to access your account. Please complete this form to request more information, and a representative will be in touch shortly. The gold standard of business intelligence. Find out more Experience unmatched clarity with a single platform that combines unique data, AI, and human expertise. Find out more",https://www.just-style.com/wp-content/uploads/sites/27/2026/04/Tesco-1.jpg
"Apr 19, 2026 @ 01:22:41.790",693b225fe6ab00c507165f2776dbf02f,https://www.just-style.com/news/recover-prosperity-textile-team-to-scale-denim-solutions/,"Recover, Prosperity Textile team to scale denim solutions","Recover, has partnered with Prosperity Textile on a range of denim fabrics developed collaboratively under the Recover Fabrics umbrella.",Hannah Abdulla,2026-04-16T08:19:11+00:00,"Materials science firm, Recover, has partnered with denim fabric manufacturer, Prosperity Textile on a range of denim fabrics developed collaboratively under the Recover Fabrics umbrella. Designed as a flexible, production‑ready collaboration, the partnership between Recover and Prosperity Textile enables scalable and sustainable denim fabric solutions that can evolve in response to customer needs, volumes, and end‑use applications. It brings together Recover’s consistent, high‑quality recycled cotton fibre with Prosperity Textile’s deep denim expertise and advanced manufacturing capabilities. The gold standard of business intelligence. Find out more Combine business intelligence and editorial excellence to reach engaged professionals across 36 leading media platforms. Find out more Built as a scalable platform for industrial‑scale denim fabric production, the collaboration supports reliable quality, performance, and long‑term supply. “Our partnership with Prosperity Textile represents an important step in making it easier for brands to integrate circular materials beyond niche collections, into their core quality denim ranges,” said Anders Sjöblom, CEO, Recover™. “Working closely with a mill partner that has the technical depth, innovation mindset, and scale of Prosperity Textile allows us to jointly develop denim fabrics that meet the real performance and quality consistency expectations of global brands, while reducing reliance on virgin cotton.” “By combining Recover’s recycled cotton expertise with our industrial manufacturing capabilities, we are able to deliver competitive, high-volume denim fabrics that meet the performance, lead time, and quality expectations of global brands,” added Stafford Lau, CEO, Prosperity Textile. “This collaboration reflects our shared commitment to making sustainable, high-quality denim a viable solution for core collections produced at an industrial scale.” Initial fabric developments will be introduced to selected brand partners as part of both companies’ shared commitment to accelerating circularity in denim. The gold standard of business intelligence. Find out more Experience unmatched clarity with a single platform that combines unique data, AI, and human expertise. Find out more",https://www.just-style.com/wp-content/uploads/sites/27/2026/04/denim.jpg
