crawl_timestamp,uniq_id,page_url,article_title,sub_title,author_name,post_date,article_content,image_url
"Aug 22, 2026 @ 19:40:37.381",57560065c9b8dc77b77385eb4b1f33d9,https://www.livemint.com/companies/people,"People in Companies, Top Executive, Companies of the People, Top Company Leaders","Get the special reports on people in companies, top executives, companies of the people, famous personalities, leaders & more on mint.",,,,https://www.livemint.com/lm-img/static/default/newmintdefault-621.jpg
"Aug 22, 2026 @ 19:40:37.390",223263d6b7aeaaaa86e5b479a7a3d626,https://www.livemint.com/companies/company-results,"Company Results: Company Quarterly Results, Financial Results, Half Yearly Results, Annual Results","Company Results: Get all the latest news and updates on Company Results. Read more about Financial Results, Half Yearly Results, Annual Results & Earnings on mint.",,,,https://www.livemint.com/lm-img/static/default/newmintdefault-621.jpg
"Aug 22, 2026 @ 19:40:37.403",6a420c83f20221a8df67fa44cdfe4f70,https://www.livemint.com/industry/banking,"Banking News: Latest Banking News, Indian Banking News, Banking & Finance News","Banking News: Get the latest Banking news, Banking news updates, Indian Banking news top headlines on mint.",,,,https://www.livemint.com/lm-img/static/default/newmintdefault-621.jpg
"Aug 22, 2026 @ 19:40:37.410",551ea4d9e1586275f043ed15e5da7d82,https://www.livemint.com/industry/infotech,"Infotech News: Latest Infotech News, Infotech Industry News and Updates",Infotech News: Get all the latest news on Infotech. Read more Infotech industry top news and headlines on Mint.,,,,https://www.livemint.com/lm-img/static/default/newmintdefault-621.jpg
"Aug 22, 2026 @ 19:40:37.650",abd573149e8345d2fb0aba4c63f76ea2,https://www.livemint.com/industry/infrastructure,"Infrastructure News: Latest Infrastructure News, Indian Infrastructure Top News","Infrastructure News: Get all the latest news on Infrastructure, Indian Infrastructure, Infrastructure industry, Infrastructure sector top news & more on mint.",,,,https://www.livemint.com/lm-img/static/default/newmintdefault-621.jpg
"Aug 22, 2026 @ 19:40:37.656",02d335dc6b363f1c1488cd7fb909e2dc,https://www.livemint.com/companies/start-ups,"Startup News: Latest Startup Company News, Entrepreneurship, Best Startups Company","Startup News: Get latest and breaking news on Startup company, best Indian startup company, entrepreneurship, emerging start-up at Mint.",,,,https://www.livemint.com/lm-img/static/default/newmintdefault-621.jpg
"Aug 22, 2026 @ 19:40:37.671",ec7f987092ed21f95fcc214df3bfe098,https://www.livemint.com/industry/manufacturing,"Manufacturing News: Latest Manufacturing News, Manufacturing Sector, Manufacturing Industry News","Manufacturing News: Get all the latest news on Manufacturing, Manufacturing Sector, Manufacturing industry & more on mint.",,,,https://www.livemint.com/lm-img/static/default/newmintdefault-621.jpg
"Aug 22, 2026 @ 19:40:37.677",3528da5584dca8a6fc105047dd300937,https://www.livemint.com/industry/agriculture,"Agriculture News: Agriculture News India, Agriculture Industry News Today","Agriculture News: News on Agriculture industry, crop pricing and production, policy and trade in agriculture at Mint.",,,,https://www.livemint.com/lm-img/static/default/newmintdefault-621.jpg
"Aug 22, 2026 @ 19:40:37.902",d02e9b794d24b64cf9b7026f592bbe24,https://www.livemint.com/industry/banking/india-draws-72-85-billion-in-forex-inflows-fcnr-b-deposits-top-65-billion-says-rbi-11787396641948.html,"India draws $72.85 billion in forex inflows, FCNR(B) deposits top $65 billion, says RBI | Mint",Forex inflows mobilised under the Reserve Bank of India's special USD-INR swap facility reached USD 72.85 billion as of August 21 with FCNR(B) deposits accounting for the bulk of the funds raised under the scheme,Livemint,2026-08-22T17:17:43+05:30,,https://www.livemint.com/lm-img/img/2026/08/22/1600x900/logo/RBI_1787396848563_1787396848804_fac27c83-e32c-4f59-aa69-ac7e4ea14d89.jpg
"Aug 22, 2026 @ 19:40:37.903",242b28eb010fef37a25ad27865c036dc,https://www.livemint.com/industry/energy,"Energy News: Latest Energy News, Top Energy Industry News on Oil, Gas, Power Sector","Energy News: Get all the latest news on Energy. Read more energy industry top news on OIL, GAS, Power Sector at Mint.",,,,https://www.livemint.com/lm-img/static/default/newmintdefault-621.jpg
