crawl_timestamp,uniq_id,page_url,article_title,sub_title,author_name,post_date,article_content,image_url
"Aug 22, 2026 @ 19:50:49.628",2eb2ca968cff0570ddf088abf4f6a943,https://www.nylon.com/fashion/best-dressed-people-2024,The 11 Best-Dressed Celebrities Of 2024,"The 11 best-dressed people of 2024, including Charli XCX, Taylor Russell, Drew Starkey, Ayo Edebiri, Chloë Sevigny, Daisy Edgar-Jones, and more.",,2024-12-11T14:15:25.449Z,"Fashion Nine actors, one sad boy, and one brat. The end of the year has a few necessary evils: the return of Mariah Carey’s “All I Want For Christmas Is You,” best-album lists that start more X feuds than should be legal, and a feeling of nostalgia for the 11 or so months that just passed. As a fashion fiend, I’ve been preparing our best-dressed list since my first day at NYLON. It’s a list I don’t take lightly, so first, a few ground rules. One: Our winners should have a signature look but never veer into predictability. They also always wear fashion — not the other way around. Finally, they should exist both in the public conversation and NYLON’s Slack channels at least semiregularly, with enough public appearances to keep us fed. With that in mind, scroll through our highlight reel of looks on the actors and musicians that made the most of their public outings with ‘fits we’ll be thinking about well into next year. As the high priestess of Brat speak-sings in the opening line of “360,” “ I went my own way and I made it” — and make it she did. NYLON has carefully tracked her ultra-high fashion this year, thanks to stylist Chris Horan , who’s helped curate a new look he describes as “a bitchy adult, the Charli XCX adult.” Her tour looks — including custom Saint Laurent , Acne Studios, Rodarte, and Burberry — are all textural, strappy, and look best when she’s raving her ass off onstage. Equally as impressive is her off-duty style , which shows her taste doesn’t stop when she’s not performing. Her tattered, deconstructed style has already trickled down to fast fashion and will surely be replicated in 2025. Ronan had a quiet first half of the year, but it was clearly in preparation for a jam-packed few months that saw her promoting projects like The Outrun and Blitz . She’s certainly dressing like an award-winning star, thanks to her most fruitful collaboration of the year with stylist Danielle Goldberg, who’s helped Ronan hone in on a signature look. She’s wowed in bespoke column gowns from Louis Vuitton and given emerging designers like Hodakova and Colleen Allen the spotlight. The through line in all her looks is that she looks really cool. By any count, Zendaya has had a packed year with two box office hits under her belt.  While the Challengers press tour left us wanting a bit less green, her Dune run was undoubtedly one of the best premiere cycles she’s had. The vision was concise and included both emerging designers and archival pieces. Her standout look, however, was at the Rock & Roll Hall of Fame induction ceremony, where she introduced Cher dressed as her döppelganger . Now that’s method dressing. Drew Starkey was thrust from teen heartthrob fame into art-film renown with a star-making role in Queer . Loewe ’s creative director Jonathan Anderson designed the costumes for the film and quickly took Starkey under his wing, dressing him in custom wide-leg suits for his first time doing premieres and awards at this level. He’s still maintained that boyish charm despite all the high-price-tag fashion. Not only does Edebiri play a Thom Browne -clad chef on The Bear , she embodies the same level of wealth in her off-camera style. As another Goldberg client, she’s proven her versatility with custom looks from Louis Vuitton, Bottega Veneta , and Loewe, and also shown she gets style by wearing Dries Van Noten and New York fashion-kid mainstay Luar . Her playfulness lends itself beautifully to capital-F fun pieces like the doll-clothing Marc Jacobs dress. The eternally best-dressed woman had a jam-packed year, casually pulling looks from Phoebe Philo and Christopher John Rogers for premieres and demonstrating that, just because you’re 50, doesn’t mean you need to hide your body. Her legs were indeed her best accessory this year, and while we love seeing her on a red carpet, her street style proves why she’s on every designer’s mood board: It’s the high/low, dressy/casual, femme/masc juxtaposition most of us spend our whole lives trying to replicate. Corrin is slowly but surely proving themself to be a chameleon, with roles in both the box-office smash Deadpool & Wolverine and Robert Egger’s Nosferatu . Their fashion is equally as fluid. This year, their looks ranged from a sheer Saint Laurent dress to a skimpy Nina Ricci bodysuit, plus a sickly green Miu Miu suit Jackie O. would approve of and a drop-dead gorgeous Schiaparelli Couture buckle jacket. Corrin and stylist Harry Lambert are clearly having fun and know when to strike the balance between madcap and fashionable (and sometimes, it’s about mixing both). Another British darling ready for the big leagues, Edgar-Jones gave us lots to write about during her Twisters press tour . Her work with stylist Dani Michelle was a lesson in feminine restraint — and officially confirmed 2024 as the year of the boob. Indeed, her spliced white Gucci gown was sexy and revealing in all the right places, and her many Chloé looks required no bra. We’re all here for a bit of drama, but even better if it doesn’t have to come at the price of taste. The saddest young star on the pop scene is also one of its most stylish. His music videos have fashion credits that rival a magazine photo shoot, and his swaggering energy matches up with his larger-than-life fashion. He’s another Loewe regular, wearing custom pieces to the Met Gala and Venice, but also cleans up well in Gucci and embodies pop-star cool in swinging furs and workwear pieces for the stage. Russell moves stealthily with no social media accounts and no acting credits this year save for an off-Broadway production. However, her turn as a member of the jury panel at the Venice Film Festival was more than enough to get her on our list. She and stylist Jahleel Weaver gave a master class in red-carpet fashion, pulling archival Chanel effortlessly from the ‘90s and making it look as modern as ever, with custom Alaïa and Schiaparelli couture sprinkled in. That, plus her career-best look at the Met Gala in a Loewe corset, proved she doesn’t need a packed schedule to pack a punch. Schafer was in her indie-darling bag this year , and she dressed the part, working with friend and stylist Dara on a bevy of looks that kept us guessing. One minute, she’s in a windswept gazar Prada gown, and the next, she’s in a tuxedo-inspired corset dress by Bottega Veneta. A casual flex at the Berlin premiere of Cuckoo came in the form of her Maison Margiela Artisanal look , pulled straight from the most-talked-about runway show of the year, to which she lent appropriate drama. But her one-two punch at Cannes proved her sartorial dexterity: At the photo call, she wore a silly-yet-cool milkmaid Prada look (our favorite of the event), and on the red carpet, she oozed Old Hollywood glamour in Armani Privé.",https://imgix.bustle.com/uploads/image/2024/12/10/ca5786ac/best-dressed-2024.jpeg?w=1200&h=630&fit=crop&crop=faces&fm=jpg
"Aug 22, 2026 @ 19:50:49.632",b657647dc2ca1f196d449b78f5264ec5,https://www.nylon.com/fashion/kim-petras-balenciaga-campaign-2024,Balenciaga Gives Us Kim Petras As Seen By Juergen Teller,"Kim Petras is the latest celebrity face of Balenciaga, starring in a campaign alongside Romeo Beckham shot in Paris by Juergen Teller.",,2024-12-10T20:18:39.609Z,"Fashion Just a girl on a couch in the streets of Paris, living the dream. In an attempt to seize headlines one last time before 2025, Balenciaga dropped the aptly titled “This Is A Balenciaga Campaign By Juergen Teller” crowning a new class of Balenciaga babes, the most prominent of which is singer and Slut Pop princess, Kim Petras . With this newest brand-star alignment, she’s making herself into her own “Balenciaga daddy,” as she says in her Grammy-winning track “ Unholy. ” The campaign was shot in Paris and sees Petras rocking our favorite bag from the brand, the Rodeo, atop Balenciaga creative director Demna’s own vintage couches, which were dragged out into the streets for the occasion. Petras makes her high-fashion campaign debut alongside nepo baby turned model Romeo Beckham, who made his runway debut on the brand’s Summer 2025 catwalk. They both join the illustrious and ever-growing list of Balenciaga family members, including Kim Kardashian , Naomi Watts, Nicole Kidman , and most recently, Devon Lee Carlson and Paloma Elsesser. Petras has always been a fashion darling in the making, with eye-catching looks from major brands and indie designers alike that capture the current moment. She caught our attention earlier this year attending the brand’s Paris Fashion Week show alongside Katy Perry in a layered red slip dress and Balenciaga’s signature knife boots. She’s also worn looks from Miu Miu and Gucci this year, and even launched her own Ed Hardy collection. With this campaign, however, she cements her status as a fashion darling and will forever have the receipts to prove it — with Juergen and Demna to thank.",https://imgix.bustle.com/uploads/image/2024/12/10/374a6b0d/balenciaga-this-is-a.jpg?w=1200&h=630&fit=crop&crop=faces&fm=jpg
"Aug 22, 2026 @ 19:50:49.637",abad2fd05a32f0e15f818fabcec224fd,https://www.nylon.com/fashion/saint-laurent-celebrity-dressing-2024,Saint Laurent Won Celebrity Dressing This Year,"2024 was full of great celebrity looks from Saint Laurent, including sexy dresses on Emma Corrin and menswear suits on Hailey Bieber, Zoe Saldana, and more.",,2024-12-03T19:15:15.807Z,"Fashion In a whirlwind year of fashion, the brand didn’t miss the mark once. The death of monoculture makes it increasingly hard to pinpoint people and places that define a calendar year. It’s been a chaotic 11 and some months of 2024, with everything from a presidential election, Brat summer , Chappell Roan rising to fame quicker than you can spell “HOT TO GO!,” and more runways , premieres , and looks to review than we can count. One constant in fashion this year, however, was Saint Laurent , who was there to dress virtually all the people we care about at every turn. The brand has refined their image under the vision of Anthony Vaccarello, whose runway shows have been stripped to their essence in the last few seasons. There are no handbags to be seen, no garish selling of merchandise, but rather, a forward-leaning idea of glamor and sexiness. This has paid off in dividends: Not only are the shows critically acclaimed, but they make for celebrity fodder because of their uncompromising commitment to beauty. The Spring/Summer 2025 runway was a highlight of fashion month for its dichomotous menswear/loud ‘80s womenswear looks, which have already been worn by Chloë Sevigny and Emma Corrin . The usual Saint Laurent girls like Zoë Kravitz , Rosé, and Hailey Bieber also wore bespoke column gowns, marabou furs, and fresh-off-the-runway mens’ suits, respectively, embodying the range of the brand. The guys also got in on the fun: Internet boyfriends Cooper Koch and Manu Rios both wore sharp, seductive tailoring this fall. Saint Laurent knows celebrity culture, and knows Hollywood drives fashion more than ever — but they won’t stoop below their level of artistic integrity to include them. Saint Laurent Productions produced this year’s oddest musical movie Emilia Pérez , providing costumes for the film and also dressing the movie’s stars for red carpets. Selena Gomez looked the best I’ve ever seen her look at Cannes this year in a custom black-and-white column gown. Beyond their red-carpet prowess, the brand knows celebrities are valuable assets for campaigns, completing the 360-degree commitment to pop culture. This year alone, they’ve enlisted Kravitz, Jeremy Allen-White, Kate Moss, Diana Ross, Addison Rae , Sevigny, Rosé, and, most notably, Bella Hadid , who fronted her first fashion campaign and walked her first runway after a hiatus from the industry. There are very few fashion houses that can comfortably dress Zoe Saldaña and Charli XCX in the same month, but Saint Laurent’s reach knows no bounds. By doubling down on the sexy singularity the brand was known for when it still had “Yves” in front of it, Vaccarello and team have attracted the attention of everyone’s favorite A-listers. Usually, such rigid ideas of beauty aren’t for everyone, but Saint Laurent has found a way to make it work — and make it seem effortless.",https://imgix.bustle.com/uploads/getty/2024/12/3/0aa64074/cannes-france-may-20.jpg?w=1200&h=630&fit=crop&crop=faces&fm=jpg
"Aug 22, 2026 @ 19:50:49.641",43d3465286e6813d41b8374a3e8cb956,https://www.nylon.com/fashion/19-looks-of-2024,The 19 Outfits That Defined 2024,"The 19 outfits that defined style and fashion in 2024, including Beyoncé's leather Versace, Kylie Jenner closing Coperni, Rihanna's vintage fur, and more.",,2024-12-11T16:27:49.342Z,"Fashion From Hunter Schafer’s moody couture to Paul Mescal’s thigh-baring shorts. We pride ourselves on having consummate taste when it comes to fashion. Our roundup of the outfits of the year, however, is not about who had the best style, but rather who grabbed headlines and the public’s consciousness, if only for a brief moment. So, with that in mind, we put our heads together over in-person and informal Slack chats to narrow down the past 346 or so days into the 19 most memorable looks — including a spoon top to innumerable Rihanna ‘ fits — that will live in infamy in this unofficial fashion history of 2024. A very demure and mindful Barbie -approved look. It’s nice to see Billie all buttoned up, and this Chanel was fit for a winner as she picked up her second Academy Award. Addison Rae ’s duo of songs released this year, “ Diet Pepsi ” and “ Aquamarine ,”  proved she has a lot more to say — and so did her fashion. This custom Miss Claire Sullivan worn at the VMAs , complete ith a swan tutu and lumpy bra, was so wrong it’s right — but the best accessory was her glowing aura. For the Berlin premiere of her thriller Cuckoo , Schafer wore a look from John Galliano’s Maison Margiela Artisanal collection. The jaw-dropping couture show was inspired by ‘30s Brassaï photographs and the night-crawlers of Paris, which Schafer embodied handily with dramatic makeup, a moody pout, and wind-swept hair. After declaring herself “ your favorite artist’s favorite artist ,” Roan made good on that promise with a star-making string of exquisitely dressed festival appearances. Her Gov Ball performance started with her emerging from a broken apple in Lady Liberty drag, smoking a joint and watching over one of the festival’s largest crowds in history, with several wardrobe malfunctions ensuing. Nevertheless, her commitment to the bit made up for it. As “ Girl, so confusing ” says: “People say we’re alike / they say we’ve got the same hair.” At the sold-out Sweat tour stop at Madison Square Garden , however, Lorde and Charli XCX had the same hosiery dress, sunnies, and furs, all Saint Laurent , to perform the most bracingly honest pop song of the year. Never has post-election woe looked so good on anyone. One of our best-dressed ladies of the year continues to redefine what low-key schlepping fashion can be. Swift picked up her third Album of the Year Grammy Award wearing custom Schiaparelli — and heads turned because this was a rare miss for the French couture house. Whether or not it worked is besides the point, as both her stacks of jewelry and opera-length gloves inspired red-carpet looks for the rest of the year. The “ Please, Please, Please ” singer brought sexy back on her own terms in bedazzled, cheeky looks on tour all year, with lots of leg and a return to the opulence of retro stage costumes. The “Rush” singer and Sweat tour co-headliner turned out slutty, dance-ready looks for the whole run of shows, and this crystallized chap/jockstrap combo was slightly off — but worked for him. The $650 T-shirt from Challengers that couldn’t stay on Loewe’s shelves, inspired by John F. Kennedy Jr.’s identical shirt from the ‘90s. Fashion is nothing if not a circle. The Cowboy Carter era has seen Beyoncé shying away from the public eye more than ever before. So, when she showed up to the iHeartRadio Music Awards in April in this custom Versace leather-cowboy fever dream, we took it all in for its country-ified goodness. The leading man of Gladiator II is embracing a more, er, sensual side of fashion with mini knit sweaters and, of course, shorts that show off his Spartan legs with ease. Kylie Jenner bested her sister by doing what many models only dream of: closing out Fashion Month. She made her runway debut for Coperni at Disneyland Paris , sashaying with a confidence that clearly runs in the family. The Academy Museum Gala had more attendees than Getty Images knew what to do with, and celebs took the non-award event as a chance to play around and have fun. This resulted in some of the best looks of the year, including the aging-backwards Kirsten Dunst in chocolate-brown Gucci . Coughlan has been embraced by high fashion for her no-nonsense approach to glamor. This custom Rodarte will go down in our history books as the best homage to Bridgerton fashion of the year. This archival Givenchy FW99 gown, designed by Alexander McQueen, was one of our favorite looks from the Met Gala red carpet , and while Jenner claimed to be the first person to wear it, it was quickly debunked with photos of Winona Ryder in the same gown. Nevertheless, being second-best isn’t that bad. In a fall season packed to the gills with archival looks, furs, and shearlings, Rihanna won the race in this extremely rare Christian Lacroix look, replete with a wrap fur dress and matching hat, to accompany her mans to the 2024 Fashion Awards. She gives a whole new meaning to “deep cut” when it comes to vintage pulls. Two of the film industry’s most beautiful faces in matching biker jumpsuits to promote Dune: Part Two was a dose of fashion kismet that we’re still riding the high of. The rise of method dressing has us missing when people just dressed well , but Ortega’s homage to the original Beetlejuice was so well-executed, we could only sit back and applaud.",https://imgix.bustle.com/uploads/image/2024/12/11/6a9d2ef5/best-outfits-2024.jpeg?w=1200&h=630&fit=crop&crop=faces&fm=jpg
"Aug 22, 2026 @ 19:50:49.730",1f21b752d1e52d83738563731aad2c85,https://www.nylon.com/fashion/connor-storrie-saint-laurent-campaign-fall-2026,Connor Storrie & His Million-Dollar Curls Are Saint Laurent Campaign Stars,"Connor Storrie stars in his first-ever fashion campaign for Saint Laurent's Fall 2026 campaign, alongside Rosé and Liu Wen.",,2026-08-19T14:13:18.392Z,"Fashion Bring on the fan edits. Heated Rivalry Season 2 is currently in production, and while we wait to see the fruits of the cast’s labor on the show that brought back heartthrobs , we can bask in the glow of another production: Saint Laurent ’s Fall 2026 campaign starring on-screen hockey player and real-life sex icon, Connor Storrie . The campaign celebrates the men’s runway collection that showed in Jan. 2026, and Storrie is right at home in the sharp ‘80s-leaning power suiting and casually layered everyday looks featuring a cornucopia of scarves , exaggerated shirt cuffs, excellent leather pieces, and knits. Talia Chetrit shot the man with the best hair in the biz in a sparse, minimal apartment, where he gently rocked out to the late ‘80s hit “Girl I’m Gonna Miss You” by Milli Vanilli. The hero accessory for the men this season is the brand’s wraparound sunglasses , which lend a slightly freaky feel to the proceedings in the best way possible. Storrie’s campaign costars include superstar Rosé , a longtime friend of Saint Laurent, and supermodel Liu Wen, who make posing in the Fall 2026 collection (not to be mistaken with the women’s Winter 2026 runway collection) look easy. Highlights for the ladies include richly colored tweed jackets, easy patterned silk skirts, chain belts , and yes, the freaky see-through PVC pumps that helped ring in the freakiest footwear year on record . This marks Storrie’s first high-fashion campaign and continues his relationship with Saint Laurent, who whisked him to their Fall 2026 men’s runway show in January to see the very clothes he ended up modeling in this campaign. He’s worn Anthony Vaccarello’s designs to the Golden Globes , the Met Gala , and most recently to sit next to Madonna and Charli xcx at the Summer 2027 men’s runway show . Take all this in and add in his first Emmy nom for his hosting gig on Saturday Night Live , and you’ve got the dream year for an actor who lived in relative obscurity less than 12 months ago. Shop the Saint Laurent Fall 2026 men’s and women’s collections now on ysl.com .",https://imgix.bustle.com/uploads/image/2026/8/19/3f7f5159/saint-laurent_talia-chetrit_fall26-pt2_11_hr.jpg?w=1200&h=630&fit=crop&crop=focalpoint&fm=jpg&fp-x=0.5062&fp-y=0.2102
"Aug 22, 2026 @ 19:50:49.742",8137fb3e5fa9aa364532c8053d7dd056,https://www.nylon.com/fashion/one-great-look-hoyeon-louis-vuitton,One Great Look: Hoyeon In Louis Vuitton,Our best look of the week is HoYeon Jung in a custom lilac Louis Vuitton dress at the Red Sea International Film Festival on Dec. 5.,,2024-12-06T16:10:01.875Z,"Fashion This week, simplicity wins. The mad dash to the holidays is well underway, and six days into December, we’ve already covered enough looks to keep us held over until 2025. It’s hard to poke your head out above the rest, but a clear winner of the week’s fashion has emerged in both our Slack channels and my group chats: Hoyeon in a lilac-gunmetal custom Louis Vuitton gown. Hoyeon attended the Red Sea International Film Festival in Jeddah, Saudi Arabia alongside the likes of Cynthia Erivo and Catherine Zeta-Jones in a teacup-skirt column gown with an asymmetrical shoulder strap. The satin scuba fabric and oversized geometric peplum nods subtly to mini-dresses from Louis Vuitton ’s Fall/Winter 2024 runway, which she just so happened to open. It’s in line with the majority of her custom Vuitton looks this year: No patterns, embellishment, or embroidery in sight, just clean lines, impeccable fit and construction, and a color that complements her complexion to perfection. The jewelry is also not screaming for attention, as some haute jewelry pieces do, but rather give that little shine when the red-carpet paps ask for different angles. Her minimal style this year is thanks in part to work with mega-stylist Andrew Mukamal, who’s responsible for Margot Robbie ’s epic Barbie run, Zoë Kravitz ’s refined simplicity, and Lily Collins ’ mature press looks that served as an antidote to her chaotic character in Emily in Paris . Hoyeon’s Louis Vuitton love affair goes back a long time — she first walked for the brand during her start as a runway model in 2016, and this year she’s worn several looks from the French maison. She also went from a striking red hair color back to her black roots , just like Dua Lipa . The overarching lesson? Keep it simple — and keep both your wardrobe and hair stylist on speed dial.",https://imgix.bustle.com/uploads/getty/2024/12/6/f67e7563/jeddah-saudi-arabia-december.jpg?w=1200&h=630&fit=crop&crop=faces&fm=jpg
"Aug 22, 2026 @ 19:50:49.748",e4a09d41c12b04fd81be74f4f17aee49,https://www.nylon.com/fashion/fashion-news-august-20-2026,"Ashtin Earle Does Press-Tour Style, The Cooler Younger Sister Way","The best fashion news of the week, including Ashtin Earle's press tour style, Polo Ralph Lauren's Blaze bag, Birkenstock & Staud's mule collab, and more.",,2026-08-20T16:57:04.946Z,"Fashion News Little J, is that you? New York City is empty, the Hamptons is overrun with girls in activewear buying $40 chicken tenders, and the fashion world at large is still on their big August pause: No photoshoots, no sets, just a bit of relaxation before Fashion Month comes and rears her beautiful head. Don’t worry, though, there is still plenty of newness to shop and admire this week before you take a summer Friday. In the city, while the tourists have slowly weaned off their Times Square fix, the Earles took the chance to make a fashion statement in Midtown. Elsewhere, we have shoe drops and in-person activations to check out before the back-to-school feeling settles in fully. Keep reading to see what your timeline might’ve hidden from you in between all the Audrey Hobert discourse (spoiler alert: We love her) and the discovery of Chanty Beluga. On Sep. 4, the world will be introduced to the full Earle clan with Earle Meets World, their Netflix show documenting the highs and lows of being a relatively normal family with two famous daughters. While most of the world knows Alix , we are particularly obsessed with Ashtin , and her seven looks in 48 hours confirmed what we knew: She’s the fashion-loving younger sister to Alix’s superstar. She gave us a best hits of what you could find in a Wet Seal in the early aughts, with tutu skirts, chunky heels, statement necklaces, and a color palette of black, blush, and dusty purple that would fit right into Serena van der Woodsen’s closet. She kept the current-day feel with some big-ass sunglasses , of course. Polo Ralph Lauren ’s sporty, preppy summer couldn’t possibly get any better... or so I thought, until they introduced The Blaze Bag. Inspired by the white spot on a horse’s face, the Blaze comes in two sizes (large and small) and styles (shoulder and top-handle) that feel equestrian yet will slip into your daily life without much thought. The buttery-soft allows for scuffs, bumps, and marks — it’ll actually look better with more love. Shop the collection here . Your late-sumer errand shoe is here. Staud’s reimagining of the Loma slide comes right at the perfect moment of summer where thinking about your outfits might be a pain, so choose one of three enticing suede colors and let them do the heavy lifting for you. Shop the collection here . On and FKA Twigs continue their tirelessly athletic, grey-and-tan-covered collaboration with a collection focused primarily on the comedown from a great performance. The ready-to-wear is cotton-forward (think: schlubby sweats, casual zip-ups) and there is a new shoe to lust over: the Cloudmonster 3 Mule, which comes in white-tan-gray and black. Shop the range on Aug. 27 here . The perennially online girl’ s collaboration with Reformation resulted in the Enya Wedge, which comes in three colors and is just the right amount of quirky and ugly (complimentary). If your mom had wedges in the ‘80s, they’d probably look like these. Shop the range of party-ready shoes here . The girl with the wildest hair transformations in reality television continues to flex her chameleonic fringe in Guess’ latest campaign for the Allegra bag range. The new handbag in its tote, satchel, and shoulder-bag forms, comes in a variety of colors, including the striking Suede Espresso that matches her hair perfectly. Shop the entire suite of bags here . South Coast Plaza has never seen a bow this big. If you’re in the SoCal area, hit up the shopping center to get a fresh bottle of Miss Dior, see the new campaign starring Natalie Portman, and customize your own bottle. For Michael Kors Collection ’s show last season, he took over the Metropolitan Opera and staged a dramatic catwalk paying homage to the city he’s called home for his brand for 45 years now. The campaign accompanying that collection features many screen and stage stars from the city, including Lea Michele, so what better place to show off both the new clothes and the campaign than Bergdorf Goodman? It doesn’t get more New York than this.",https://imgix.bustle.com/uploads/getty/2026/8/20/89628614/new-york-new-york.jpg?w=1200&h=630&fit=crop&crop=focalpoint&fm=jpg&fp-x=0.45&fp-y=0.1902
"Aug 22, 2026 @ 19:50:49.750",d7b52748f0f8f3cbd7f6e628da60d7d8,https://www.nylon.com/fashion/jennie-calvin-klein-collection-denim-festival-stage-looks,Jennie Makes The Case For A Maximalist-Denim Fall,Jennie performed in two Calvin Klein Collection looks at Summer Sonic Festival in Tokyo: reversed jeans and a denim-waistband dress.,,2026-08-17T16:47:33.702Z,"Fashion Backwards jeans and waistband dresses are on the menu. Jennie can’t stop rocking all over the world. From Lollapalooza to Mad Cool to Open’er, the hitmaker is bringing her bold, no-f*cks-given set to the festival-loving masses. One thing she also can’t stop doing? Reinventing the denim wheel. On Aug. 15 in Tokyo, she rocked two custom Calvin Klein Collection looks that make simple blue jeans and a white T-shirt feel inadequate. Consider this your fall-denim wakeup call. Popstars love nothing more than a good belt , and for an onstage look at the Summer Sonic Festival, she wore an apron-style minidress made entirely of recycled Calvin Klein jean waistbands, giving her the ultimate cinched look. As if that wasn’t enough, she topped it with an archival brown belt to send the wrapped-up message home. The wrap-around sporty sunglasses and arm cuff added some oh-so current accessory trendiness and elevated the dress from party girl to festival headliner . Before she made the case for layers on layers of belts, she casually recreated a 1993 Calvin Klein runway look originally seen on Kate Moss . The famous streetwear-inspired moment features a classic Calvin triangle bra and boxers plus a baggy denim vest worn with backwards saggy jeans, mixing high fashion with New York’s savvy street know-how. This look also hits on the accessory trends of the moment — beaded necklaces are so back — while paying homage to the way Calvin Klein lifts the humble blue jean into a work of runway art. So, whether you’re aiming for the boyish look espoused by Klein in the ‘90s or searching for that great last summer party dress , Jennie has you covered. Recreate the Kate Moss runway look if you’re hoping to catch photographers’ flashes at Fashion Week by turning your jeans backwards. Uncomfortable? Maybe. Bold and unapologetically superstar-coded? You bet.",https://imgix.bustle.com/uploads/image/2026/8/17/da51542f/unnamed-2026-08-17t111248737.jpg?w=1200&h=630&fit=crop&crop=focalpoint&fm=jpg&fp-x=0.5146&fp-y=0.4972
"Aug 22, 2026 @ 19:50:49.826",e4d87af33c7e471ccbf4b7acb4fdb855,https://www.nylon.com/fashion/project-extraordinary-fashion-photography,project. extraordinary Is Making Fashion Out of…Everything,"project. extraordinary transforms MetroCards, candles, mannequins, and more into unexpected fashion in a new photography project by Shibo Chen.",,2026-08-18T21:20:19.773Z,"Fashion Forget cashmere! Lose the leather! The future is in the eye of the re-beholder. In the world of fashion, fine fabrics and their associated craftsmanship are often prized according to their rarity, provenance, and texture, lest they be deemed too ordinary: Mulberry silk, vicuña wool, and baby cashmere sit near the top, beloved for their softness and scarcity. Velvet, lace, and leather follow with their own rich histories and cultural associations. But what happens when the material doesn’t come with that mythology built in? project. extraordinary , the new multidisciplinary photography project curated by New York-based art director Shibo Chen , is interested in finding out. “I believe we can find beauty in everything,” says Chen. “ project. extraordinary centers on transformation, on the act of reseeing.” For its first chapter, Chen brought together 13 creative teams from around the world, each with their own visual language, and gave them a deliberately open brief: Take a conventional object and transform it into something unexpectedly new and expressive. From there, the everyday takes on new life: A collection of discarded MetroCards becomes a two-piece set (plus matching clutch and earrings); candles are molded into a crown, bra, and skirt; and paper is dramatically wrapped as a floor-length frock. Including renowned photographers, stylists, and image-makers like Richie Talboy , Nico Daniels , Ryan Wohlgemut , Javier Castán , and more, the collective of burgeoning industry tastemakers turns the often unnoticed into something worth a second look. For lensman Nico Daniels , mannequins felt, well, like a familiar model. Having become accustomed to working with human figures in his work, building a fashion story around their more literal, uncanny counterparts was a natural next step. Coupled with a long-held fascination by their dual role in fashion — part display tool, part surrealist figure — Daniels plays with shadows and lighting that make you question who’s human and who’s not. “Looking in the reflection of the mirror and seeing the mannequins and models interacting with each other in silhouette was the point in which they started to come alive for me,” he says. For stylist Ryan Wohlgemut and photographer Lulu Mcardle , the object became something more personal. Candles, lights, and metallic ribbon were selected to explore the idea of illumination, but for Wohlgemut, the project entailed confronting a childhood fear. “When I was 11, there was a fire in my childhood home, an experience that left me with a lasting fear of flames,” Wohlgemut says. “Working directly with fire to mold and shape the crown, bra, and skirt pushed me far beyond my comfort zone.” In more ways than one. In the process, fire, like the act of creating, took on new meaning. And in a nod to project. extraordinary ’s New York roots, photographer Claudio Robles found perhaps no better symbol of the city than the canary-yellow MetroCard, with the New Yorker stick-to-itiveness of making something out of nothing — “nothing” being 500 discarded subway passes. “The whole thing felt like the ultimate New York story: snatching something the city was literally about to throw away forever and turning it into something beautiful you can actually wear,” Robles says. Created in September 2025, just weeks before the subway entrance ticket was officially retired, Robles and stylist Ricardo Arenas searched station discard slots with little luck before eventually finding hundreds piled behind one of the last vending machines still in use at 34th Street, some dating back to 2003. They collected them, washed them in Claudio’s kitchen sink, and transformed the discarded cards into a dress in just two days. The project’s premise feels increasingly relevant to fashion at large. As the industry increasingly un-synonymizes “new” with “better,” designers are exploring deadstock and discarded materials and upcycling objects that already exist. The future of fashion is less interested in what something is worth than in what it could become, while keeping artistry firmly at the center. Chen, for one, is only getting started: project. extraterrestrial , a series inspired by a leaked classified document about alien research, and project. yellow , a body of work by Asian creatives from around the world, are already underway alongside Chen’s proof of concept platform for fresh voices and visual storytelling. “I constantly ask myself, ‘Who is going to be the next person to shape the industry?’” Chen says. “Every legend had a starting point.”",https://imgix.bustle.com/uploads/image/2026/8/18/b6f9986c/project-extraordinary47.jpg?w=1200&h=630&fit=crop&crop=faces&fm=jpg
"Aug 22, 2026 @ 19:50:49.854",eec1f8e2282e43a7280f58773c0ca7e4,https://www.nylon.com/fashion/quen-blackwell-nike-partnership,Quen Blackwell Is Officially A Nike Girl,Nike announced its new partnership with comedian and model Quen Blackwell on Aug. 19.,,2026-08-19T18:07:07.483Z,"Fashion And a half-marathoner. One thing about Quen Blackwell : she stays booked and busy. Everywhere you look, there she is — runways , music videos , TV shows, viral memes, you name it. And now that she has officially joined Nike’s roster of talent, it won’t be long before we see her on a billboard in Times Square. Blackwell reacted to the news on Aug. 19 via Instagram, writing, “I’M A NIKE GIRL NOW OMG🥹 actually insane that i get to type this but… I AM OFFICIALLY PART OF THE NIKE FAMILY @nikesportswear wow.” Per a press release, the new partnership goes beyond a traditional campaign, as it brings together “sport, fashion, entertainment and internet culture through a shared belief in self-expression and what’s next.” For her first major act as Nike’s newest ambassador, Blackwell will participate in the Nike After Dark Tour: LA 13.1 women’s half marathon on Oct. 24 in Los Angeles, but not before starring in a new Nike campaign with a “key retail partner.” Usually we can’t wait to see what Blackwell does next, but admittedly it’s kind of nice to know what her next move will be.",https://imgix.bustle.com/uploads/image/2026/8/19/b6037cf1/rg115c-p01_-faho26_studiofleece_quen_comms-h2t_2951_v5_hr_4x5.jpg?w=1200&h=630&fit=crop&crop=focalpoint&fm=jpg&fp-x=0.5682&fp-y=0.3887
