crawl_timestamp,uniq_id,page_url,article_title,sub_title,author_name,post_date,article_content,image_url
"Aug 22, 2026 @ 19:56:09.545",c6e94a11b802108f15ef69054a349f1b,https://www.refinery29.com/en-us/latine-somos,Refinery29 Somos: Communities Of Latines,"Today, there are more than 60 million Latine people living in the U.S. — we speak to Latines who are learning about themselves and the world around them.",Karina Hoshikawa,,,https://www.refinery29.com/assets/ceca07ea31bccaf0dc283e59c247e70d.jpg
"Aug 22, 2026 @ 19:56:09.556",606481349238349a020d833aad137bee,https://www.refinery29.com/en-us/fashion?page=5#r29-container,"Fashion: What To Wear, Trends, Styling Tips - Refinery29","Find your personal style with R29 through curated shopping selections, and stay up to date on the latest designer colloborations and sustainability news.",Ruby Ford-Dunker,,,https://www.refinery29.com/assets/ceca07ea31bccaf0dc283e59c247e70d.jpg
"Aug 22, 2026 @ 19:56:09.564",920ef8027b06d7ceadc1c17f6bef480e,https://www.refinery29.com/en-us/podcasts,Refinery29 Podcasts,"As Refinery29 keeps telling the stories that enlighten, inspire, and drive change, we're bringing that same energy to podcasts, with more shows on beauty, money, life, and entertainment for the curious and culturally tapped in.",Naked Beauty Podcast,,,https://www.refinery29.com/assets/ceca07ea31bccaf0dc283e59c247e70d.jpg
"Aug 22, 2026 @ 19:56:09.739",585358cbd40a320d7ac272fd436bf504,https://www.refinery29.com/en-us/festival-season,Festival Season,"From outfit inspo to first-person experiences, Refinery29 is here to prepare you for music festival season (and all your favorite artists’ concerts in between).",Victoria Montalti,,,https://www.refinery29.com/assets/ceca07ea31bccaf0dc283e59c247e70d.jpg
"Aug 22, 2026 @ 19:56:09.746",06e6cfa36be56f14e680edcec5a0a3eb,https://www.refinery29.com/en-us/unbothered,Unbothered — Evolving Into A New Era,Stay tuned. Stay Unbothered.,Zanele Mji,,,https://www.refinery29.com/assets/ceca07ea31bccaf0dc283e59c247e70d.jpg
"Aug 22, 2026 @ 19:56:09.752",10f4cab5bb1ad8d523d255753b185cf4,https://www.refinery29.com/en-us/horoscope,Horoscopes & Zodiac Star Sign Predictions - Refinery29,"No matter what your star sign, find free horoscopes, astrology news and retrograde updates from astrologers to live your life by.",Lisa Stardust,,,https://www.refinery29.com/assets/ceca07ea31bccaf0dc283e59c247e70d.jpg
"Aug 22, 2026 @ 19:56:09.881",05a86f501e446361b95c69a2207afda5,https://www.refinery29.com/en-us/video-hub,,,,,,https://www.refinery29.com/assets/ceca07ea31bccaf0dc283e59c247e70d.jpg
"Aug 22, 2026 @ 19:56:09.921",571ad2555c104fd2598a8af443539cec,https://www.refinery29.com/en-us/money-diary,Money Diaries - Refinery29,Follow along as we take a look into how individuals spend their hard-earned money during a seven-day period.,R29 Team,,,https://www.refinery29.com/assets/ceca07ea31bccaf0dc283e59c247e70d.jpg
"Aug 22, 2026 @ 19:56:09.927",ab4b6ac9945095142b5d562d251ad4ab,https://www.refinery29.com/en-us/shopping,"Shop The Best Beauty, Fashion & Homeware - Refinery29","R29 Editors curate the best in fashion, beauty, homeware and wellness to shop, so you don't have to.",Esther Newman,,,https://www.refinery29.com/assets/ceca07ea31bccaf0dc283e59c247e70d.jpg
"Aug 22, 2026 @ 19:56:10.075",63f0419ca69625a434b69d6edd20c537,https://www.refinery29.com/en-us/my-period,My Period: Getting Personal About Periods,"We're getting personal about our periods.
The path to menstrual equity starts with talking about it.",Victoria Montalti,,,https://www.refinery29.com/assets/ceca07ea31bccaf0dc283e59c247e70d.jpg
