crawl_timestamp,uniq_id,page_url,article_title,sub_title,author_name,post_date,article_content,image_url
"Aug 22, 2026 @ 19:53:36.829",d5e6f27ac5efe446ccbc9575d03a3535,https://www.retaildive.com/news/roots-acquired-marquee-brands/828478/,Roots to be acquired by Roberto Cavalli parent company,The outdoor retailer will go private in a deal led by Marquee Brands that is designed to ensure it “remains anchored in Canadian culture.”,Kaarin Moore,,"The outdoor retailer will go private in a deal led by Marquee Brands that is designed to ensure it “remains anchored in Canadian culture.” In a deal that will take Roots private, an emphasis is being placed on preserving the Canadian roots of the outdoor brand. “Taking on Roots is an incredible honour, and our strategic partnership with JM&A ensures the brand remains anchored in Canadian culture,” Heath Golden, CEO of Marquee Brands, said in a statement. “With that foundation in place, we see significant global opportunity to extend Roots into new categories, markets and consumer segments, while remaining true to all that makes the brand distinctive.” The transaction is “designed to preserve all that makes Roots uniquely Canadian,” and the company will continue to be operated in the country. Operating partner JM&A will oversee the design, development, manufacturing and distribution of men’s and women’s apparel and take on retail and e-commerce operations across Canada and the U.S. That includes the Roots fleet of more than 100 North American stores. Roots began a strategic review with the possibility of selling its business in March. That process resulted in multiple proposals, per the company. The retailer will join Marquee Brands’ portfolio , which includes Sur la Table, Laura Ashley, Destination Maternity, BCBG and A Pea in the Pod, among others. Marquee Brands acquired a majority stake in Italian fashion house Roberto Cavalli this spring. In 2020, Roots’ U.S. unit filed for Chapter 7 bankruptcy with plans for the subsidiary, Roots USA Corporation, to close seven of its stores. Since that time, the retailer launched a multiyear turnaround strategy, which in part included closing underperforming stores . In its latest quarter, Roots total sales were CA$42.6 million , a 6.5% increase compared to the year-ago quarter, while comparable sales increased 3.2%. However, net loss widened to over $10 million, up more than 27% year over year.",https://imgproxy.divecdn.com/Zs2hyoFMquYj9qANyDonXjpiuzddjr-cMjO05JZsp3c/g:ce/rs:fit:770:435/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9Zb3JrZGFsZV9Sb290c19wZ2h4c21BLmpwZw==.webp
"Aug 22, 2026 @ 19:53:36.836",5b39c3f1077686727f074df25357031a,https://www.retaildive.com/news/home-depot-express-delivery-3-hours-or-less/828362/,Home Depot rolls out express delivery in 3 hours or less across US,"The service covers thousands of SKUs and uses more than 2,000 U.S. stores as fulfillment hubs.",Kelly Stroh,,"The service covers thousands of SKUs and uses more than 2,000 U.S. stores as fulfillment hubs. First published on The Home Depot is now offering express delivery nationwide for customers to receive eligible orders in three hours or less , according to a Tuesday press release . The service uses Home Depot’s supply chain network alongside more than 2,000 U.S. stores as fulfillment hubs, per the release. Pro and DIY customers can use the delivery service for a $7 flat fee in most major markets and a $10 flat fee in Los Angeles, a Home Depot spokesperson told sister publication Supply Chain Dive. No subscription or membership required, per the press release. Express delivery eligibility for thousands of SKUs — including plumbing, hardware, paint and tools — will be available on product pages and in the cart at checkout, per the release. “Now the majority of those deliveries are actually happening in less than one hour,” EVP of Interconnected Retail Jordan Broggi said during its latest earnings call . “And so we'll continue to work that promise time down to customers in the months ahead, but super excited about that.” Prior to the nationwide rollout, Broggi noted that the service was operating in “some markets for several months.” Home Depot has been focused on maximizing its supply chain capabilities , including speedier deliveries . Executive Vice President of Merchandising Billy Bastek said that Home Depot has cut its delivery lead times in the U.S. by 45% over the last 18 months. “We are encouraged with the positive performance we are seeing in these markets, and we'll continue to expand population coverage and SKUs throughout the year,” Bastek told analysts. In addition to the new express delivery option, Home Depot operates a delivery center network for thousands of items in categories such as lighting, vanities and building materials, according to the press release. Working alongside local stores, the network delivers more than 65% in-stock parcel products same day or next day. Fifty-five percent of in-stock big and bulky orders, meanwhile, are delivered within two days. The home improvement retailer also offers free same-day delivery on orders of $25 or more that are placed by a specific time, as well as next-day appliance delivery that reaches 60% of the U.S. population, per the press release. “In addition, we've evolved our appliance delivery model to better serve direct purchases,” Senior Executive Vice President Ann-Marie Campbell told analysts. “We now stock a select assortment of appliances that can reach our customers next day in certain markets.”",https://imgproxy.divecdn.com/Qz26vtrAQUIvNHExC6jFow6TBSUwMH563DWVKrh92pU/g:ce/rs:fit:770:435/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9HZXR0eUltYWdlcy0yMDI2MDU3ODQzLmpwZw==.webp
"Aug 22, 2026 @ 19:53:36.843",d9dab5ffc431a7f05620e84ac82317fb,https://www.retaildive.com/news/off-price-ross-new-boss-soaring-store-comps-earnings/828457/,"In off price, Ross is the new boss","Store comps at the off-price retailer soared 10% in Q2, thanks to new and returning customers, in sharp contrast to major rival TJX Cos.",Daphne Howland,,"Store comps at the off-price retailer soared 10% in Q2, thanks to new and returning customers, in sharp contrast to major rival TJX Cos. Ross Stores Inc. on Thursday reported that customer traffic spiked Q2 comparable sales by 10% compared to last year, its second straight quarter with double-digit comp growth. Store visits in the period rose more than 16% , according to data from Placer.ai. The increase in transactions came from new customers, lapsed customers who returned and existing customers who shopped more frequently, executives told analysts Thursday. The comp strength beat analyst expectations, quite unlike the performance at off-price leader TJX Cos., whose Marmaxx division – including U.S. chains T.J. Maxx and Marshalls – on Wednesday posted a surprisingly weak 1% comp increase . Under CEO James Conroy, who arrived early last year , Ross has been elevating its merchandising — bringing in more brand names and revamping its stores — as well as its marketing, and it’s all paying off. “Ross is now retail's boss,” Wells Fargo analysts led by Ike Boruchow said in a Thursday research note. Total Q2 sales rose 13% to $6.3 billion. Excluding $253 million in tariff refunds, operating margin expanded by 205 basis points. The refunds contributed 405 out of the 610 basis-point increase in operating margin, which topped $1 billion in the quarter. Net earnings ballooned 68% to $851.3 million. The company expects the comp strength to continue into the second half of the year, on pace to rise 6% to 7% in Q3 and 4% to 5% in Q4, Chief Financial Officer William Sheehan told analysts. Eventually those lofty numbers will come down, but the retailer’s ongoing initiatives have the potential to stoke growth “through at least 2027 before the company likely settles into a more normalized low-single-digit comp cadence,” William Blair analysts led by Dylan Carden said in a Friday note. Ross is also the boss, at least for now, of the off-price segment. For years these retailers have feasted on market share given up by department stores, and more recently there have been signs they might take from each other . This time around, Ross has probably taken market share from TJX, as evidenced by the disparity in their Q2 comp stats, because Ross has been quite conservative in its pricing, according to William Blair analysts. That is working at a time when consumers are laser-focused on the price of all manner of things, including groceries, gas and discretionary goods. “As we have pointed out, this is in stark contrast to TJX, which has seen outsized comp over the last one-and-a-half years led by price increases,” Carden said. “In the current environment, we think a better value proposition clearly is winning Ross incremental share, and it is nearly impossible to think some of that is not at the expense of TJX.” When asked about this by analysts, Conroy acknowledged that the retailer has taken share in off-price, though he declined to agree that came from one specific competitor. “Trying to not be immodest at all, just mathematically, over the last four quarters, we've grown stronger than each of the other two players,” he said, presumably referring to TJX and Burlington. “So mathematically, we've captured more share. So of the off-price retail market, we're a bigger piece than we were a year ago because we've outgrown them.” In the end, Conroy is rooting for the off-price sector in general, calling the other major retailers in the space “both very formidable companies.” “They're both extremely well run. We're all competing against each other, but we're also capturing share from a whole bunch of other places in the retail industry,” he said. “So to some degree, we want off price to win, and we just want to be a slightly bigger winner. So I couldn't comment on whether we're specifically impacting either of the other two players, one of which is much bigger than us and does a truly world-class job. So I'm not terribly worried about that.” The Q2 performance has led Ross to boost its store expansion plans for 2026, from about 110 new locations to 115 , the company said. In Q2, 35 Ross stores and 12 DD’s Discounts stores opened.",https://imgproxy.divecdn.com/78JEofV6Lj1iq34DkLmsarjpzcZWA8eKVIWU_645gHE/g:nowe:83:1/c:1187:670/rs:fit:770:435/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9JTUdfMjczNS5qcGVn.webp
"Aug 22, 2026 @ 19:53:36.904",5da1ba391e75c391a670eaa2bd170855,https://www.retaildive.com/news/target-home-turnaround-macys-thanksgiving-day-parade-vuori-cmo/828460/,The Weekly Closeout: Target’s home turnaround and Macy’s 100th parade countdown,"Long lead times in the category mean a rebound will take time. Meanwhile, the department store is setting its sights on its centennial Thanksgiving Day Parade.",,,"Long lead times in the category mean a rebound will take time. Meanwhile, the department store is setting its sights on its centennial Thanksgiving Day Parade. It’s been another week with far more retail news than there is time in the day. Below, we break down some things you may have missed during the week, and what we’re still thinking about. From Build-A-Bear’s nightcrawler plush to Vuori’s new chief marketer, here’s our closeout for the week. Long lead times mean Target’s home and decor turnaround needs time Target’s second quarter report was mostly a step in the right direction for its turnaround, but a notable lag was in its home and decor sales. The merchandise category grew just 0.2% year over year, a much lower rate compared to its beauty and hardlines results. Part of the issue is the long lead times associated with home products, CEO Michael Fiddelke said on a call with analysts Wednesday. “Those are longer lead time businesses, and so change doesn't come as quickly there as it might in a category like food and beverage,” Fiddelke said. “As we embarked on the year, we said home would be a multiyear journey.” Home and apparel — another merchandise category that saw a lower rate of growth compared to last year — are ironically the two areas that once differentiated Target’s assortment, Roth’s Managing Director and Senior Research Analyst Bill Kirk said in a note Wednesday. “While management highlighted positive guest response where changes have been made, Home and Apparel, two important high-margin categories, remain works in progress and management was clear that both categories will require additional work extending into 2027 and beyond,” TD Cowen analysts said in another note Wednesday. Vuori taps Abercrombie & Fitch vet as chief marketer Athleisure brand Vuori has hired Carey Collins Krug as its next chief marketing officer, effective Oct. 5. Krug joins the brand from Abercrombie & Fitch, where she held the same role and helped bring back cultural relevance to the apparel brand. She has also held leadership positions at David Yurman, Ralph Lauren and Donna Karan International. At Vuori, Krug will focus on growing the brand’s global marketing strategy, strengthening its position across channels and continuing its momentum. “Carey brings the kind of brand-building, consumer engagement and cross-functional marketing leadership that will be instrumental as Vuori enters its next chapter of growth,” Joe Kudla, Vuori founder and CEO, said in a statement. “Her experience helping global lifestyle brands sharpen their storytelling and build deeper connections with consumers aligns closely with where we’re headed as we continue to scale.” Build-A-Bear’s cutest lil Fresno Nightcrawler walks away with it An adorable pair of semi-humanoid pants didn’t even make it onto Build-A-Bear’s Aug. 6 press release of “Spooky Stuff” available for Halloween this year. But the Fresno Nightcrawler Posable Plush, part of its “lovable legends” collection, is already sold out online and, according to the Fresno Bee, unavailable at stores – even in Fresno, California . A post shared by Build-A-Bear Workshop (@buildabear) The stuffie is based on a grainy security video from 2007 in which a pair of pants appears to be slowly and awkwardly walking on its own . The FBI ruled the phenomenon unexplainable, according to the Bee, and Build-A-Bear’s faithful recreation of the footage has likely contributed to the lore, or at least to sales. In an Instagram post, horror news site Dread Central called the Fresno Nightcrawler Posable Plush a “cuddly cryptid” and “possibly the cutest lil’ guy,” based in part on the ability to buy him a cowboy hat. Other accessories include a somehow not-at-all redundant pair of pants. 100 That’s how many Thanksgiving Day parades Macy’s will have put on by the end of the year. The department store kicked off a countdown to the event this week, according to a Tuesday announcement. “As we begin the 100-day countdown to our historic 100th Parade, we're inviting customers to be part of the celebration, not just on Thanksgiving morning, but throughout the season,” Chief Marketing Officer Sharon Otterman said in a statement. “Over the next 100 days, we'll honor the memories, traditions and experiences that have made the Parade a beloved part of the holidays while creating new moments of magic for the next generation.” The celebration includes a brand-new character balloon created for the occasion, Billie Brightpaw, limited-edition products and collaborations from brands, including Crocs, Marvel, Michael Kors, Carolina Herrera and Apotheke. Lululemon’s evolving C-suite This week brought another executive departure from Lululemon . Bill Chandler, chief communications officer at the athleisure brand, will exit Sept. 4 to “pursue other opportunities.” He joins Chief AI and Technology Officer Ranju Das, who left Lululemon on Aug. 13, and Chief Strategy Officer Rachel Acheson, who retired earlier this month, in exiting the retailer just ahead of incoming CEO Heidi O’Neill’s start date. O’Neill, a longtime Nike executive, takes on the top spot on Sept. 8. The executive shuffling adds another layer of uncertainty to Lululemon’s turnaround, especially as there is likely to be more once O’Neill actually takes on her position. With the weeks winding down to O’Neill’s start date, we’ll be watching for more turnover at Lululemon — and how the new chief structures her team.",https://imgproxy.divecdn.com/FuDz7hv2r2gCH4WNb45P1aRdPIrn-lVL3shz0NTFBGE/g:ce/rs:fit:770:435/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9Qb2tlbW9uX0JhbGxvb25fTWFjeV9zX1RoYW5rc2dpdmluZ19EYXlfUGFyYWRlX0ltYWdlXzIuanBn.webp
"Aug 22, 2026 @ 19:53:37.295",c85cbd2ab19c75ea9b59fbe322398a0f,https://www.retaildive.com/news/lululemon-chief-communications-officer-exits-incoming-ceo-heidi-oneill/828392/,Lululemon says it has ‘talented teams and leaders in place’ as communications chief exits,Bill Chandler will leave the company just days before incoming CEO Heidi O’Neill arrives.,Cara Salpini,,"Bill Chandler will leave the company just days before incoming CEO Heidi O’Neill arrives. Lululemon Chief Communications Officer Bill Chandler is leaving the company on Sept. 4 to “pursue other opportunities,” the athleisure brand confirmed to Retail Dive. Chandler spent more than seven years at Lululemon in various communications roles, according to his LinkedIn. “We are grateful for his many contributions to our growth over the past eight years and wish him all the best in his future endeavors,” a Lululemon spokesperson said in a statement. Chandler’s departure comes just days after Lululemon Chief AI and Technology Officer Ranju Das exited his position. Analysts at the time of Das’ departure said they were “increasingly concerned about talent turnover,” especially with incoming CEO Heidi O’Neill set to join in just a couple of weeks. “We are concerned with the two c-suite departures considering that the new CEO Heidi O’Neill has yet to start,” BNP Paribas senior analyst Laurent Vasilescu wrote on Friday. “We anticipate that there may be more employee turnover over the coming months.” In addition to Das, Chief Strategy Officer Rachel Acheson also left Lululemon recently. She retired from the company earlier this month, a spokesperson told Retail Dive. “Lululemon has talented teams and leaders in place across the organization who remain focused on serving our guests and advancing the business during this transition,” a Lululemon spokesperson said to Retail Dive about the multiple departures. “As always, we will continue to invest in the talent and capabilities needed to deliver on our compelling long-term opportunity."" Chandler’s exit leaves yet another gap in O’Neill’s C-suite; she is set to take on the CEO post on Sept. 8. Reactions to O’Neill’s appointment as CEO have been mixed from the start , with several analysts — and Lululemon founder Chip Wilson — expressing disappointment or trepidation about her ability to lead Lululemon’s turnaround. A longtime Nike veteran, O’Neill spent years working in women’s apparel at the activewear giant, but was also closely tied to former CEO John Donahoe’s ill-fated era. One thing O’Neill won’t have to contend with anymore is Lululemon’s battle with Wilson , which escalated into a monthslong proxy fight. Lululemon and Wilson settled their feud in May with the addition of a couple of new board members. Nevertheless, Lululemon in its most recent quarter warned that “spikes of negative commentary” dented traffic and sales leading into the second quarter. The retailer saw Q1 sales rise 4% , though they fell 3% in the Americas. Editor's note: This story has been updated to include information on Rachel Acheson's departure from Lululemon.",https://imgproxy.divecdn.com/JtabwqAnRP9IOMSSBbmPYB1-tM05wAEHuLkXvyBpies/g:ce/rs:fit:770:435/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9JTUdfNDQwNC5qcGc=.webp
"Aug 22, 2026 @ 19:53:37.305",9bd9dbe504d2307da9ca7682ccd1763a,https://www.retaildive.com/news/victorias-secret-tech-leadership-cto-board-directors/828455/,Victoria’s Secret reshapes tech leadership,Former Foot Locker executive Adrian Butler will oversee technology and former Starbucks CTO Gerri Martin-Flickinger will sit on the board.,Paige Gross,,"Former Foot Locker executive Adrian Butler will oversee technology and former Starbucks CTO Gerri Martin-Flickinger will sit on the board. First published on The tech leadership appointments at Victoria’s Secret follow a period of transition in board leadership for the lingerie retailer. Less than a month before the annual shareholder meeting, board director Mariam Naficy said she would not seek reelection , following a proxy battle waged by activist investor group BBRC. Martin-Flickinger will join the board as Naficy’s replacement after a “comprehensive search” beginning in May, that was conducted with an executive search firm. CEO Hillary Super declared the company was in “ growth mode ” last year following a 3% rise in sales. In June, the company released a better-than-expected Q1 performance and began trading under its new stock ticker, VSXY. Martin-Flickinger’s expertise in technology, AI, digital commerce and consumer retail will help the company align with its Path to Potential strategy to revive sales, sharpen brand identity and capture younger customers, James said. Victoria’s Secret declined to provide further comment on the company's technology goals or incoming leadership in an email to sister publication CIO Dive. Retailers are turning to technology to improve customer experience, enhance decision-making and personalize shopping. Within the lingerie vertical, direct-to-consumer brand Adore Me (which is owned by Victoria’s Secret) launched a generative AI-powered custom design tool in 2024 that allowed consumers to create their own customized undergarments. In the wider retail sector, Best Buy, Gap, Dick’s Sporting Goods and Walmart have all implemented AI into their internal workflows and customer experiences. Investment into the technology within the retail sector is steadily increasing — 39% of retailers said they anticipate AI will account for more than 10% of their tech spend by 2028, a December 2025 National Retail Federation report found.",https://imgproxy.divecdn.com/ydBL_V2gBBaFZuH79wkZnV4Gjn6eQ9-WmFUeEHPsomk/g:nowe:0:114/c:608:344/rs:fit:770:435/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9tYWluZV9tYWxsXzIyamFuMjZfLV8xLmpwZWc=.webp
"Aug 22, 2026 @ 19:53:37.330",fdf8c5b061eed4eaab89368e9154a81c,https://www.retaildive.com/news/tjx-blames-merchandising-missteps-rare-miss-us-tjmaxx-marshalls-stores/828295/,"TJX blames merchandising missteps for rare miss in the US, but is that the whole story?",Some analysts believe the off-price retailer is also suffering the consequences of stiffer competition and consumers’ resistance to price increases.,Daphne Howland,,"Some analysts believe the off-price retailer is also suffering the consequences of stiffer competition and consumers’ resistance to price increases. In a wide host of measures, TJX did well in Q2, as it usually does, but its feeble comp growth at Marmaxx is in sharp focus. Overall, net sales in the period topped $15 billion, with sales up 5.4% and comps up 4%. Net sales at HomeGoods in the U.S., which includes the Homesense banner, rose 10% to $2.5 billion, with comps up 7%. In the Canada business, net sales rose 6% to $1.5 billion, with comps also up 6%. In Europe plus Australia — its expanding international business — net sales rose 11% to over $2 billion, and comps grew 7%. The bottom line benefited from tariff refunds, as the company collected $331 million of what it’s owed, which boosted net income in Canada and overseas. Overall net income rose 22% to $1.5 billion. But the weakness in the U.S., in the off-price retailer’s largest business segment, occupied analysts, who wondered what might be going on aside from the merchandising mishaps described by executives. There are a few possibilities. In Q2, some spending that normally would go to off price likely went elsewhere, according to GlobalData Managing Director Neil Saunders. Prime Day and competing sales in June distracted deal-seekers, rivals like Ross and Nordstrom Rack have become more competitive, and mainstream apparel retailers have been more promotional lately, he said. “It also partly blunts the Marmaxx value message, even if temporarily,” he said in emailed comments. “This, in our view, impacts Marmaxx more than other off-price players as its somewhat more affluent consumers shop round more at middle-market players, so they’re more exposed to these offers and deals.” Many analysts are waiting to see what happens at Ross, which reports late Thursday. While off-price retailers, including TJX, have grabbed market share from department stores for eons, some think they could start to take from each other . “Ross should come closer to a 9% comp, and some of that has to be coming from TJX, right?” William Blair analyst Dylan Carden said by phone. On the conference call, Herrman said Marmaxx already showed improvement at the start of Q3 and that there would be even “greater improvement by the holiday selling season.” Comps were the same whether or not stores had nearby competition from other off-price retailers. “Which, by the way, the good and the bad of that is, it tells us it's our own execution,” he said. The transaction decline didn’t seem to be related to conversion or better deals at other stores, either. “We are convinced that the issues were self-inflicted and within our control, and we have made good progress working through them,” Herrman said. In previous quarters with stronger comps, though, Herrman has emphasized price and TJX’s ability to raise prices even while undercutting mainstream retailers. With apparel prices rising significantly recently, in part due to tariffs, Marmaxx therefore had a lot of opportunity to raise prices and push up comps. But with inflation pressuring consumers, that opportunity may be drying up, according to Carden. It’s not necessarily that merchandising flubs didn’t affect sales, but that they may not be the full story, Carden said. In recent earnings calls, Wolverine World Wide, (which owns its namesake brand, Hush Puppies, Saucony and Merrell), among others, and ThredUp are among the companies reporting that consumers are growing more prickly around price, he said. On the call Wednesday, Herrman himself said that “in this environment” price increases at TJX would probably moderate. The apparel space more broadly is likely to give up pricing power in the second half of the year and into 2027, according to Carden. “I think this bill is what's coming due,” he said. “In my coverage, most of the companies are speaking to some incremental price sensitivity. So I don't think you can kind of be so confident as to say, ‘Oh well, if we only had had blue shirts as opposed to purple shirts, we would have comped 3%.’” The last time Marmaxx comps were so weak was nearly a decade ago, and back then the company “was slow to diagnose” the problem, blamed the weather and only fully addressed it nine months later, according to a Wednesday research note from Wells Fargo analysts led by Ike Boruchow. “This is all to say, we aren't out of the woods just yet,” Boruchow said.",https://imgproxy.divecdn.com/RdtrQhos46uoWYmyF7oCz8NJCkWvinMcDxrpA7Vr7NM/g:nowe:0:233/c:4032:2277/rs:fit:770:435/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9JTUctMTU1MS5qcGc=.webp
"Aug 22, 2026 @ 19:53:37.395",b160fe4a0d4798135f4f4ef6270f1b52,https://www.retaildive.com/news/michaels-3d-augmented-reality-digital-frame-builder/828381/,Michaels launches 3D digital frame builder,The retailer is harnessing 3D and AR technology to help shoppers preview frames in their spaces.,,,"The retailer is harnessing 3D and AR technology to help shoppers preview frames in their spaces. Michaels’ frame builder tool and Architectural Digest partnership are part of the retailer’s broader effort to refresh its frame assortment. Alongside the new frame collection with Architectural Digest, the retailer is also debuting more than 200 new frames, ranging in style from modern and bohemian to classic and romantic, per the press release. The company previously expanded its framing services by introducing a 10-minute framing service and offering same-day larger-format fine art prints, according to a separate announcement. “Our expanded framing assortment and innovative digital tools reflect our commitment to meeting our customers however and wherever they create,"" Heather Bennett, president and chief customer officer at Michaels, said in a statement. “By seamlessly blending a refreshed, style-forward in-store experience with immersive 3D and AR visualization online, we are empowering shoppers to bring their visions to life with absolute confidence.” Beyond expanding its frame selection, Michaels is deploying artificial intelligence to guide shoppers through its inventory. Last month, the crafts retailer unveiled an AI shopping assistant , named Ask Mike, which uses Google’s AI infrastructure to provide personalized product recommendations based on customers’ queries. In addition to Michaels’ digital updates, the craft retailer is reshaping its assortment and enhancing its in-store experience. In May, the company said it would increase its party product assortment this year by 60%, rolling out products featuring characters like Hello Kitty, Stitch and Bluey. This month, Michaels opened a third location of its experiential store concept in Rogers, Arkansas, where shoppers can access services like embroidery, engraving, made-to-order sticker options and framing. The retailer opened the previous two locations in Irving, Texas, and Easton, Ohio.",https://imgproxy.divecdn.com/o76zMbRg49hILFhZJFFO4Ras2S-gKm54YTVG6oM7gFI/g:nowe:1437:27/c:1219:689/rs:fit:770:435/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9NaWNoYWVsc19mcmFtZS5qcGc=.webp
"Aug 22, 2026 @ 19:53:37.932",3735c44d693174a7be092e681b6ebb00,https://www.retaildive.com/news/us-toy-industry-best-first-half-performance-six-years/828162/,US toy industry has best first-half performance in 6 years,"Older consumers are fueling growth in the industry, according to a new Circana report.",,,"Older consumers are fueling growth in the industry, according to a new Circana report. Toy sales for adults over the age of 18 grew 25% in the first half of 2026, making the cohort the largest contributor to the industry’s rise. “At a demographic level, the toy industry’s growth continues to be fueled increasingly by older consumers,” according to Circana. Meanwhile, toy purchases for children aged 12 to 17 swelled 33% year over year. Combined, teens and adults generated almost 60% of the industry’s dollar gains in the first half of 2026. “We’re seeing toys increasingly function as hobbies, fandom ecosystems, and social experiences rather than traditional children's products,” Kristen McLean, vice president of client insights for Circana’s entertainment knowledge group, said in a press release. “That's expanding the consumer base and creating new opportunities for manufacturers and retailers that understand how to engage collectors, enthusiasts, gifters, and self-purchasers.” While adults are fueling toy sales overall, the trend is currently driven by women. In another recent report by Circana, the research firm found that women drove more than half of the industry’s growth between January and April. Toy giants Mattel and Hasbro have each benefited from booming toy sales. Last month, Hasbro’s second-quarter net revenue grew more than 16% year over year to $1.1 billion. Mattel this month reported a 10% increase in Q2 net sales to $1.1 billion. The company reported a net loss of $18 million, compared to a net income of $53 million in the year-ago quarter.",https://imgproxy.divecdn.com/-EDs8JVsFRQZYs968qGjtyeobnCxaAFHHTHrL6en250/g:ce/rs:fit:770:435/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9UaGVfTEVHT1JfU3RvcmVfRmxhZ3NoaXBfb25fRmlmdGhfUGVyc29uYWxpemF0aW9uX1N0dWRpby5KUEc=.webp
"Aug 22, 2026 @ 19:53:38.015",65895e22c78c4cdc650d0a3d625f84aa,https://www.retaildive.com/news/walmarts-stores-omnichannel-tariffs-drug-pricing-regulation/828387/,Walmart’s stores have ‘evolved’ as e-commerce grows,"CFO John David Rainey said brick and mortar is vital as retail becomes more omnichannel. Meanwhile, Walmart&#x27;s Q2 U.S. comps were softened by drug pricing regulation.",Dani James,,"CFO John David Rainey said brick and mortar is vital as retail becomes more omnichannel. Meanwhile, Walmart’s Q2 U.S. comps were softened by drug pricing regulation. The utility of brick-and-mortar stores continues to shift for one of the largest retailers in the world. “The role of our stores has evolved as our model has changed,” Rainey said on the call. “The more omni we become, the more important our stores become — not less important, more important. Between in-store shopping and digital fulfillment, we have more unit volumes transacted through our stores than ever before, as they are the last-mile fulfillment nodes for 80% of our e-commerce orders and 100% of our fast deliveries.” The hit from new maximum fair price regulation in the U.S. was a talking point for industry analysts, though the strength of the overall business still shone through. “Importantly, we think Walmart continues to operate from a position of strength,” Jefferies analysts said in an emailed note Thursday. “Underlying trends remain supported by transaction growth, broad-based share gains, and continued strength across eCommerce, advertising, marketplace, and membership.” The U.S. comps were below expectations, but TD Cowen analysts “remain encouraged by [Walmart’s] ability to gain share and grow profits faster than sales,” per a Thursday note. Tariff refunds also added to some uplift in the retailer’s Q2 results, presenting “some idiosyncrasies,” according to Rainey. Gross profit rate — which jumped 96 basis points — and Walmart’s operating income increase were partly driven by the impact of tariff refunds. Walmart has received substantially all of the $2.9 billion in tariff refunds it expected it was eligible for to date, the CFO noted. “Looking forward, our Q3 guidance reflects the continued impact of pricing actions taken in Q2, alongside continued prioritization of tariff refunds in the price investment,” he said on the analyst call. “We would encourage you to look at our operating income growth for Q2 and Q3 together to assess the underlying performance of the business.”",https://imgproxy.divecdn.com/R9RgNAwK9r8pSjQk9DFiJ9sF-QCaEOt7Ul3ooHfVo9I/g:ce/rs:fit:770:435/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS9XYWxtYXJ0X0dlcm1hbnRvd25fTWFyeWxhbmRfMDYwOTI1LTEuSlBH.webp
