crawl_timestamp,uniq_id,page_url,article_title,sub_title,author_name,post_date,article_content,image_url
"Aug 22, 2026 @ 19:55:32.079",fe0341f58dc1c5467f952a533095d4d9,https://stylecaster.com/c/fashion/fashion-trends/,Fashion Trends,,,,,https://s0.wp.com/_si/?t=eyJpbWciOiJodHRwczpcL1wvczAud3AuY29tXC9pXC9ibGFuay5qcGciLCJ0eHQiOiJTdHlsZUNhc3RlciIsInRlbXBsYXRlIjoiaGlnaHdheSIsImZvbnQiOiIiLCJibG9nX2lkIjoxNzkzMjE2ODR9.-LZBWOQqUwdQ_rm1CIH5TsdIq6pInYfkJDrtfQxsJTAMQ
"Aug 22, 2026 @ 19:55:32.234",c717b2c78709a1e4748208d3a320b2e0,https://stylecaster.com/fashion/fashion-news/1234930889/hailey-bieber-gap-jeans-how-to-buy-restock-2026/,"Hailey Bieber's Gap Jeans Are Already on Sale for 40% off, Just FYI",You can grab the same denim style that's part of the Hailey Jean capsule on sale at Gap for 40% off ahead of the launch on July 16.,Gina Vaynshteyn,2026-07-17T20:58:47+00:00,,https://stylecaster.com/wp-content/uploads/2026/07/hailey-bieber-gap-featured.png?w=650
"Aug 22, 2026 @ 19:55:32.308",8454254602a75c64412772eb13c28cb2,https://stylecaster.com/fashion/shopping-guides/1234936454/quince-coupon-codes-discounts-8-2026/,Quince Coupon Codes & Discounts for August 2026,"All the live Quince coupon codes and discounts, hand-tested by StyleCaster's commerce editors.",Katie Decker-Jacoby,2026-08-21T17:05:00+00:00,,https://stylecaster.com/wp-content/uploads/2026/08/quince-coupon-codes-discounts-8-2026.png?w=650
"Aug 22, 2026 @ 19:55:32.325",fe0341f58dc1c5467f952a533095d4d9,https://stylecaster.com/c/fashion/fashion-trends/,Fashion Trends,,,,,https://s0.wp.com/_si/?t=eyJpbWciOiJodHRwczpcL1wvczAud3AuY29tXC9pXC9ibGFuay5qcGciLCJ0eHQiOiJTdHlsZUNhc3RlciIsInRlbXBsYXRlIjoiaGlnaHdheSIsImZvbnQiOiIiLCJibG9nX2lkIjoxNzkzMjE2ODR9.-LZBWOQqUwdQ_rm1CIH5TsdIq6pInYfkJDrtfQxsJTAMQ
"Aug 22, 2026 @ 19:55:32.808",2bd67154f5a37ee0de601922c8299ef2,https://stylecaster.com/fashion/outfit-ideas/1234883733/what-to-wear-to-bts-arirang-tour-outfit-ideas/,I’m a Member of BTS' ARMY & Here’s Exactly What to Wear to the Arirang World Tour,"If you got tickets to BTS' Arirang World Tour, we asked a fan to make the ultimate guide on what to wear to a BTS concert. Shop her outfit ideas.",Lea Veloso,2026-07-29T15:54:00+00:00,,https://stylecaster.com/wp-content/uploads/2026/04/what-to-wear-to-bts-arirang-tour-outfit-ideas.png?w=650
"Aug 22, 2026 @ 19:55:32.835",2bd67154f5a37ee0de601922c8299ef2,https://stylecaster.com/fashion/outfit-ideas/1234883733/what-to-wear-to-bts-arirang-tour-outfit-ideas/,I’m a Member of BTS' ARMY & Here’s Exactly What to Wear to the Arirang World Tour,"If you got tickets to BTS' Arirang World Tour, we asked a fan to make the ultimate guide on what to wear to a BTS concert. Shop her outfit ideas.",Lea Veloso,2026-07-29T15:54:00+00:00,,https://stylecaster.com/wp-content/uploads/2026/04/what-to-wear-to-bts-arirang-tour-outfit-ideas.png?w=650
"Aug 22, 2026 @ 19:55:32.861",64af950f16ea2d2fe8faf206c8808159,https://stylecaster.com/fashion/shopping-guides/1810000/baggu-crescent-bag-lookalike/,I Found the Best Baggu Crescent Bag Lookalike for Only $20 During Amazon Prime Day,"Looking for the best Baggu Crescent Bag lookalike that's not over $50? We found a near-identical alternative from Amazon, and it starts at just $20.",Jessie Quinn,2026-06-23T19:37:00+00:00,,https://stylecaster.com/wp-content/uploads/2025/07/baggu-crescent-bag-lookalike-amazon.png?w=650
"Aug 22, 2026 @ 19:55:32.877",c717b2c78709a1e4748208d3a320b2e0,https://stylecaster.com/fashion/fashion-news/1234930889/hailey-bieber-gap-jeans-how-to-buy-restock-2026/,"Hailey Bieber's Gap Jeans Are Already on Sale for 40% off, Just FYI",You can grab the same denim style that's part of the Hailey Jean capsule on sale at Gap for 40% off ahead of the launch on July 16.,Gina Vaynshteyn,2026-07-17T20:58:47+00:00,,https://stylecaster.com/wp-content/uploads/2026/07/hailey-bieber-gap-featured.png?w=650
"Aug 22, 2026 @ 19:55:32.888",6e89b3cfb35e9965311df65fde4604aa,https://stylecaster.com/fashion/fashion-news/1351672/remi-x-revolve-new-collection-2023/,Remi x Revolve New Collection Coming In Fall 2023: EXCLUSIVE,"Remi Bader reveals part two of her extended-size fashion line, Remi x Revolve, is coming in fall 2023, exclusively to STYLECASTER.",Olivia Muenter,2023-01-23T21:24:27+00:00,,https://stylecaster.com/wp-content/uploads/2023/01/RemiBader_FI.png?w=650
"Aug 22, 2026 @ 19:55:32.901",64af950f16ea2d2fe8faf206c8808159,https://stylecaster.com/fashion/shopping-guides/1810000/baggu-crescent-bag-lookalike/,I Found the Best Baggu Crescent Bag Lookalike for Only $20 During Amazon Prime Day,"Looking for the best Baggu Crescent Bag lookalike that's not over $50? We found a near-identical alternative from Amazon, and it starts at just $20.",Jessie Quinn,2026-06-23T19:37:00+00:00,,https://stylecaster.com/wp-content/uploads/2025/07/baggu-crescent-bag-lookalike-amazon.png?w=650
