crawl_timestamp,uniq_id,page_url,article_title,sub_title,author_name,post_date,article_content,image_url
"Aug 22, 2026 @ 20:06:03.609",38cc9bff1f0ba6065a99c823e714bcaf,https://www.theindustry.fashion/london-fashion-week-to-champion-royal-favourites-and-british-icons-from-mcqueen-to-mulberry-and-ms/,London Fashion Week to champion royal favourites and British icons from McQueen to Mulberry and M&S,"From royal-approved designers to high-street heroes, here’s what to expect from London Fashion Week spring/summer 2027.",TheIndustry.fashion,2026-08-21T07:45:20+00:00,"Kicking off on 17 September and running through to 21 September, London Fashion Week is doubling down on British labels, with icons including McQueen and Mulberry returning to the city, while high-street stalwart Marks & Spencer prepares for its Fashion Week show as it celebrates 100 years of fashion. Alongside the runways, the British Fashion Council (BFC) is also launching ‘Fashion Britain’, a nationwide initiative designed to take British fashion beyond the capital for the first time , while sustainability requirements introduced earlier this year remain firmly in place. So, from royal-approved designers to high-street heroes, here’s what to expect from London Fashion Week. McQueen comes home The biggest talking point this season is undoubtedly McQueen’s return to London for the first time in 25 years. Although the house has become synonymous with Paris Fashion Week since moving its womenswear show there in 2001, Dublin-born Creative Director Seán McGirr will present his first London runway show since taking the helm in December 2023, bringing one of Britain’s most influential fashion houses back to the city where it was founded by Lee Alexander McQueen. Kylie Jenner in custom McQueen at the Vanity Fair Oscar’s Party in March (Alamy/PA) the David Geffen Galleries at the Los Angeles County Museum of Art (LACMA) at 5905 Wilshire Blvd on March 15, 2026 in Museum Row, Miracle Mile, Los Angeles, California, United States. (Photo by Xavier Collin/Image Press Agency) “London has always been at the heart of McQueen,” McGirr told the BFC. “There’s a uniquely visceral energy to the city that runs throughout the house’s history and continues to inspire everything we do today.” The return is one Laura Weir has been working towards since becoming chief executive of the BFC. “One of my earliest ambitions as CEO of the British Fashion Council has been to see Alexander McQueen return home to London Fashion Week,” she said. “Few have shaped the global fashion landscape with the same force, imagination and cultural impact […] McQueen’s return is a statement of confidence in British creativity at its most fearless and distinctive.” McQueen will show at 20:00 on Sunday 20 September. A new chapter for Mulberry McQueen isn’t the only British favourite returning to the London schedule. Heritage leather goods brand Mulberry will unveil its first collection under Christopher Kane after the Scottish designer was appointed Creative Director earlier this year. A post shared by London Fashion Week (@londonfashionweek) The appointment marked Kane’s return to fashion after his namesake label entered administration in 2023, making his London Fashion Week comeback one of the season’s most anticipated debuts. “It is an honour to return to London Fashion Week with Mulberry,” Kane said. “It’s an exciting time, and I look forward to sharing SS27 with everyone.” The show, taking place on Sunday 20 September, also signals a renewed confidence for Mulberry as it continues its “Back to the Mulberry Spirit” strategy centred on British craftsmanship. Marks & Spencer joins the runway Perhaps the season’s biggest surprise comes from the British high street. To celebrate 100 years of fashion, Marks & Spencer will stage a London Fashion Week show on Friday, 18 September. A post shared by M&S (@marksandspencer) Rather than presenting a traditional catwalk collection, the retailer will adopt a “see now, buy now” format, meaning shoppers will be able to purchase pieces almost immediately after they appear on the runway. For the BFC, it’s another sign that London Fashion Week is becoming increasingly consumer-facing. Weir described the show as “a significant moment”, adding that it demonstrates “how heritage, innovation and accessibility can come together to connect exceptional British design with consumers in new and relevant ways.” London stalwarts and royal favourites Beyond the headline-making returns, many of London’s biggest names remain fixtures on the schedule. Royal-approved Tolu Coker, Patrick McDowell, Emilia Wickstead, Richard Quinn and Edeline Lee – frequently worn by the Princess of Wales – will all show, continuing London’s tradition of mixing established designers with newer voices to shape the future of British fashion. The Princess of Wales wearing Emilia Wickstead during the Wimbledon Men’s Singles Final in July (Andrew Matthews/PA) Burberry will once again close the week on Monday evening, while Erdem, Simone Rocha, Ahluwalia and Di Petsa all return with new collections. Paul Costelloe, the longest-serving design house on the London Fashion Week schedule, will once again open proceedings, alongside Harris Reed, Ashish and H&M on Thursday evening. Fashion beyond the capital While London remains the focus, the BFC is looking further afield. Launching alongside Fashion Week is ‘Fashion Britain’ , an initiative designed to decentralise fashion in the UK and create opportunities for investment and cultural participation throughout the UK. A post shared by British Fashion Council (@britishfashioncouncil) The programme will bring together designers, retailers, cultural institutions and educators through events in London, Liverpool, Manchester, Newcastle, Bristol and Edinburgh, with the aim of strengthening regional creative industries and opening up opportunities beyond the capital, occurring concurrently to Fashion Week. “British fashion is one of our greatest cultural exports, yet for too long participation has been concentrated in too few places,” said Weir. “Fashion Britain represents a fundamental shift in how we think about our role as the British Fashion Council.” Sustainability remains a priority Away from the front rows, sustainability continues to be a fundamental concern for London Fashion Week. This will be the second September season to operate under the BFC’s Sustainability Requirements, developed in partnership with Copenhagen Fashion Week. King Charles III and Stella McCartney on the front row of sustainable luxury designer Tolu Coker’s AW26/7 London Fashion Week show in February (Richard Pohle/The Times/PA) Initially introduced for the NEWGEN cohort, the framework requires participating designers to meet a series of minimum environmental and social standards In order to remain on the official London Fashion Week schedule, applicants must provide responses to 18 minimum sustainability requirements, with designers required to demonstrate how they meet key environmental, social and governance considerations.",https://www.theindustry.fashion/wp-content/uploads/2026/08/Title-20-1024x576.png
"Aug 22, 2026 @ 20:06:03.615",7a657378d259d4408e4a27fe41af20ec,https://www.theindustry.fashion/toteme-launches-capsule-menswear-collection/,Toteme launches capsule menswear collection,"Contemporary Swedish fashion brand Toteme, known for its minimalist luxury womenswear, footwear and accessories, has now launched its highly anticipated",Tom Bottomley,2026-08-21T07:15:47+00:00,"Contemporary Swedish fashion brand Toteme, known for its minimalist luxury womenswear, footwear and accessories, has now launched its highly anticipated capsule menswear collection for AW26. Continuing with its ‘quiet luxury’ theme, stand-out pieces in the new collection include a leather zip-up biker-style jacket for £2,010, and a hazel-coloured trench coat in a water-resistant cotton and polyamide mix with leather buckles on the sleeves (£1,060). There’s also a red lightweight shell-style jacket in water-resistant technical nylon with a concealable hood (£630), a garment-washed cotton poplin white shirt (£310), a striped alpaca-cashmere jumper with raglan sleeves (£620), a Japanese denim trucker jacket (£540) and soft croc-embossed leather loafers (£580). Toteme was founded in 2014 in New York by Swedish husband-and-wife team Elin Kling and Karl Lindman. Alexander Häggblad, formerly Menswear Head of Design at Celine, reportedly worked with the duo to develop the new menswear category. A post shared by TOTEME (@toteme) Toteme currently operates two stores in London: one at 160 Sloane Street in Chelsea, and its flagship space at 12 Mount Street in Mayfair. The brand is also internationally represented, with locations in Stockholm, Sweden, where the company is based, as well as Denmark, France, the US, China, Korea and Japan.",https://www.theindustry.fashion/wp-content/uploads/2026/08/Title-33.png
"Aug 22, 2026 @ 20:06:03.620",c7827d7220f54a493bb96b12c72fee90,https://www.theindustry.fashion/editors-top-reads-news-from-marks-spencer-harvey-nichols-and-more/,"Editors' Top Reads: News from Marks & Spencer, Harvey Nichols and more...",Here are some of this week’s news and features highlights handpicked by TheIndustry.fashion team.,TheIndustry.fashion Team,2026-08-21T07:30:22+00:00,"Here are some of this week’s news and features highlights handpicked by TheIndustry.fashion team. It's been a very busy period for Frasers Group. Following the group's acquisition of Harvey Nichols last week, the department store's website this week went offline . A notice read that it would remain so for an undefined period of time while the new owners ""complete a period of transition"". ""We are pleased to confirm that Harvey Nichols has entered an exciting new chapter with new ownership, supporting its future, under Frasers Group"", it added. The shutdown of the online store, with no date given for its return, was the first visible customer-facing disruption since the ownership change took place last week. Despite also not accepting pre-acquisition returns or processing refunds, customers were reassured that staff members would be able to support them in-store and that retail locations would remain open and operational. The one exception is Harvey Nichols' Dublin store, which filed for liquidation last week. While Frasers acquired stock and fixtures, the Irish company entered liquidation last week after the High Court heard it had net liabilities of €28.2 million. Meanwhile, Frasers Group also further increased its stake in Hugo Boss to 47.89% , up from its previous stake of 37.57% on 30 July . The increase follows further shareholder acceptance of its takeover offer, bringing the retail group close to majority ownership of the German luxury fashion brand. Both of these recent business transaction further solidify Frasers Group ambitions to position itself in the luxury market , placing Harvey Nichols alongside Flannels within the group’s luxury division. I, for one, am very curious to see how Frasers Group intends to turnaround the Harvey Nichols brand. Camilla Rydzek, Senior News Writer. A good career switch and “founder follows fashion passion” story always gets me, especially if it’s related to a foreign trip and finding skilled artisans that provide the lightbulb moment. That’s pretty much what happened with Pampeano founder Jennifer Brown. Before launching the brand in 2008, Brown studied physics at Edinburgh and then went into investment banking. She then went on to complete a Master’s in European Real Estate, applying Modern Portfolio Theory to commercial property investment. That led her to work for Grosvenor, where she built investment models for property funds and qualified as a surveyor. However, still a bit unsure of what she wanted to do career-wise, she took a sabbatical to Argentina in her late twenties. It was there that she became captivated by the country's incredible leather-working heritage. Everywhere she looked, she saw an extraordinary level of craftsmanship, aligned with natural materials that weren’t readily available at home. It was friends visiting her in Argentina (also to play polo) that encouraged her to follow her new dream. That was 18 years ago, and her story is one of mistakes, naturally, followed by shrewd business decisions, building a great product selection and, most importantly, a hugely loyal following. Pampeano’s distinctive bags, belts and leather accessories now sell globally, with particular momentum in the US following a launch with Nordstrom in May and the opening of a fulfilment facility in Miami. This is Brown’s story so far , though there’ll be plenty more to come. Tom Bottomley, Contributing Editor. Marks & Spencer has partnered with London luxury streetwear label Aries on a 26-piece collection that puts a contemporary spin on its historic St Michael label, following a resurgence of interest in the brand across social media and resale platforms. Launching yesterday, 20 August, the limited-edition M&S x Aries capsule spans womenswear, menswear and accessories, with prices ranging from £10 for socks and £30 for a Spencer Bear T-shirt to £120 for a silk dress. Aries has reinterpreted the St Michael label’s heritage design codes through its distinctive visual language, creating a collection that M&S describes as “rich in heritage yet unmistakably contemporary”. The collaboration comes as vintage St Michael pieces have gained renewed popularity among younger shoppers, particularly across social media and resale platforms. First introduced to M&S clothing in 1928 by Michael Marks’ son, the St Michael label became one of the retailer’s most recognisable own-brand names, appearing across clothing, accessories and homewares. It was eventually discontinued in 2000. The label made a brief comeback in 2021 on two menswear pieces - a rugby shirt and sweatshirt - but the Aries collaboration marks its most significant return to date. The M&S x Aries collection is available via the M&S website and selected stores, offering a fresh take on a label that has found a new generation of fans nearly a century after it first appeared. Sophie Smith, News Editor & Senior Writer.",https://www.theindustry.fashion/wp-content/uploads/2026/08/Title-26-1024x576.png
"Aug 22, 2026 @ 20:06:03.654",97c8eeb893b27285ff49bd98287f1483,https://www.theindustry.fashion/consumers-want-styling-advice-not-more-choice-asos-finds/,"Consumers want styling advice, not more choice, ASOS finds","Almost two thirds (64%) of consumers say they think the fashion industry offers too many options, but not enough styling guidance on how to wear them and what to wear them with.",Tom Bottomley,2026-08-21T08:00:16+00:00,"Almost two thirds (64%) of consumers say they think the fashion industry offers too many options, but not enough styling guidance on how to wear them and what to wear them with. That’s according to new research carried out on behalf of ASOS, surveying almost 2,000 UK consumers, which revealed that a further 68% say knowing what to buy is easier than knowing how to wear it. The research explored attitudes towards fashion inspiration, shopping behaviour, personal style, confidence and fashion decision-making. It found that consumers are finding fashion inspiration more easily than ever before, but many still struggle to translate it into outfits they feel confident wearing to express their personal style. Consumers are increasingly focused on finding what works for them, as opposed to what’s trending. Indeed, the study found that 86% of consumers are more interested in clothes that reflect their personal style than in following trends, yet half (50%) say developing their own sense of style has become more difficult. While two thirds of consumers (67%) get fashion inspiration from social media, almost the same proportion (68%) say social platforms provide inspiration without enough practical guidance. Other key findings include: Vanessa Spence, EVP Brand & Creative at ASOS, said: “We've never had more inspiration at our fingertips. Our feeds are full of products, trends and things we love. But liking something and knowing how to wear it are often two very different things. “What comes through in this research is that people want help understanding what works for them, how to put things together and how to feel great in what they're wearing. Confidence often comes from knowing something feels right for you. That's the opportunity we see. “Fashion at its best is about helping people feel like themselves, whether that's discovering something new, finding a fresh way to wear something you already own or feeling confident in what you’ve chosen that day.” The latest findings are reinforced by previous ASOS consumer research, which found that only 28% of consumers want trend-focused fashion inspiration, compared with 46% who want styles relevant to their personal taste. The research also reveals a strong connection between getting dressed and feeling good, with more than nine in ten consumers (91%) saying confidence is more important than following trends. Meanwhile, 92% say they feel good about themselves when wearing the right outfit, and 91% say the right outfit helps them make a strong first impression. The findings suggest consumers increasingly see fashion as a tool for confidence, self-expression and “showing up as the best version of themselves”, rather than simply keeping up with trends. However, the impact extends beyond confidence and self-expression, as one third of consumers (33%) say they have abandoned a purchase because they couldn't picture how they would wear it. Meanwhile, 45% have bought something without knowing what to wear it with, while nearly four in ten (39%) have bought clothes they rarely wore because they struggled to style them. More than half (55%) say they have bought additional items to complete a look. The challenge doesn't stop at the point of purchase, as nearly half of consumers (46%) say help integrating new purchases into their existing wardrobe would help them make better fashion decisions. The findings suggest consumers are struggling less with finding products and more with understanding how those products fit into their wardrobe, lifestyle and the occasions they are shopping for. Acting on the research findings, ASOS is now offering outfit-led shopping experiences to help customers discover complete looks rather than individual products through outfit-led merchandising, styling-focused product presentation and features such as ‘Buy The Look’. It has also introduced AI Stylist , giving customers personalised outfit inspiration and styling advice based on their tastes, helping them discover new looks while finding more ways to wear the pieces they already love. Developing its ‘Virtual Try-On’ tool is also now helping customers move from inspiration to purchase with greater confidence by making it easier to visualise how products could work for them before they buy. Additionally, ASOS is now offering fashion expertise and advice through its ASOS Magazine and expert contributors, bringing together influential voices from fashion, beauty and culture to give customers inspiration, styling ideas and a deeper understanding of the people, creativity and trends shaping modern style. The research was conducted by ASOS in partnership with Attest among 1,952 UK consumers between July and August 2026. Respondents were recruited to be nationally representative across age, gender and geography.",https://www.theindustry.fashion/wp-content/uploads/2026/08/Title-25.png
"Aug 22, 2026 @ 20:06:04.011",1e854838c0a27c5e986dd2aa65bdd76e,https://www.theindustry.fashion/retail-sales-weaken-in-july-as-demand-for-clothing-falls/,Retail sales weaken in July as demand for clothing falls,"Retail sales slipped back in July as clothing sales fell at the fastest rate for more than a year, according to official figures.",TheIndustry.fashion,2026-08-21T05:00:36+00:00,"Retail sales slipped back in July as clothing sales fell at the fastest rate for more than a year, according to official figures. The Office for National Statistics (ONS) said retail sales volumes declined by 0.5% in July, compared with the previous month. It fell back from 0.7% growth in June, which had been revised down by statisticians from a previous estimate of 1% for the month. July’s decline was a marginally larger fall than expected, as economists had predicted a 0.4% decline for the month. Sales from clothing and footwear retailers slid by 2.7% for the month, representing the sharpest drop since May last year. Experts said this was linked to many retailers bringing promotions and discount activity forward into June, helping drive sales that month but resulting in a drop off in July. Non-store retailers, which primarily covers online retailers, also saw a particular slump in July, with sales sliding by 3.6%. Household goods stores were also in decline, reporting a 1.9% monthly drop. Food sales grew by 0.5% over the month as warm weather continued to benefit supermarkets. The data also showed that retailers selling alcoholic drinks “performed well” due to promotions, the hot weather and the final stages of the World Cup. The ONS said retail sales volumes increased by 1.1% over the three months to July, compared with the previous three months. ONS Chief Economist Grant Fitzner said: “Retail sales increased in the latest three months, with all main sectors, apart from motor fuel, seeing growth. “Some retailers told us that hot weather and promotions helped sales of outdoor products and items such as fans, with clothing and online sports merchandise also doing well.” Jacqueline Windsor, Head of Retail at PwC UK, said: “While successive heatwaves and World Cup celebrations earlier in the month helped grocery sales – of everything from beer to picky bits – the earlier timing of discounting and promotions meant that some large online and fashion retailers in particular pulled forward sales into June that would previously have been in July. “Higher inflation, notably the higher energy price cap and higher petrol prices later in the month, also meant less money in shoppers’ pockets for discretionary spending outside of grocery and fuel. “Despite less promotional activity from online retailers, the high street failed to benefit as heatwaves continued to impact footfall.” Matt Swannell, Chief Economic Adviser to the Item Club, said: “The retail sector is likely to face a challenging H2 as households’ real incomes come under further pressure. “Inflation has already started to rise in July and we expect it to increase further over the next six months, reaching 3.5% before year-end. “At the same time, weak demand will keep a lid on pay gains and lead to a modest rise in unemployment.”",https://www.theindustry.fashion/wp-content/uploads/2025/07/jUNE_.jpg
"Aug 22, 2026 @ 20:06:04.026",095166a3eeff9242a0a03c4d5a485dd2,https://www.theindustry.fashion/jd-sports-says-cost-of-living-squeeze-hitting-sales-despite-football-kit-boost/,JD Sports says cost-of-living squeeze hitting sales despite football kit boost,"JD Sports has said consumers being squeezed by cost-of-living pressures such as higher fuel prices has dragged on its global sales, despite getting a boost with the demand for football kits in the UK.",Sophie Smith,2026-08-20T07:30:28+00:00,"JD Sports has said consumers being squeezed by cost-of-living pressures such as higher fuel prices has dragged on its global sales, despite getting a boost with the demand for football kits in the UK. The retail chain said it was downgrading its profit outlook in a “tough” market. It reported a 3.1% decline in sales over the 13 weeks to 1 August, compared like-for-like with the same period last year. The decline was particularly pronounced in North America, its biggest market, where sales fell by 6.8% year-on-year. JD Sports said pressure on consumer spending hit footwear sales, particularly for hotly anticipated launches or limited-edition trainers, and amid an increased level of discounting. This was partially offset by increased demand for running shoes and newer footwear styles. In the UK, sales edged up by 0.8% year-on-year, helped by stronger spending on outdoor-related products. The firm also flagged a boost from football replica kit sales during the quarter while England and Scotland played in the group stages of the men’s football World Cup. But across the first half of the year, JD Sports said weaker trading has reflected “incremental cost-of-living pressures on our core consumer from continued inflation including higher fuel prices”. The retailer relies largely on non-essential spending by younger customers wanting the latest styles. JD Sports said it was now expecting its pre-tax profits for the full year to come in between £700 million and £800 million, down from a previously guided range of £750 million to £850 million. Chief Executive Regis Schultz, who has been driving the company’s turnaround, said: “Trading in the second quarter remained tough. “The market stayed highly promotional, reflecting the consumer and footwear product cycle headwinds our industry has faced in recent quarters, whilst our core consumer was impacted by incremental cost-of-living pressures. “North America saw the most acute impact, also reflecting a slower quarter for high-heat footwear product and the timing of back-to-school demand. “The UK delivered a good quarter, with strong football replica kit sales and an improved performance in our outdoor business.”",https://www.theindustry.fashion/wp-content/uploads/2024/08/jd-sports-xxx-1024x576.jpg
"Aug 22, 2026 @ 20:06:04.031",93f1dc2253a6d5bf28c2f852cc7c7035,https://www.theindustry.fashion/boohoo-fined-2m-by-french-consumer-watchdog-over-false-discounts/,Boohoo fined £2m by French consumer watchdog over false discounts,Fast fashion firm Boohoo has been fined €2.3 million (£2 million) by the French consumer watchdog over misleading pricing practices.,TheIndustry.fashion,2026-08-20T07:20:32+00:00,"Fast fashion firm Boohoo has been fined € 2.3 million (£2 million) by the French consumer watchdog over misleading pricing practices. The Directorate-General for Competition, Consumer Affairs and Fraud Control (DGCCRF) said Boohoo - part of the recently rebranded Debenhams Group, which is listed in London - had given shoppers a false impression about the discounts being offered on the French version of its website. Manchester-based Boohoo did not take account of previously applied promotions, or even increased prices before applying a discount, according to the DGCCRF. It found 95% of the listings analysed failed to comply with its rules, with 40% offering no price reduction, 7% offering a smaller discount than advertised and 48% actually increasing prices. Boohoo also used terms that are banned, such as “leather” or “suede” to describe synthetic products, going against French rules on clothes and footwear labelling. A Boohoo spokesperson said: “These historic issues relate to a period from October 2023 to February 2024, when the business was under previous management, and are now resolved. “We have co-operated fully with the regulator, and continue to review how we price and label our products.” It comes amid a clampdown in France against fast fashion firms. Chinese online giant ​Shein was fined € 40 million (£34.3 million) by France’s competition watchdog in July last year for misleading discounts.",https://www.theindustry.fashion/wp-content/uploads/2024/01/Boohoo_.jpg
"Aug 22, 2026 @ 20:06:04.077",5ef4ffc177ed08938ce66994385a0b82,https://www.theindustry.fashion/skims-selects-westfield-london-for-second-uk-store/,SKIMS selects Westfield London for second UK store,"Kim Kardashian and Jens Grede’s shapewear brand SKIMS has signed for a second UK store at Westfield London, set to open in 2027.",Tom Bottomley,2026-08-20T07:20:00+00:00,"Kim Kardashian and Jens Grede’s shapewear brand SKIMS has signed for a second UK store at Westfield London (White City), set to open in 2027, according to media reports today. It will add to last month’s highly anticipated opening of SKIMS’ first UK flagship store at 245-247 Regent Street, formerly occupied by Ted Baker, which was originally announced last year. The 12,000 sq ft flagship is currently offering the full SKIMS product range, including shapewear, underwear, loungewear, menswear and accessories, alongside seasonal collections and pieces from the NikeSKIMS collaboration. The Westfield London store will bring SKIMS’ signature collections to West London and “further strengthen” the destination’s fashion, sport and lifestyle offer. Constantin Wiesmann, Director of Leasing, Northern Europe at Unibail-Rodamco-Westfield, said: “SKIMS is one of the most influential lifestyle brands in the world today, and its arrival at Westfield London is a strong endorsement of the destination’s appeal to world-leading brands. “As consumer expectations continue to evolve, we’re focused on bringing the most exciting global names to our centres and delivering a retail experience that continues to lead the market.” Last month, SKIMS opened a 6,200 sq ft store in the Dubai Mall, the brand’s second and largest location in the UAE, while it also recently announced it will be launching in India via Reliance Brands, with stores planned in Delhi and Mumbai. Earlier this month, SKIMS appointed former Global Communications & Brand Partnerships Director at Victoria Beckham, Jasmine Sevan, as Vice President of Communications , reporting to Chief Communications Officer Tracy Nguyen.",https://www.theindustry.fashion/wp-content/uploads/2026/01/skims-2.jpg
"Aug 22, 2026 @ 20:06:04.426",a6614a13b8f67cf9d4e61ea100217552,https://www.theindustry.fashion/in-pictures-gap-takes-second-swing-with-malbon-for-new-collaboration/,In Pictures: Gap takes second swing with Malbon for new collaboration,"Gap is launching a second collaboration with Los Angeles-based golf lifestyle brand Malbon tomorrow, 21 August, at 5pm UK time.",Tom Bottomley,2026-08-20T07:00:37+00:00,"Gap is launching a second collaboration with Los Angeles-based golf lifestyle brand Malbon tomorrow, 21 August, at 5pm UK time. Following the success of the first collaboration in June 2025, the new 35-piece collection expands across menswear and womenswear, blending Gap’s iconic American style with Malbon’s playful, sports-led designs. Designed to “move seamlessly between the course, court and everyday life”, the collection includes classic rugby polos, pleated skirts, prep-inspired knits, relaxed outerwear and limited-edition golf accessories, bringing together heritage-inspired silhouettes with contemporary styling. The accompanying campaign, shot by Duncan Wolfe, “celebrates community, self-expression and individuality across sport and style”, featuring a cast of brand friends and creators. Mark Breitbard, President and CEO of Gap Brand, said: “We're proud to continue our partnership with Malbon following the strong momentum after our first collaboration. “The response showed us the power of bringing together great product, sport, and style. This collection takes that idea even further, extending the partnership into a broader lifestyle expression for our customers.” Established in 2017 by husband-and-wife duo – and golf enthusiasts – Stephen and Erica Malbon, the brand that bears their surname has developed in recent years to include a wider selection of men’s and women’s apparel, footwear and accessories. Stephen Malbon commented: “Returning for a second collaboration with Gap felt so natural. By expanding further into the women’s offering in this collection, we’re able to tell a story around the intersection of fashion and sport in a way that feels even more complete. “Gap has such an incredible legacy of timeless American style – it’s exciting to continue building on that foundation while bringing Malbon’s own point of view to the table.” The launch will be supported through social-first storytelling, creator engagement and community-driven activations designed to bring the collaboration to life across Gap’s channels and Malbon’s community. Prices range from £25-£120.",https://www.theindustry.fashion/wp-content/uploads/2026/08/Title-19.png
"Aug 22, 2026 @ 20:06:04.430",507bd1ce741b4cd0cac227770e663650,https://www.theindustry.fashion/n-brown-appoints-managing-director-of-retail-to-support-next-phase-of-growth/,N Brown appoints Managing Director of Retail to support ‘next phase of growth’,"N Brown Group, the owner of JD Williams, Jacamo and Simply Be, has appointed Zoe Matthews as Managing Director of Retail. Matthews has most recently been",Tom Bottomley,2026-08-20T07:00:36+00:00,"N Brown Group, the owner of JD Williams, Jacamo and Simply Be, has appointed Zoe Matthews as Managing Director of Retail. Matthews has most recently been in the role of Senior Vice President at Reliance Retail, the largest retailer in India. Prior to that, she served as Product and Lifestyle Director (Fashion & Home) at John Lewis for two years from September 2022 to August 2024, having joined from the position of Vice President, George Brand, at George at Asda (from June 2018 to September 2022). Other senior roles in a career spanning 30 years include Group Fashion Director at The Very Group, Director of Buying at Gap Europe, Senior Head of Buying & Design at White Stuff, Head of Buying at House of Fraser, Senior Buyer of Womenswear at John Lewis and Senior Buyer at Marks & Spencer. She will now lead N Brown's retail business, overseeing strategy, trading and commercial performance as the group “continues to strengthen its proposition and deliver its long-term growth ambitions”. Dan Joy, CEO at N Brown (since March 2026), said: “I'm delighted to welcome Zoe to the team. She brings an exceptional combination of commercial leadership, retail expertise and transformation experience, with a proven track record of building brands, leading high-performing teams and delivering sustainable growth. “Retail is fundamental to our strategy, and Zoe's leadership will be instrumental as we continue to strengthen our proposition, simplify the business and deliver for our customers. I'm looking forward to working with Zoe as we continue building the next chapter for N Brown.” Matthews added: “I'm excited to be joining N Brown at such an important point in its journey. The business has a unique heritage, strong brands and a clear opportunity to build on its momentum. “I'm looking forward to working with colleagues across the business to continue evolving the retail proposition, delivering great outcomes for our customers and supporting the next phase of growth.”",https://www.theindustry.fashion/wp-content/uploads/2026/08/JD-Williams-Summer-campaign-2023-1.jpg
