crawl_timestamp,uniq_id,page_url,article_title,sub_title,author_name,post_date,article_content,image_url
"Aug 22, 2026 @ 19:59:55.149",5fc4a50c64c2820720cf14e0996c130f,https://timesofindia.indiatimes.com/life-style/people/meet-lakshmanan-meyyappan-the-16-year-old-boy-who-set-a-world-record-as-the-youngest-chartered-accountant-in-the-world/articleshow/133311376.cms,Meet Lakshmanan Meyyappan: The 16-year-old boy who set a world record as the youngest Chartered Accountant in the world,"While most teenagers are busy worrying about board exam results or glued to their phones, Lakshmanan Meyyappan has already achieved something that man.",,,,"https://static.toiimg.com/thumb/msid-133311443,width-1280,height-720,resizemode-6,overlay-toi_sw,pt-32,y_pad-600/photo.jpg"
"Aug 22, 2026 @ 19:59:55.173",0e49154101dc4205bb0ecc6ae5b4d644,https://timesofindia.indiatimes.com/life-style/spotlight/the-japanese-secret-to-being-calmer-and-happier/articleshow/132918184.cms,The Japanese secret to being calmer and happier,"Modern life often seem daunting, especially with back-to-back schedules, constant phone pings, and the endless loop of social media comparisons, it is.",,,,"https://static.toiimg.com/thumb/msid-132919070,width-1280,height-720,resizemode-6,overlay-toi_sw,pt-32,y_pad-600/photo.jpg"
"Aug 22, 2026 @ 19:59:55.182",92534639e62216243c0aca202ddda409,https://timesofindia.indiatimes.com/life-style/people/he-scored-54-in-class-10-and-just-41-marks-in-maths-three-years-later-jainendrajeet-cracked-jee-advanced-with-air-349-and-reached-iit-bombay/articleshow/133401202.cms,"He scored 54% in Class 10 and just 41 marks in maths; three years later, Jainendrajeet cracked JEE Advanced with AIR 349 and reached IIT Bombay","A 54% score in Class 10, including just 41 marks in Mathematics and 48 in Science, became a difficult chapter for Jainendrajeet. He had also spent nea.",,,,"https://static.toiimg.com/thumb/msid-133401482,width-1280,height-720,resizemode-6,overlay-toi_sw,pt-32,y_pad-600/photo.jpg"
"Aug 22, 2026 @ 19:59:55.192",df4b0cb3e94f684680b0cd8be6b94d0b,https://timesofindia.indiatimes.com/life-style/people/karnataka-man-spent-nearly-3-hours-in-the-arabian-sea-rescuer-eshwar-malpe-swam-almost-3-nautical-miles-to-reach-him-and-bring-him-back/articleshow/133398756.cms,Karnataka man spent nearly 3 hours in the Arabian Sea; rescuer Eshwar Malpe swam almost 3 nautical miles to reach him and bring him back,A routine afternoon on the Karnataka coast turned into a tense rescue operation on Sunday when a 38-year-old man from Udupi remained in the Arabian Se.,,,,"https://static.toiimg.com/thumb/msid-133399232,width-1280,height-720,resizemode-6,overlay-toi_sw,pt-32,y_pad-600/photo.jpg"
"Aug 22, 2026 @ 19:59:55.498",b699f15560198bc085cd3527529a7132,https://timesofindia.indiatimes.com/life-style/books/features/quote-of-the-day-by-rebecca-yarros-theres-a-warning-a-sound-your-heart-makes-the-first-time-it-realizes-its-no-longer-/articleshow/133380644.cms,"Quote of the Day by Rebecca Yarros, ""Thereâs a warning, a sound your heart makes the first time it realizes itâs no longer...""","Rebecca Yarros is one of the biggest names in popular fiction today, a writer who has gone from emotional military romances to the phenomenon of \""roma.",,,,"https://static.toiimg.com/thumb/msid-133381087,width-1280,height-720,resizemode-6,overlay-toi_sw,pt-32,y_pad-600/photo.jpg"
"Aug 22, 2026 @ 19:59:55.532",262665f94475b2b25afdc5eab52b6d22,https://timesofindia.indiatimes.com/life-style/people/it-had-been-our-dream-since-childhood-six-sets-of-twins-at-one-kerala-wedding-as-twin-brothers-marry-twin-sisters-with-twin-priests-and-twin-altar-boys/articleshow/133399592.cms,"âIt had been our dream since childhoodâ: Six sets of twins at one Kerala wedding, as twin brothers marry twin sisters, with twin priests and twin altar boys","They dreamt about their wedding since childhood. They always knew that, one day, their wedding would be unlike any other. And it was! In the last week.",,,,"https://static.toiimg.com/thumb/msid-133399730,width-1280,height-720,resizemode-6,overlay-toi_sw,pt-32,y_pad-600/photo.jpg"
"Aug 22, 2026 @ 19:59:55.540",5e66995947d87b40b3f35a60bacc528d,https://timesofindia.indiatimes.com/life-style/home-garden/peepal-baba-recommends-5-plants-to-make-your-balcony-greener-easier-to-maintain/articleshow/133362339.cms,'Peepal Baba' recommends 5 plants to make your balcony greener & easier to maintain,"There's a particular kind of guilt that comes with a balcony full of plants that all seem to be quietly giving up, the wilted leaves, the ones that ne.",,,,"https://static.toiimg.com/thumb/msid-133362508,width-1280,height-720,resizemode-6,overlay-toi_sw,pt-32,y_pad-600/photo.jpg"
"Aug 22, 2026 @ 19:59:55.579",4a9beaf246d6939515815adf04d4ffbc,https://timesofindia.indiatimes.com/life-style/spotlight/top-10-festive-delhi-markets-you-need-to-see-here-colourful-lanes-chaotic-crowds-and-endless-bargains-tell-their-story/articleshow/133380588.cms,"Top 10 festive Delhi markets you need to see: Here colourful lanes, chaotic crowds and endless bargains tell their story","There's a particular smell that hits you the moment the festive season arrives in Delhi. It's a mix of marigold, fried snacks, incense, and something .",,,,"https://static.toiimg.com/thumb/msid-133380672,width-1280,height-720,resizemode-6,overlay-toi_sw,pt-32,y_pad-600/photo.jpg"
"Aug 22, 2026 @ 19:59:55.862",2a7142215689b5808b389020736cad25,https://timesofindia.indiatimes.com/life-style/books/features/quote-of-the-day-by-ernest-hemingway-happiness-in-intelligent-people-is-the-/articleshow/133351987.cms,"Quote of the Day by Ernest Hemingway, ""Happiness in intelligent people is the.....""",Ernest Hemingway was among the most influential American writers of the 20th century. His novels and short stories changed modern literature with thei.,,,,"https://static.toiimg.com/thumb/msid-133352062,width-1280,height-720,resizemode-6,overlay-toi_sw,pt-32,y_pad-600/photo.jpg"
"Aug 22, 2026 @ 19:59:55.930",6605988ea124897dec9534e4db6b0b17,https://timesofindia.indiatimes.com/life-style/fashion/style-guide/why-do-women-wear-green-on-hariyali-teej-heres-the-story-behind-the-festivals-favourite-colour/articleshow/133197145.cms,Why do women wear green on Hariyali Teej? Hereâs the story behind the festivalâs favourite colour,"If you've ever seen Hariyali Teej celebrations, you probably already know one thing: green is everywhere.Green saris, green suits, green lehengas, gre.",,,,"https://static.toiimg.com/thumb/msid-133197145,width-1280,height-720,resizemode-6,overlay-toi_sw,pt-32,y_pad-600/photo.jpg"
