crawl_timestamp,uniq_id,page_url,article_title,sub_title,author_name,post_date,article_content,image_url
"Apr 22, 2026 @ 21:20:24.206",0a78b5f43163abc91be61ec89fba3614,https://www.vogue.in/content/mrunal-thakurs-monochromatic-kurta-set-channels-a-noughties-graphic-mood,Mrunal Thakur’s monochromatic kurta set channels a noughties graphic mood,The printed ribbon woven through her braid picked up the black-and-white motif and tied the whole look together,Nupur Sarvaiya,2026-04-19T05:30:00.000Z,"For the press run of her upcoming action-thriller The three-piece set brought together a sleeveless tunic-style kurta, fit-and-flare trousers and a matching dupatta, all tied together by a black-and-white abstract floral print. The motif nodded to the noughties obsession with high-contrast surface treatment, when oversized botanicals, graphic pattern and digitally charged finishes were everywhere. Here, that reference was filtered through an Indian silhouette, which kept the look familiar in structure but fresher in effect. What lifted the set further was the tonal embellishment. Thakur paired the look with footwear from Lino Perros and kept the jewellery minimal, choosing pearl huggie earrings and a delicate ring in place of a heavier necklace. The strongest styling detail, though, was the hair. Her slick braid was tied through with strips of matching printed fabric, picking up the motif without making it feel too coordinated. Makeup stayed clean and luminous, with softly defined eyes, brushed-up brows and a ","https://assets.vogue.in/photos/69e34ed36cc2e1679896800d/16:9/w_1280,c_limit/SnapInsta.to_669879753_18390025372094812_5709915810103840232_n.jpg"
"Apr 22, 2026 @ 21:20:24.213",7895ceb629becba38f317c5148bb33c5,https://www.vogue.in/content/inside-gaurav-guptas-hyderabad-showcase-where-fantasy-finds-a-new-stage,"Inside Gaurav Gupta’s Hyderabad showcase, where fantasy finds a new stage","At the Quorum, Gaurav Gupta showcased a blend of eveningwear and couture",Thea Mulchandani,2026-04-18T08:28:02.780Z,"It’s an increasingly familiar feeling. You open Instagram in the morning and see a sculptural gown with three-dimensional waves of fabric unfurling off the body, almost suspended in motion. It seems futuristic, even a little fantastical, but you know exactly what you're looking at. The headline reads: [insert celebrity name] in Gaurav Gupta at [insert event name]. From Shakira to Serena Williams, the roster keeps on growing. The designer may have become a mainstay on international red carpets and the Ahead of the showcase, I’m also thinking of how in couture you have a double corset, so you have somebody to tie it on you because it’s a couture fitting. In evening wear, where one could be travelling anywhere, you want to be able to zip the garment yourself. Those things subconsciously cross my mind. ","https://assets.vogue.in/photos/69e31b2e3241b1d342add606/16:9/w_1280,c_limit/LTS01589.JPG"
"Apr 22, 2026 @ 21:20:24.231",7a9498bc835bd018c4e95f3261fe63af,https://www.vogue.in/content/7-skirt-trends-everyone-will-be-wearing-in-summer-2026,7 skirt trends everyone will be wearing in summer 2026,The key styles to know.,Augustine Hammond,2026-04-19T02:00:00.000Z,"​​The Take Louise Trotter’s Bottega Veneta debut, which featured swirling, anemone-like skirts made from recycled fibreglass fabrics that, in Trotter’s words, had “the feeling of fur” but moved “like glass”. Lively hemlines were a common theme across the spectrum. We saw the waterfall skirt – aka 2026’s polished spin on the Y2K handkerchief skirt – on the Alaïa runway, characterised by cascading layers and high-low hemlines. The gravity-defying proportions and fluffed-up hemlines of Speaking of colour, we’re witnessing the unexpected revival of 2010s-coded turquoise, thanks to the saturated styles sent down the Dries Van Noten and Fendi runways. This take has nothing to do with the polyester babydoll dresses you wore in your youth (just me?), this is all about colour-blocking separates that would look just as good at a beach bar as they do in the office. Scroll down to see and shop the biggest skirt trends to get behind for summer 2026. ","https://assets.vogue.in/photos/69e1eea2d73181ac5d4800ff/16:9/w_1280,c_limit/Chanel%20S26%20020%20(2).jpg"
"Apr 22, 2026 @ 21:20:24.222",8086206bc0441f4643f1b26214ba44f3,https://www.vogue.in/content/jacqueline-fernandezs-manish-malhotra-ensemble-is-a-pearl-lovers-dream,Jacqueline Fernandez’s Manish Malhotra ensemble is a pearl lover’s dream,"A pearl hair detail, glossy skin and a half-up hairstyle keep the styling in step with the sari’s finish",Nupur Sarvaiya,2026-04-18T08:58:07.483Z,"Jacqueline Fernandez arrived at a recent outing dressed in a blush Constructed in lace, the sari is worked through with pearl embellishment, extending from the scalloped border across the body of the fabric. The detailing is most concentrated along the edges, where pearls of varying sizes trace the hemline and pallu, creating a denser outline against the more lightly scattered field. Fernandez shifts the drape slightly, pulling the pallu across her back and letting it fall from one arm, which keeps the border in view for longer. The true showstopper of her ensemble is the blouse. A  departure from conventional codes, it is a silk bralette layered with a matching lace cropped cape. The cape is high-necked, with pearls applied with meticulous density at the scalloped hem and the neckline that almost mimics the effect of wearing a statement neckpiece. Lace and pearls have a lineage that stretches back to the Edwardian era, when gauzy lace-trimmed gowns defined the period's feminine ideal and pearls sets were among the most prized adornments a woman could wear. The pairing was revived and democratised in the early 20th century when Coco Chanel famously reimagined pearls as symbols of female independence rather than mere aristocratic status. That spirit has been revisited on international runways repeatedly. Dior has leaned into pearl accents across clothing and accessories, and then Simone Rocha and Vivienne Westwood played with subversive pearl styling. With Fernandez’s sari, Manish Malhotra has given this long-standing Western obsession an Indian occasion-wear translation. Fernandez keeps the accessories minimal, with diamond studs and a cocktail ring. A pearl hair detail is worked into her half-up hairstyle, while her makeup stays within a tonal range, with sheen concentrated on the eyes and skin to mirror the finish of the fabric. ","https://assets.vogue.in/photos/69e347206cc2e16798967fe7/16:9/w_1280,c_limit/SnapInsta.to_671797370_18582024232015215_6888091947211805643_n.jpg"
"Apr 22, 2026 @ 21:20:24.239",0cf9e8b6227b3c263870c1c0175fe433,https://www.vogue.in/content/everything-you-need-to-know-about-the-met-gala,Everything you need to know about the Met Gala,"Beyoncé, Nicole Kidman, Venus Williams, and Anna Wintour will co-chair the 2026 Met Gala.",Vogue,2024-10-09T16:24:31.805Z,"It’s never too soon to start looking ahead to the The Met Gala is a charity event and fundraiser for The 2026 Met Gala is set for Monday, May 4. (In the interim, you can still revisit any moments you might have missed from the On Monday, November 17, 2025, the Metropolitan Museum of Art announced the Costume Institute’s spring 2026 exhibition, “ Objects in “Costume Art” will be divided into a “series of thematic body types,” ranging from the “Naked Body” and the “Classical Body”—both of which are well represented within the museum’s collection—to those, like the “Pregnant Body” and the “Aging Body,” that have more often been overlooked. ","https://assets.vogue.in/photos/682dcab07426b7edb76cca76/16:9/w_1280,c_limit/GettyImages-2213605897.jpg"
"Apr 22, 2026 @ 21:20:24.271",d3994c55e287fbc6400542995fac8f55,https://www.vogue.in/content/20-floral-dresses-that-make-summer-dressing-easier,20 floral dresses that make summer dressing easier,"It might not be groundbreaking, but it’s still the one thing that works every single summer",Saumyaa Goradia,2026-04-16T05:11:54.570Z,"And it makes sense. Florals have made their presence known across the Spring/Summer 2026 runways. At So how do you translate that into something you’ll wear on a 32-degree afternoon? Start with fabric: lightweight cottons, voiles, silks that don’t cling. Look for a point of interest: maybe it’s a slightly oversized bloom, a textured finish, or a print that feels a little less expected. And keep the shape of your floral dresses simple enough that they do the work for you. ","https://assets.vogue.in/photos/69bd13db22d2d17c17f71fe1/16:9/w_1280,c_limit/GettyImages-2266496852.jpg"
"Apr 22, 2026 @ 21:20:24.260",af6339ac5cb5c5b89c25c8391b125653,https://www.vogue.in/content/the-400-year-old-khada-dupatta-remains-the-soul-of-hyderabadi-bridal-dressing,The 400-year-old Khada Dupatta remains the soul of Hyderabadi bridal dressing,"From royal origins to contemporary brides, the Khada Dupatta endures—balancing heritage with personal expression",Asma Afreen,2026-04-16T12:49:20.541Z,"Every bride anticipates her wedding day—not just for the ceremony, but for what it allows her to become. It is a rare moment of expansiveness: to be seen, celebrated and, if only for a day, become the centre of it all. A wedding dress, then, is never just an outfit. It marks a transition, carrying meaning beyond fabric. In Hyderabad, that presence is often shaped by the Khada Dupatta, a signature The Khada Dupatta is a three-piece outfit, typically consisting of a kurta, a churidar and a six-yard dupatta. Its true essence, however, lies in the dupatta itself—the element that gives the ensemble its name, structure and cultural presence. Unlike more common styles of draping, it is worn in a distinctive manner that covers both shoulders and falls down the back. The term Worn across generations, the Khada Dupatta reflects a legacy spanning nearly 400 years, shaped by craft passed from one woman to another. Its history is often traced back to the Mughal era. Nur Jahan—widely regarded as a tastemaker of her time—is credited with influencing textiles and courtly dress, with As Mughal influence extended into the Deccan, this aesthetic evolved. When Nizam-ul-Mulk established his rule over Hyderabad, “Every generation reinterprets it—through textiles, embroidery, and styling—but the soul of the Khada Dupatta remains untouched,” notes Jayanti Reddy, founder and designer of her eponymous label. And perhaps that is why it has endured—not just as a garment, but as what Reddy describes as “a cultural heirloom,” carrying within it “grace, dignity, and opulence that transcends time.” Its longevity lies not in resistance, but in its ability to evolve without losing its core. That core is held in the way the garment is crafted. The Khada Dupatta is defined by its heavily worked borders—often executed in As Karan Torani, founder and designer of the label Torani, notes, Indian clothing has never needed to chase relevance in the way many other fashion systems do. “The Khada Dupatta, in particular, speaks of layering, dignity and power dressing,” he explains. “Its upright drape frames the body with a kind of architectural elegance, giving it both restraint and presence.” For him, a bride who chooses this silhouette is someone who wants her wedding look to tell a story, and understands that fashion can also serve as an archive. Today, this narrative continues to unfold in both traditional and contemporary contexts. Celebrities like Rekha have long drawn from Hyderabadi codes of dressing, while Nita Ambani, Sania Mirza, and more recently Sobhita Dhulipala have reaffirmed its place within modern bridal imagination. Ultimately, the Khada Dupatta carries its power in both feeling and memory. For a bride, it can make the day feel larger, while also tying her to something older than the ceremony itself. That continuity is part of what keeps it alive across generations. ","https://assets.vogue.in/photos/69e0d9326f7fa0df088ab775/16:9/w_1280,c_limit/SHOBHITA_7451n-copy.jpg"
"Apr 22, 2026 @ 21:20:24.297",1a237ad4e95ca054eea637f400464b22,https://www.vogue.in/content/aditi-rao-hydaris-raw-mango-sari-comes-with-zardozi-florals-and-a-kiran-border,Aditi Rao Hydari's Raw Mango sari comes with zardozi florals and a kiran border,A puff sleeve blouse brings a romantic charm to the ensemble,Vogue Staff,2026-04-15T08:53:28.679Z,"Lime is a difficult colour to carry, and in silk, it tends to take over entirely. Aditi Rao Hydari’s Raw Mango The blouse is cut in the same lime tone with puff sleeves and a clean neckline; it does not introduce a second idea. That variation comes almost entirely from the jewellery by Indriya Jewels. A close-set choker sits tight at the neck, while the earrings extend outward with a mix of drops and cuffs, widening the frame of the face. The eyes are defined and slightly extended, the brows are shaped but not heavy, and the lip sits in a soft nude pink. Rao Hydari's soft spot for a classic six-yard from Raw Mango has been long-documented, sporting them everywhere from red carpets to weddings, including for one of her own ceremonies. ""For this Raw Mango look, replace the single gold bangle with a slim silver watch for a more current finish. Tie the hair into an easy bun and secure it with a white lace scrunchie for a lighter take on the gajra effect without having to commit to the weight of the flowers,"" says Manglien Gangte, ","https://assets.vogue.in/photos/69df4d3ac632080071d71ada/16:9/w_1280,c_limit/SnapInsta.to_670910558_18575772682043618_8280557178357923683_n.jpg"
"Apr 22, 2026 @ 21:20:24.246",de5dd730d568bcc2f20a1fcefdca0b67,https://www.vogue.in/content/jacqueline-fernandezs-lacy-gown-and-janhvi-kapoors-elie-saab-suit-lead-the-best-looks-of-the-week,Jacqueline Fernandez's lacy gown and Janhvi Kapoor's Elie Saab suit lead the best looks of the week,"The details include: oversized bows, draped blouses and diamonds",Vogue Staff,2026-04-17T13:01:25.589Z,"With Jacqueline Fernandez's pearls on one end, Janhvi Kapoor's clean tailoring on the other and plenty of texture in between, this week’s looks sit somewhere between soft dressing and structure. Think monochrome looks, Jacqueline Fernandez opted for a lacy Manish Malhotra number. The blouse mixes textures—a satin base with a sheer lace overlay—finished with a high neck and covered in delicate pearl detailing. The scalloped hem extends into a draped panel that almost mimics a sari pallu. Paired with a figure-hugging, full-length Janhvi Kapoor took a more tailored route in an Elie Saab ensemble, keeping things monochrome in taupe. The oversized, double-breasted blazer adds structure, layered over a draped halter top with a subtle twisted detail that softens the look. A For another look, Kapoor chose a strapless Sabina Bilenko Couture gown from the Autumn/Winter 2025 collection. Set against a nude base, the dress is scattered with grey-toned floral embroidery, with crystal detailing that extended into delicate dangling strands. She layered it with a cape-like jacket featuring flared sleeves that sat just above the elbows. With a faux bob and a diamond and sapphire necklace, the look was reminiscent of old Hollywood glamour. Rosé brought a hint of drama at the Tiffany & Co. gala, wearing a white Khaite Fall/Winter 2026 gown. The top half is sheer and lace-trimmed with delicate straps, while the skirt goes the opposite way—full and voluminous. A large black bow at the waist breaks up the all-white and adds a bit of contrast without taking over. She finished it with pointed white pumps and a diamond and ruby necklace that sits neatly at the collarbone. Nita Ambani stayed classic in a handwoven Banarasi silk Mrunal Thakur kept it pared back in a black sari from Mimamsaa. The sari is finished with a subtle gold scalloped border. She paired it with classic kolhapuris from Stoffa and minimal jewellery, keeping the overall look easy and unfussy. Keep scrolling to see more of the best looks this week. ","https://assets.vogue.in/photos/69e1f13195a263290a68353d/16:9/w_1280,c_limit/SnapInsta.to_670275878_18583092286000700_2273145552614179700_n.jpg"
"Apr 22, 2026 @ 21:20:24.313",8c834dfbdea2e39222b190aa58296000,https://www.vogue.in/content/bhumi-pednekar-offsets-a-darker-palette-with-a-painted-tiger-bag-and-ornate-jewellery,Bhumi Pednekkar offsets a darker palette with a painted tiger bag and ornate jewellery,Don't miss the ribbon in her hair,Vogue Staff,2026-04-14T09:19:10.056Z,"Bhumi Pednekkar’s Dulari look is organised around the skirt. A sleeveless high-neck top in charcoal sets a contained upper line, but the eye drops quickly to the handwoven mulberry silk balloon skirt. Its volume is gathered low and wide, with a rounded hem that gives it that buoyant shape, while the hand-painted surface shifts across the fabric in smoky tonal variations. Hand-embroidered highlights catch light in small flashes, which keeps the surface active as the skirt moves. The top stays pared back and close to the body. The skirt brings volume, texture and a surface that changes as the folds deepen and release. A broad waistband makes that division explicit, so the silhouette feels intentionally split. Bidipto’s styling works with that divide. Jewellery by Lotus Arts de Vivre sits high at the neck and then drops lower through the pendant, creating a vertical line before the eye meets the fuller sweep of the skirt. The earrings bring in turquoise and pearl, breaking the darker palette with a brighter note of colour. The hand-held bag, with its painted tiger and palm motif, adds a playful note to the ensemble. Hair by Jyoti Mandre is pulled into a tight bun and tied at the back with a gold ribbon, a detail that shows itself more clearly in profile and from behind. At the hem, the embellished Aprajita Toor heels add another glinting surface when the skirt lifts. The makeup stays in a darker evening direction, with smoked eyes, a low-sheen base and a deeper rose-brown lip. “The accessories overshadow the simple but statement charcoal grey ensemble. Ditch them for a more minimal chic approach. Pair with thonged sandals, a statement watch, small studs and an east-west shoulder bag,” says Divya Balakrishnan, ","https://assets.vogue.in/photos/69de05dc8ae17fbd0b2a042d/16:9/w_1280,c_limit/SnapInsta.to_671822687_18581329378017690_8856268994981168448_n.jpg"
